BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-1.0435655814020854,-1.111262287607789,-1.0402256687482414,-1.0984030169513956,-1.35304605038889,-1.248060916554915,-2.4441906453941478,-1.9192914223653372,-1.3795855171810647,0.47863009232263826,5
-1.1798832320947985,-1.3213571851327204,-1.1664887216592972,-1.2910654041791745,-1.4426952940444853,-1.3805467634498918,-2.5525083587617536,-1.9656456427983344,-1.5946156105646745,0.09120108393559097,23
-1.4678597064690655,-1.5098029829169466,-1.453384099762027,-1.503723199468467,-1.5306529881004567,-1.526582846321423,-4.324410412659152,-4.061133316039967,-10.284487828003344,0.014454397707459272,25
-1.034592168599426,-1.0929794590874078,-1.0309739617222764,-1.07547086294632,-1.345329175498263,-1.21625660936766,-2.465010378370624,-1.9097208174752247,-1.375952416982609,0.5754399373371569,100
-1.040867028678971,-1.1085590770956155,-1.0359617753333228,-1.089426882100467,-1.330782878626895,-1.2392912512535108,-2.4579081689384163,-1.8787146967374373,-1.3769002188502388,0.3981071705534973,9
-1.1412995846067877,-1.2808599967972616,-1.1318983598760153,-1.251122472299249,-1.4471697161610928,-1.3625981870845274,-2.577619651710158,-1.9189353314516744,-1.5168465006996408,0.1096478196143185,32
-1.0057909635540718,-1.065857152892181,-1.004487220468626,-1.0515467951308035,-1.34320835350045,-1.2141621999806564,-2.5267076887381075,-1.9367600339485085,-1.3731569517024431,0.5754399373371569,78
-1.3138623786026975,-1.4333680280284675,-1.3026910820888968,-1.411194689876392,-1.4799716529890203,-1.4766444967595889,-3.694139959951779,-3.204209165529952,-3.893364698206309,0.04365158322401661,99
-1.0185027503366455,-1.074498016494785,-1.015993753955185,-1.0577920170454878,-1.3432637244368406,-1.2005842566741805,-2.480410175187909,-1.951184829160988,-1.3754362091822148,0.5754399373371569,62
-0.990229136774569,-1.0563901441245225,-0.9881634139449996,-1.049289967952849,-1.3544313766699172,-1.237455415697366,-2.518135948299387,-1.9102976773531373,-1.3720793649042582,0.3981071705534973,78
-1.4177385558631026,-1.501898081855435,-1.403921962508055,-1.4875850866524072,-1.5221511101595229,-1.509738328556453,-4.563688977848396,-4.243645615801001,-8.671428485409333,0.020892961308540396,69
-1.5209669123067528,-1.5718920966098082,-1.4985171130102302,-1.5535118907466194,-1.5406448267152395,-1.571952255805354,-4.064184579124203,-3.8302350700468,-11.225550545388405,0.014454397707459272,98
