1: 89,15,80,69
1: 26,130,23,101
1: 31,11,150,131
1: 26,102
1: 99,145
1: 11,89
1: 58,114
1: 31,81
1: 70,29
1: 15,85
1: 70,26
1: 58,15
1: 99,59
1: 57,23,55,149
1: 111,89,80,151
1: 152,11,130,47
1: 69,70,61,146
1: 68,101,99,153
1: 58,96,131,113
1: 31,112,59,54
1: 49,51,127,144
1: 51,111
1: 68,112
1: 89,58
1: 69,101
1: 57,96
1: 152,23
1: 69,152
1: 69,70
1: 58,69
1: 49,81,101,117
1: 70,51,68,42
1: 57,80,59,47
1: 58,146,150,29
1: 99,111,114,37
1: 69,89,145,15
1: 73,130,23,19
1: 31,11,61,112
1: 49,80
1: 73,11
1: 57,81
1: 99,51
1: 69,130
1: 99,57
1: 73,99
1: 73,68,80,154
1: 70,114,109,155
1: 36,81,130,59
1: 69,89,47,51
1: 58,146,107,29
1: 31,57,61,26
1: 99,111,82,92
1: 23,101,84,131
1: 68,69
1: 58,101
1: 36,89
1: 23,114
1: 31,68
1: 70,57,101,154
1: 132,27,49,29
1: 73,59,51,156
1: 146,68,125,157
1: 31,107,81,131
1: 58,89,80,149
1: 99,55,23,18
1: 130,158,96,102
1: 132,158
1: 70,107
1: 73,27
1: 146,55
1: 70,132
1: 58,59
1: 73,58
1: 89,57,155,114
1: 145,59,2,55
1: 31,146,157,112
1: 73,58,159,27
1: 36,81,139,29
1: 69,70,66,82
1: 160,23,42,17
1: 68,125,102,149
1: 36,146
1: 70,145
1: 69,59
1: 68,23
1: 160,125
1: 73,160
1: 36,69
1: 49,114,29,59
1: 57,58,112,47
1: 107,99,73,161
1: 31,68,82,80
1: 109,125,54,92
1: 146,101,145,34
1: 2,23,162,36
1: 139,70,69,26
1: 68,139
1: 146,114
1: 125,49
1: 107,101
1: 58,2
1: 107,31
1: 58,125
1: 109,146
1: 109,107
1: 69,73,17,36
1: 31,139,85,27
1: 57,109,145,163
1: 23,111,51,108
1: 58,61,59,25
1: 146,102,101,164
1: 70,107,150,29
1: 68,49,96,165
1: 146,111
1: 68,73
1: 49,57
1: 139,69
1: 23,107
1: 61,70
1: 109,58
1: 61,68
1: 139,146
1: 139,61
1: 109,139
1: 57,70,17,51
1: 58,139,80,163
1: 146,166,101,149
