std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,trainsize,rep
-9.647245245888728,-9.781543705914299,-9.328274346623472,-9.659332977154722,-71.68081637442762,-9.411355260251362,1000,1000,6,9,0.06309573444801933,15
-9.142497953037575,-9.572206229568907,-8.742865679635019,-9.387932192953173,-40.825608622155656,-9.28035228744119,1000,1000,6,9,0.19054607179632474,16
-5.081377675952681,-5.893832099218491,-4.956373655917339,-5.654727121898044,-5.662985923587274,-5.788135070646649,1000,1500,5,7,0.6918309709189366,14
-10.87877294872621,-10.778961438409526,-10.699837418848302,-10.740203965562081,-59.18691995154401,-10.716988263014324,1000,1000,6,10,0.017378008287493755,16
-10.823723142434615,-10.755167026457514,-10.716977628911188,-10.736498782580123,-44.25235131855915,-10.793158920185082,1000,1000,6,10,0.01,18
-8.054399686269031,-8.35246817050674,-7.82687010805188,-8.261505176502121,-51.606953168443034,-8.144828432401978,1000,1500,6,8,0.09120108393559097,13
-9.508290566468387,-9.566668805355647,-9.146981606365564,-9.44738889127981,-68.33194611438417,-9.453321939709346,1000,1000,6,9,0.09120108393559097,17
-1.7826943889535638,-1.7828621842765413,-1.779483502611716,-1.7800277255838621,-9.998407099863487,-1.8589428414705516,1000,1500,3,3,0.04365158322401661,10
-8.11735401670607,-9.779500963467475,-7.963551868185482,-9.332090194362637,-9.548236205739716,-9.718672993386104,1000,1500,8,8,0.5754399373371569,11
-2.578104027674389,-2.5871871562025905,-2.578447123068596,-2.5873669348619894,-3.7063089853843145,-2.5947512954964287,1000,1000,2,5,0.012022644346174132,4
-6.537541188146105,-6.5638232097813365,-6.480237520100493,-6.552601654329908,-41.5176169989413,-6.880418908154438,1000,1500,5,7,0.025118864315095794,13
-1.7951125043307385,-1.8009368272772655,-1.786648163308648,-1.7960234164960862,-14.609230687254176,-1.8047961478586498,1000,1000,2,4,0.15848931924611134,9
-6.5758816063655825,-6.641582772314548,-6.54902048863247,-6.632242686885823,-32.862227599283216,-6.594831178684632,1000,1500,5,7,0.017378008287493755,1
-8.794630625501044,-9.461296960215245,-8.347849762547439,-9.13369625765423,-18.67397518110656,-9.173568672223094,1000,1000,6,9,0.3311311214825911,7
-8.583960213385346,-8.57524074800031,-8.367297007173695,-8.523869692599268,-65.66238828749039,-8.442376255521754,1000,1500,6,8,0.03630780547701014,2
-2.5140024587143333,-2.514892389813658,-2.5120391361272794,-2.515379440474576,-10.318567745481118,-2.5154422403583796,1000,1000,2,5,0.03630780547701014,19
-5.371652474753745,-6.11191239559684,-5.275034051016659,-5.97629981108682,-7.981829283217539,-6.189440632500904,1000,1500,5,7,0.3981071705534973,11
