prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,N,M,K1,K2,trainsize,rep
0.4631803628601921,0.6286019210245464,0.48986125933831376,0.06937033084311633,0.5400213447171825,1000,1000,6,9,0.06309573444801933,15
0.3506172839506173,0.6567901234567901,0.3888888888888889,0.12222222222222222,0.4148148148148148,1000,1000,6,9,0.19054607179632474,16
0.2937365010799136,0.550755939524838,0.3045356371490281,0.28509719222462204,0.2678185745140389,1000,1500,5,7,0.6918309709189366,14
0.6785350966429298,0.43845371312309256,0.6805696846388606,0.3733468972533062,0.7151576805696847,1000,1000,6,10,0.017378008287493755,16
0.7656565656565657,0.31717171717171716,0.7565656565656566,0.5303030303030303,0.7707070707070707,1000,1000,6,10,0.01,18
0.3907624633431085,0.6077712609970675,0.41715542521994137,0.060117302052785926,0.43255131964809385,1000,1500,6,8,0.09120108393559097,13
0.47634763476347636,0.6622662266226622,0.5082508250825083,0.047304730473047306,0.5148514851485149,1000,1000,6,9,0.09120108393559097,17
0.7602787456445993,0.2529616724738676,0.7616724738675958,0.6815331010452962,0.7630662020905923,1000,1500,3,3,0.04365158322401661,10
0.1978021978021978,0.5635792778649922,0.2370486656200942,0.23547880690737832,0.19152276295133439,1000,1500,8,8,0.5754399373371569,11
0.9271255060728745,0.05668016194331984,0.9271255060728745,0.9200404858299596,0.9362348178137652,1000,1000,2,5,0.012022644346174132,4
0.5994531784005468,0.4244702665755297,0.5898838004101162,0.3533834586466165,0.5892002734107997,1000,1500,5,7,0.025118864315095794,13
0.6021377672209026,0.34323040380047504,0.6068883610451307,0.504750593824228,0.6104513064133017,1000,1000,2,4,0.15848931924611134,9
0.689280868385346,0.30529172320217096,0.6872455902306649,0.5094979647218453,0.6967435549525102,1000,1500,5,7,0.017378008287493755,1
0.35874439461883406,0.6636771300448431,0.40508221225710017,0.31689088191330345,0.40059790732436473,1000,1000,6,9,0.3311311214825911,7
0.520746887966805,0.598893499308437,0.5408022130013831,0.14038727524204703,0.5622406639004149,1000,1500,6,8,0.03630780547701014,2
0.8257261410788381,0.16182572614107885,0.8350622406639004,0.7520746887966805,0.8278008298755186,1000,1000,2,5,0.03630780547701014,19
0.2812846068660022,0.5204872646733112,0.3078626799557032,0.31118493909191586,0.28903654485049834,1000,1500,5,7,0.3981071705534973,11
0.4538123167155425,0.6085043988269795,0.4714076246334311,0.12463343108504399,0.4560117302052786,1000,1500,5,7,0.09120108393559097,17
0.6520408163265307,0.45714285714285713,0.6520408163265307,0.3489795918367347,0.6826530612244898,1000,1000,6,9,0.020892961308540396,2
0.37176470588235294,0.46588235294117647,0.37411764705882355,0.31058823529411766,0.3811764705882353,1000,1000,2,5,0.5754399373371569,1
0.6572199730094467,0.4136302294197031,0.6558704453441295,0.3623481781376518,0.6700404858299596,1000,1500,8,8,0.012022644346174132,15
0.7676767676767676,0.2686868686868687,0.7656565656565657,0.597979797979798,0.7717171717171717,1000,1500,6,8,0.01,16
0.9060175794455714,0.12305611899932387,0.905341446923597,0.8539553752535497,0.940500338066261,1000,1500,3,3,0.014454397707459272,10
0.9107505070993914,0.10209601081812035,0.9107505070993914,0.8830290736984449,0.9148073022312373,1000,1500,3,3,0.014454397707459272,17
0.4244011976047904,0.6459580838323353,0.4550898203592814,0.13023952095808383,0.5,1000,1500,5,7,0.1096478196143185,7
0.43412526997840173,0.4708423326133909,0.43412526997840173,0.36069114470842334,0.3930885529157667,1000,1500,3,3,0.6918309709189366,11
0.9066666666666666,0.09333333333333334,0.9056410256410257,0.8871794871794871,0.9117948717948718,1000,1000,2,4,0.025118864315095794,9
0.7547038327526132,0.21533101045296169,0.7574912891986063,0.6780487804878049,0.7811846689895471,1000,1500,3,3,0.04365158322401661,15
0.6626180836707153,0.4217273954116059,0.6572199730094467,0.3825910931174089,0.684885290148448,1000,1500,8,8,0.012022644346174132,14
0.5919343814080656,0.5440874914559125,0.6001367053998633,0.22761449077238552,0.6151742993848257,1000,1500,6,8,0.025118864315095794,9
0.3431952662721893,0.38461538461538464,0.3905325443786982,0.31952662721893493,0.33727810650887574,1000,1000,2,5,0.8317637711026709,16
0.2691029900332226,0.6528239202657807,0.3073089700996678,0.34053156146179403,0.33222591362126247,1000,1000,6,10,0.3981071705534973,8
0.7267206477732794,0.27125506072874495,0.7206477732793523,0.5536437246963563,0.7267206477732794,1000,1000,6,9,0.012022644346174132,10
0.2908366533864542,0.6245019920318725,0.3296812749003984,0.3256972111553785,0.3107569721115538,1000,1500,6,8,0.3311311214825911,16
0.45170193192272307,0.44986200551977923,0.44158233670653174,0.37074517019319225,0.40846366145354185,1000,1500,3,3,0.2754228703338166,15
0.602051282051282,0.48307692307692307,0.6030769230769231,0.29025641025641025,0.6215384615384615,1000,1000,6,10,0.025118864315095794,4
0.6511156186612576,0.3684922244759973,0.656524678837052,0.4151453684922245,0.6713995943204868,1000,1500,6,8,0.014454397707459272,15
0.7273652085452695,0.36927772126144454,0.7232960325534079,0.47304170905391657,0.7324516785350966,1000,1000,6,9,0.017378008287493755,6
0.8119122257053292,0.180773249738767,0.8035527690700105,0.774294670846395,0.8254963427377221,1000,1000,2,4,0.04365158322401661,17
0.45182724252491696,0.4435215946843854,0.44518272425249167,0.3338870431893688,0.39867109634551495,1000,1000,2,4,0.3981071705534973,18
0.5454545454545454,0.5726227795193313,0.54858934169279,0.15151515151515152,0.5496342737722049,1000,1000,6,9,0.04365158322401661,1
0.5464247598719317,0.6969050160085379,0.5453575240128068,0.07150480256136606,0.5624332977588047,1000,1000,6,10,0.06309573444801933,11
0.2749003984063745,0.5657370517928287,0.31175298804780877,0.2948207171314741,0.2868525896414343,1000,1500,6,8,0.3311311214825911,8
0.5470790378006873,0.6288659793814433,0.5498281786941581,0.10584192439862543,0.5766323024054982,1000,1500,8,8,0.03019951720402016,3
0.3622409823484267,0.6630851880276285,0.38526477359938605,0.1419800460475825,0.4190330007674597,1000,1500,8,8,0.13182567385564073,17
0.41374837872892345,0.6848249027237354,0.4578469520103761,0.1556420233463035,0.4708171206225681,1000,1000,6,10,0.22908676527677735,18
0.2281508739650414,0.577736890524379,0.2704691812327507,0.2612695492180313,0.28334866605335784,1000,1500,8,8,0.2754228703338166,19
0.20064724919093851,0.56957928802589,0.2297734627831715,0.2621359223300971,0.2168284789644013,1000,1000,6,9,0.6918309709189366,19
0.4829482948294829,0.6765676567656765,0.5082508250825083,0.0517051705170517,0.5126512651265126,1000,1000,6,9,0.09120108393559097,1
0.533195020746888,0.5404564315352697,0.5342323651452282,0.18153526970954356,0.5487551867219918,1000,1000,6,9,0.03630780547701014,10
0.4160493827160494,0.7074074074074074,0.45185185185185184,0.12469135802469136,0.4654320987654321,1000,1000,6,10,0.19054607179632474,5
0.689608636977058,0.3184885290148448,0.6815114709851552,0.4777327935222672,0.7004048582995951,1000,1500,6,8,0.012022644346174132,5
0.5694879832810867,0.5966562173458725,0.5799373040752351,0.13479623824451412,0.5736677115987461,1000,1000,6,9,0.04365158322401661,6
0.3878299120234604,0.657624633431085,0.4186217008797654,0.04252199413489736,0.436950146627566,1000,1500,8,8,0.09120108393559097,11
0.622680412371134,0.5577319587628866,0.6329896907216495,0.24123711340206186,0.6618556701030928,1000,1000,6,9,0.03019951720402016,8
0.4905349794238683,0.4633744855967078,0.48806584362139915,0.3695473251028807,0.49547325102880657,1000,1500,3,3,0.19054607179632474,11
0.8599585062240664,0.12344398340248963,0.8558091286307054,0.8122406639004149,0.8599585062240664,1000,1000,2,4,0.03630780547701014,19
0.6356801093643198,0.43677375256322626,0.632946001367054,0.36295283663704714,0.6418318523581682,1000,1500,5,7,0.025118864315095794,14
0.7555555555555555,0.3542087542087542,0.7548821548821549,0.5043771043771044,0.7797979797979798,1000,1500,6,8,0.01,13
0.4003831417624521,0.4501915708812261,0.39846743295019155,0.3544061302681992,0.3793103448275862,1000,1000,2,4,0.47863009232263826,6
0.5241749808135073,0.40828856485034537,0.5180353031465849,0.46277820414428245,0.5495011511895626,1000,1500,3,3,0.13182567385564073,2
0.7658227848101266,0.2289029535864979,0.7647679324894515,0.6740506329113924,0.770042194092827,1000,1000,2,5,0.05248074602497726,2
