,dataset,Ours,Zermello,higher_order_speedup,Ours_BIN,Zermello_BIN,binary_speedup
3,9,6.92,601.44,86.91329479768787,7.08,2994.14,422.9011299435028
1,28,7.3,17.12,2.345205479452055,7.22,34.68,4.803324099722992
4,100,19.06,54.7,2.869884575026233,26.8,259.04,9.665671641791045
0,102,11.78,59.54,5.054329371816639,10.94,126.38,11.552102376599635
2,105,18.96,2768.8,146.0337552742616,18.96,2768.8,146.0337552742616
5,106,14.02,23.26,1.6590584878744652,9.9,69.2,6.98989898989899
