prop_ho_greater_std,prop_hol_greater_std,dataset,rep,model
0.5068493150684932,0.4657534246575342,fifa,15,hol
0.28378378378378377,0.2905405405405405,authors,3,ho
0.4732824427480916,0.48091603053435117,ucl,18,hol
0.40458015267175573,0.4198473282442748,ucl,22,hol
0.4520547945205479,0.5205479452054794,fifa,33,hol
0.43243243243243246,0.3918918918918919,authors,23,ho
0.48854961832061067,0.35877862595419846,ucl,46,hol
0.549618320610687,0.4732824427480916,ucl,49,ho
0.5342465753424658,0.589041095890411,fifa,33,ho
0.32432432432432434,0.25675675675675674,authors,45,hol
0.42567567567567566,0.35135135135135137,authors,40,hol
0.3835616438356164,0.4383561643835616,fifa,30,hol
0.44274809160305345,0.48854961832061067,ucl,35,ho
0.4580152671755725,0.4122137404580153,ucl,41,hol
0.4351145038167939,0.5038167938931297,ucl,5,ho
0.4931506849315068,0.4794520547945205,fifa,19,hol
0.4383561643835616,0.547945205479452,fifa,44,hol
0.4122137404580153,0.3511450381679389,ucl,38,hol
0.34459459459459457,0.2905405405405405,authors,8,hol
0.4383561643835616,0.5068493150684932,fifa,29,ho
0.410958904109589,0.6027397260273972,fifa,27,hol
0.4931506849315068,0.5068493150684932,fifa,12,hol
0.38513513513513514,0.4594594594594595,authors,5,ho
0.31756756756756754,0.3310810810810811,authors,12,hol
0.3918918918918919,0.39864864864864863,authors,49,ho
0.3108108108108108,0.35135135135135137,authors,41,ho
0.24324324324324326,0.2702702702702703,authors,26,hol
0.45038167938931295,0.5267175572519084,ucl,9,ho
0.46621621621621623,0.35135135135135137,authors,21,hol
0.4657534246575342,0.5342465753424658,fifa,34,ho
0.44274809160305345,0.5038167938931297,ucl,20,ho
0.5135135135135135,0.3310810810810811,authors,28,hol
0.4931506849315068,0.4794520547945205,fifa,8,hol
0.2635135135135135,0.27702702702702703,authors,24,hol
0.4732824427480916,0.3893129770992366,ucl,36,hol
0.25675675675675674,0.30405405405405406,authors,33,ho
0.5114503816793893,0.44274809160305345,ucl,31,hol
0.4732824427480916,0.46564885496183206,ucl,16,ho
0.6164383561643836,0.5342465753424658,fifa,6,ho
0.4520547945205479,0.5205479452054794,fifa,9,hol
0.4961832061068702,0.4732824427480916,ucl,24,hol
0.48091603053435117,0.48854961832061067,ucl,6,hol
0.5068493150684932,0.5753424657534246,fifa,39,ho
0.547945205479452,0.5205479452054794,fifa,25,ho
0.27702702702702703,0.3783783783783784,authors,47,ho
0.3310810810810811,0.46621621621621623,authors,11,ho
0.42567567567567566,0.27702702702702703,authors,41,hol
0.4580152671755725,0.5038167938931297,ucl,17,ho
0.40540540540540543,0.2905405405405405,authors,13,hol
0.32432432432432434,0.27702702702702703,authors,35,hol
0.4931506849315068,0.5068493150684932,fifa,15,ho
0.5205479452054794,0.589041095890411,fifa,22,hol
0.4527027027027027,0.2905405405405405,authors,28,ho
0.30405405405405406,0.25675675675675674,authors,20,hol
0.4794520547945205,0.4383561643835616,fifa,47,ho
