prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,dataset
0.42857142857142855,0.5408163265306123,0.42857142857142855,0.4387755102040816,0.22448979591836735,00004-00000145
0.6976744186046512,0.3023255813953488,0.6976744186046512,0.23255813953488372,0.6976744186046512,00004-00000086
0.46621621621621623,0.5337837837837838,0.46621621621621623,0.24324324324324326,0.46621621621621623,00004-00000026
0.5929203539823009,0.40707964601769914,0.5929203539823009,0.40707964601769914,0.5929203539823009,00004-00000070
0.5119047619047619,0.4722222222222222,0.5119047619047619,0.25793650793650796,0.5,00004-00000101
0.4358974358974359,0.5384615384615384,0.4358974358974359,0.23076923076923078,0.3974358974358974,00004-00000119
0.36086956521739133,0.6391304347826087,0.36086956521739133,0.22415458937198068,0.41497584541062804,00004-00000043
0.12903225806451613,0.41935483870967744,0.12903225806451613,0.0,0.1935483870967742,00009-00000002
0.384180790960452,0.5706214689265536,0.384180790960452,0.2711864406779661,0.05084745762711865,00004-00000165
0.5497382198952879,0.450261780104712,0.5497382198952879,0.450261780104712,0.2931937172774869,00004-00000078
0.3150684931506849,0.684931506849315,0.3150684931506849,0.3698630136986301,0.3150684931506849,00004-00000077
0.26436781609195403,0.42528735632183906,0.26436781609195403,0.2413793103448276,0.5517241379310345,00004-00000110
0.5986394557823129,0.3333333333333333,0.5986394557823129,0.14965986394557823,0.6666666666666666,00004-00000035
0.6292682926829268,0.37073170731707317,0.6292682926829268,0.37073170731707317,0.6292682926829268,00004-00000068
0.291,0.512,0.292,0.354,0.285,00014-00000001
0.7441860465116279,0.37209302325581395,0.7441860465116279,0.2558139534883721,0.6976744186046512,00004-00000046
0.3597122302158273,0.6402877697841727,0.3597122302158273,0.34532374100719426,0.41007194244604317,00004-00000098
0.589041095890411,0.410958904109589,0.589041095890411,0.4383561643835616,0.2602739726027397,00004-00000132
0.620253164556962,0.3670886075949367,0.620253164556962,0.3291139240506329,0.4050632911392405,00004-00000151
0.45569620253164556,0.7468354430379747,0.45569620253164556,0.25316455696202533,0.2911392405063291,00004-00000180
0.7051282051282052,0.2948717948717949,0.7051282051282052,0.23076923076923078,0.7051282051282052,00004-00000116
0.5714285714285714,0.20238095238095238,0.5714285714285714,0.20238095238095238,0.7976190476190477,00004-00000067
0.31645569620253167,0.6835443037974683,0.31645569620253167,0.17721518987341772,0.6835443037974683,00004-00000050
0.3595505617977528,0.6292134831460674,0.3595505617977528,0.24719101123595505,0.6292134831460674,00004-00000079
