std,stdl,ho,hol,point,spring_rank,dataset
-1.506441148041446,-1.536998770220259,-1.5101399050117594,-1.5359937908594816,-1.632014408360547,-8.82424873731516,00004-00000025
-1.5788935022640123,-1.5888911054385149,-1.5812613841865644,-1.5887025014660612,-1.6598740630449809,-8.844021317663302,00004-00000039
-2.2454852651220616,-2.7386717352803918,-2.231162560580204,-2.663250220439001,-2.595715460018953,-9.231084636858244,00004-00000135
-1.6771392821629085,-1.675964869096577,-1.677547070997001,-1.6759313822851305,-1.7138553035927393,-11.501384899375655,00004-00000058
-1.4876587377002146,-1.5341734888237915,-1.4800381257765707,-1.534087996096913,-1.6408557062598725,-9.536450706097192,00004-00000080
-2.9993853500527865,-3.3125033845143284,-2.9849832796484055,-3.310576950704249,-3.0632056815831716,-16.522615447028656,00004-00000187
-2.6086261371448107,-2.780839933023281,-2.5973298036363737,-2.768475643021697,-2.827465125983708,-12.378928925409308,00004-00000174
-1.2566540309157515,-1.2801603102066532,-1.2551902066144376,-1.2798273864273988,-1.5397948225405975,-11.039782168692279,00004-00000015
-1.4132595594005353,-1.4544467602460183,-1.411584411606007,-1.4523938638875418,-1.525992975208813,-6.046236601497445,00004-00000001
-2.9123856035812308,-2.9948055561530786,-2.9082451494142174,-2.9938127685152907,-2.9820761942108764,-11.732214159186553,00004-00000192
-2.6749632915548895,-2.8668979978375777,-2.7017340305600945,-2.8549496022098886,-2.9045425846956,-13.58623899682617,00004-00000171
-1.759008708586799,-1.767418019926074,-1.7589932573033487,-1.7674014651914358,-1.7714519640833926,-13.061630442560089,00004-00000059
-2.8246994078325107,-2.8664463468067094,-2.842855576497921,-2.8652542088475976,-2.979528799273922,-14.892685088762628,00004-00000156
-1.5494666556434729,-1.5375193972014911,-1.5545547480929678,-1.5375668732449155,-1.6497276248540904,-7.95497897528251,00004-00000027
-1.7742998932752538,-1.7713065683538938,-1.7758951219001415,-1.7713199273658826,-1.7839334076485946,-12.945711064714331,00004-00000032
-1.413224198043793,-1.479194828872958,-1.413502544620213,-1.4781542687466767,-1.5512154829769378,-6.657341171741063,00004-00000097
-1.6753728420807288,-1.6966820530348112,-1.6807796948274856,-1.696165451606788,-1.7116512965696402,-10.919227312890513,00004-00000044
-2.891876077534973,-3.1225760013439805,-2.882284844978034,-3.1199294323083513,-3.011678729375229,-11.894066797179768,00004-00000157
-1.6641168344470432,-1.6849922029364854,-1.6631560767813458,-1.6849192465879699,-1.7154616910366145,-11.843775013881999,00004-00000045
-1.1985379752482646,-1.2044674410840217,-1.197476939186204,-1.2034693345990775,-1.473461699758211,-6.654501608728808,00004-00000003
-1.3770059719692096,-1.399913956994249,-1.3757250685055944,-1.3999572602415942,-1.573772962244114,-8.211557463463373,00004-00000019
-1.4140359437103276,-1.4107637938797606,-1.424657222776502,-1.4101776903471626,-1.6097976747052,-9.214870959725944,00004-00000099
-1.7016151705862812,-1.6929225041851004,-1.7060455193637152,-1.6927690627179457,-1.7086845067502616,-10.580258864161417,00004-00000036
-2.3868769965178247,-2.4227578720698055,-2.3947528251418366,-2.4203938508426432,-2.7149360004665803,-8.992137512449592,00004-00000153
-1.7669227672706151,-1.7679889401155287,-1.7754910553855305,-1.767988092437505,-1.7770010641238936,-12.464363088753748,00004-00000037
-2.8424974846106252,-2.987193235786686,-2.8450251844554524,-2.98665588264055,-2.9537521014708106,-9.981435671282627,00004-00000164
-2.915734329745476,-3.2692525903188527,-2.9094196956279195,-3.253208671577704,-2.9642285276104565,-17.74385903212685,00004-00000184
-2.856699063144161,-3.282967998946443,-2.8319231085990433,-3.2632102000870655,-2.945153510323315,-12.042320581304764,00004-00000170
-3.1166557222653513,-3.434145113465828,-3.101115531936919,-3.432873802151935,-3.137451194158572,-14.994905396412898,00004-00000169
-1.6879013391519886,-1.6977078626427506,-1.686726564862835,-1.6977177398478176,-1.731158016045597,-11.28337675168613,00004-00000095
-1.7898048080754743,-1.8576851301984927,-1.7874434738189737,-1.8576305812399496,-1.7883884908903673,-15.336773923205905,00004-00000091
-1.707460918731135,-1.7457113459881077,-1.7014779342824682,-1.745598817605768,-1.7166773671494855,-11.393122929385102,00004-00000048
-2.6403353351822445,-2.7104147377815377,-2.6396104261807776,-2.709839720041897,-2.9188540229902005,-13.365725877076512,00004-00000198
-18.863692979449883,-22.89609941643854,-19.378515188186835,-19.787632226287766,-20.376176754385547,-33.87193270737383,00053-00000036
-2.8564990307673814,-2.8531303210195498,-2.8598900859298246,-2.8530708828546447,-3.0052187051665724,-12.495774515938779,00004-00000176
-2.7559126695349474,-3.0768605615028264,-2.755667399236643,-3.0522702015851984,-2.869599253326814,-12.556186000091772,00004-00000112
-2.9001076580712497,-2.9892286765138576,-2.898681003206501,-2.986084979468326,-2.9793332407150577,-13.170846310742357,00004-00000114
-1.4667231017960638,-1.4531646150227722,-1.4718825785632366,-1.4534341039231766,-1.6265001384092528,-8.007911836876916,00004-00000065
-2.9844384399527786,-3.214509632573098,-2.970340713521448,-3.2095248413913966,-3.020714799658855,-13.069294250836247,00004-00000155
-1.2102028632131059,-1.1942197730497497,-1.2172479990712097,-1.1942346616053385,-1.4895598298967645,-5.554375436442183,00004-00000014
-1.4349016374042634,-1.496723469680546,-1.4382640805905331,-1.4947543545712083,-1.5700860868253317,-6.809067128982643,00004-00000009
-1.6245660165844442,-1.6156048848487528,-1.6290818986464397,-1.6156228225898428,-1.6963801950844557,-9.60932119047253,00004-00000021
-1.697871526111793,-1.703243088832191,-1.6992561582441164,-1.7032306249183509,-1.7469412922850316,-10.631904972326998,00004-00000096
-1.5800263565991561,-1.5705417110813022,-1.584974711100869,-1.5705454227754816,-1.6855129298482256,-11.085781402940384,00004-00000006
-3.1075309698014704,-3.142733232625276,-3.102260689453185,-3.1424126593952577,-3.1147106633314947,-15.754336134526469,00024-00000002
-2.6507261237107462,-2.674029329166906,-2.649467977465547,-2.6711029925020133,-2.8265543889144666,-9.986789472152724,00004-00000158
-2.938631201224057,-2.961407327065258,-2.9358278502685553,-2.9607764030980266,-3.0086194083175037,-13.788784669974223,00025-00000003
-1.761397941363947,-1.7639490431677798,-1.7629948612638855,-1.7639199830976964,-1.7633580715227692,-13.87395976994885,00004-00000057
-2.7919575800327117,-2.982376405488001,-2.7849531627970032,-2.977062598096963,-2.9262796700419336,-12.676690623805428,00004-00000193
-1.3580427025819675,-1.3521051722311297,-1.359558025030206,-1.3521085756481948,-1.5769292589941823,-9.10227188993349,00004-00000017
-2.813356368141696,-2.833013278163304,-2.8235120583583178,-2.8307605751345233,-2.946723545616602,-12.640074833187974,00004-00000105
-1.6742491776043997,-1.7061724035715977,-1.6812085555529093,-1.7058866425101094,-1.7295404294317491,-12.641581978364119,00004-00000011
-2.3780033314312474,-2.401384938582465,-2.3778752868850765,-2.401962905476393,-2.7569170234420532,-11.740677811894983,00004-00000168
-1.5986880434075015,-1.6177902244763278,-1.5982813649800869,-1.6176178875253864,-1.6765500288504571,-11.772342383611049,00004-00000005
-2.69993987122022,-3.5446539355505005,-2.6698764349226902,-3.4767256709083654,-2.8509178009145404,-11.461387535278758,00004-00000159
-2.754159840251223,-2.8983238624412717,-2.7522125637794423,-2.8958882199562446,-2.8926954063625763,-10.435929796093683,00004-00000104
-2.7864384120408423,-2.8072283776198423,-2.7960607861248885,-2.8073921461521327,-2.943153127294977,-12.483623069768182,00004-00000122
-3.1669113446043724,-3.250964604614492,-3.1659878816306457,-3.2504191160756712,-3.169849259614015,-17.365941955209912,00004-00000140
-2.7075625798164036,-2.8066595757801496,-2.6796193927068543,-2.8069002535152965,-2.9177017843821393,-8.612803261692967,00004-00000183
-2.881015277832761,-3.0011349683194615,-2.8887243356480385,-2.9989396011467493,-2.978389904652704,-11.540936721559309,00004-00000194
-1.7084132173661024,-1.7486471047418612,-1.7058915164184598,-1.7486379804373857,-1.7386293900059924,-11.278546308591396,00004-00000002
-1.5017981245720624,-1.5111217086618143,-1.5009713191617984,-1.5109711208005452,-1.6127293021439804,-8.486648592265144,00004-00000010
-1.4887461377508568,-1.5017412632064602,-1.4924096013773356,-1.5016946233763346,-1.628535791494043,-9.103290512710261,00004-00000020
-1.5730840830939934,-1.5665314135884874,-1.5794089400092506,-1.566569660358542,-1.681819125294346,-10.064475064178774,00004-00000022
-1.6613442500137636,-1.6610919677648024,-1.6617677670265556,-1.661113068217796,-1.7234591354128201,-10.3238543300514,00004-00000081
-2.0520993433884422,-2.388304732669084,-2.043976170326524,-2.3783021644107816,-2.5808067542369115,-7.065582902448157,00004-00000195
-2.6079213208499468,-2.615187730930327,-2.6087829703624172,-2.615148894561372,-2.87952970151797,-13.16406902294207,00004-00000142
-2.8002491129671614,-2.843077321658934,-2.793773541955989,-2.8427172991785157,-2.958191641508919,-15.081610148041632,00004-00000185
-2.7825376574758627,-2.7414499011975417,-2.7986000424623185,-2.7407218624011214,-2.957220708178604,-15.26504546165555,00004-00000160
-2.984621756779505,-2.9824008687480394,-2.988668285316436,-2.9821837724097713,-3.075203995344956,-15.46142585138079,00004-00000147
-2.535733941938246,-2.70172486181852,-2.534330773221898,-2.692759309976094,-2.819060733517777,-12.886725391432174,00004-00000136
-3.0097231689675707,-3.065258178201223,-3.004473409477281,-3.0643340568313517,-3.0630004419926062,-16.169968756968725,00004-00000138
-2.321307394212559,-2.427954222349413,-2.3253381284450074,-2.419680675285252,-2.7378036218517607,-11.574835256438536,00004-00000181
-1.2665653106787604,-1.2823275111488233,-1.2626006656205129,-1.2797381378651154,-1.4331680713668735,-4.684960689465413,00004-00000063
-2.7773341996770764,-2.956915573180565,-2.7504925656444286,-2.952419780772501,-2.847863888378164,-11.13311499809978,00004-00000124
-2.9731910400043304,-3.1607973263909908,-2.974131946817438,-3.155927518400919,-3.0236133904422813,-12.994339150847441,00004-00000163
-1.292398581416116,-1.336821710589061,-1.28922837035393,-1.3346928885461842,-1.4783628846738117,-6.391274010029627,00004-00000075
-1.6120707635397493,-1.6203109495150283,-1.6128967959222167,-1.6202162439752277,-1.680695180520199,-9.478868684627239,00004-00000047
-2.2519663091699766,-2.4475536873368395,-2.2449389278945304,-2.4459067815978206,-2.7465108702171173,-9.52600071219351,00004-00000143
-1.7273970507397036,-1.726725891608993,-1.729403580701495,-1.7268006468792427,-1.7636969401647902,-10.148340822356372,00004-00000060
-1.7238827512806565,-1.727408059360877,-1.7228885781109955,-1.727495709029593,-1.7597233665577412,-10.187737387592353,00004-00000073
-1.623974711650765,-1.6526692044208557,-1.6214804717242766,-1.652563737303275,-1.6801596187539949,-10.583390291124964,00004-00000024
-1.7242197169754165,-1.7028046248741042,-1.7324115339328634,-1.7028769401867851,-1.761281047770043,-11.481886447399122,00004-00000029
-2.953800546080363,-2.973722443931086,-2.958547171259224,-2.973791638710417,-3.047398187199567,-12.311188347718831,00004-00000200
-2.732471082874562,-2.930144255795264,-2.754136514249058,-2.9252122930094306,-2.9072183753517225,-10.606341989365959,00004-00000103
-1.526238723325593,-1.5328130175048553,-1.5255268815822598,-1.5326840313841346,-1.6359629401311104,-10.500768416772651,00004-00000013
-3.0225548634553308,-3.225646414615639,-3.0027005898971475,-3.2246689991100976,-3.0576989369307492,-12.913937428085546,00004-00000117
-1.4688255339155825,-1.4847341913422172,-1.4662526628028243,-1.484234626350228,-1.5808306747404242,-7.894459762223456,00004-00000018
-2.8390050475363533,-2.8738108835276672,-2.834180137386717,-2.8740069235791497,-2.9854121644485083,-12.44224765768145,00004-00000190
-1.6908581433955632,-1.7274520410983978,-1.699817986640069,-1.7266835750469804,-1.7347660254299873,-11.546535455793197,00004-00000061
-2.20280663335232,-2.178748151422244,-2.2090294978381806,-2.17964074903797,-2.7127245567462372,-8.960649608888652,00004-00000150
-2.9308205153753915,-2.962121900992549,-2.928583492400061,-2.961640206669005,-3.0034757828461336,-13.673608775388823,00025-00000002
-1.2417591372011445,-1.23354692796719,-1.2443877665336414,-1.233742960596273,-1.5201364906362407,-6.825912665645054,00004-00000100
-2.4660302432670718,-2.629086934855874,-2.4756788109581933,-2.6110824731581253,-2.788815019652884,-9.115001620626623,00004-00000162
-1.5829560968739278,-1.5930408824081135,-1.5840941293293518,-1.5928436182098966,-1.6620776916795632,-9.087012181014709,00004-00000028
-1.6116948588427642,-1.6135297501751609,-1.6126624037075243,-1.6135055361442108,-1.6863097041632475,-9.636687111117302,00004-00000041
-1.6809638611017406,-1.7183991319811205,-1.6804294442338126,-1.7179153237549056,-1.722115651006785,-11.325365482223459,00004-00000012
-2.908114588453605,-3.004397906621699,-2.9042882231449956,-3.0031969767026694,-3.005431569814002,-11.847753912588926,00004-00000137
-1.7554931134084004,-1.7991667130001916,-1.7513188686967078,-1.7987018425265568,-1.7612146924717031,-12.687646977410825,00004-00000083
-2.4647202738684113,-2.622957953647921,-2.4544365077685812,-2.610913103969769,-2.761845332446792,-14.438923343376286,00004-00000179
-1.4801170712318659,-1.6060506506607366,-1.4718233623880028,-1.6046548574858104,-1.6157658662669538,-11.13431903408085,00004-00000088
-1.5781834021699266,-1.668749869708173,-1.5755684917473443,-1.665933267736411,-1.6174740947238886,-10.912448868613197,00004-00000069
-2.2496320620211083,-2.2634569390447887,-2.25164319800715,-2.260797273107372,-2.6374000746169233,-8.269833687264065,00004-00000128
-1.694225136097026,-1.7028677311338762,-1.694448847781817,-1.7028904358250112,-1.7338684395284862,-10.690268118121011,00004-00000008
-2.8788114455124916,-2.972387874193854,-2.8753931836012243,-2.9723539099186307,-3.010506033943612,-13.97535626545068,00004-00000141
-1.6804583803820925,-1.6943330088723503,-1.6849179259149833,-1.694302082287533,-1.7343069535876636,-12.160232854039426,00004-00000072
-3.0878815670927295,-3.2739759057699986,-3.0781617924748343,-3.272857458673618,-3.1082170616649796,-13.947137774047206,00004-00000166
-2.4371272101105954,-2.651385082094926,-2.4281136113326185,-2.6464241056900932,-2.779825632010271,-10.923944512973792,00004-00000177
-2.6623510575056164,-2.698743239455798,-2.6562980598644614,-2.6979737987888384,-2.8931610662839984,-15.387822639340742,00004-00000167
-1.6262959442413805,-1.6408139503101262,-1.6241078042522696,-1.6408571250993025,-1.707875807591068,-9.333058573194267,00004-00000004
-1.2879981011985504,-1.2936397484290003,-1.2996670394691967,-1.2921827958874221,-1.5138629543484123,-5.436590158917646,00004-00000030
-1.3886884857322574,-1.4047098201308634,-1.3876247318494896,-1.4042843027549317,-1.5460811565326724,-6.650057647959908,00004-00000053
-2.5022726632452117,-2.7114986035358246,-2.519988658591099,-2.6816517309844055,-2.7962934312263967,-9.983382976976626,00004-00000108
-2.958564442716773,-3.108076398161517,-2.93924580632057,-3.104038466617222,-3.012235049349162,-16.79032219901513,00004-00000113
-1.8059067194343352,-1.8263303562478073,-1.8003307724597706,-1.8262142141291726,-1.794004751045955,-16.77448259411388,00004-00000033
-2.645915809786281,-2.707862636731485,-2.6519296607833267,-2.7041777830676694,-2.8502320095023572,-11.219777734308234,00004-00000186
-2.861311368979346,-2.9507092686173197,-2.8541321827089305,-2.9511755339701016,-2.999780266238863,-11.917391888265662,00004-00000173
-3.0808177099155483,-3.1917923056003925,-3.073457570937837,-3.1910352504855783,-3.101057642760583,-15.95653943711422,00004-00000191
-2.9420376455620123,-3.2001236580113654,-2.9100871873183154,-3.193326430420571,-3.0384091346931554,-16.728357415956676,00004-00000127
-1.566287557045491,-1.5856714374992684,-1.565145912447808,-1.5856571190195554,-1.665518547445435,-10.97250825133404,00004-00000007
-2.7834157709966734,-2.798137894702287,-2.783827548985472,-2.797882888482764,-2.942201630679181,-13.43915439712179,00004-00000118
-3.0315277446540643,-3.772711626516386,-2.952292555529998,-3.7448080763086624,-3.047148550560414,-18.928548352234326,00004-00000172
-1.7436821806104374,-1.7705331329030751,-1.740453592694524,-1.7703850475747154,-1.765480021030477,-13.533991199962834,00004-00000066
-2.6372362472535222,-2.6475848159773108,-2.6376992324716935,-2.6477105170183353,-2.8414520907601077,-10.006265310239288,00004-00000175
-9.707442948579567,-10.616217658732149,-9.739422754034251,-10.616329265040443,-11.622580928765524,-22.95410856055976,00009-00000001
