Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
City,1968,100m,Backstroke,0,Men,GDR,Roland Matthes,58.700,4
City,1968,100m,Backstroke,0,Men,USA,Charlie Hickcox,00:01:00.200000,1
City,1968,100m,Backstroke,0,Men,USA,Ronald P. Mills,00:01:00.500000,2
City,1968,100m,Backstroke,0,Men,USA,Lawrence Edward Barbiere,00:01:01.100000,3
City,1968,100m,Backstroke,0,Men,CAN,James Shaw,00:01:01.400000,4
City,1968,100m,Backstroke,0,Men,NED,Robert (Bob) Schoutsen,00:01:01.800000,4
City,1968,100m,Backstroke,0,Men,FRG,Reinhard Blechert,00:01:01.900000,4
City,1968,100m,Backstroke,0,Men,ITA,Franco Del Campo,00:01:02.000000,4
City,1968,100m,Backstroke,0,Women,USA,Kaye Marie Hall,00:01:06.200000,1
City,1968,100m,Backstroke,0,Women,CAN,Elaine Tanner,00:01:06.700000,2
City,1968,100m,Backstroke,0,Women,USA,Jane Ellen Swagerty,00:01:08.100000,3
City,1968,100m,Backstroke,0,Women,USA,Kendis Marion Moore,00:01:08.300000,4
City,1968,100m,Backstroke,0,Women,HUN,Andrea Gyarmati,00:01:09.100000,4
City,1968,100m,Backstroke,0,Women,AUS,Lynette Watson,00:01:09.100000,4
City,1968,100m,Backstroke,0,Women,FRA,Sylvie Canet-Le Noach,00:01:09.300000,4
City,1968,100m,Backstroke,0,Women,NZL,Glenda Joy Stirling,00:01:10.600000,4
City,1968,100m,Breaststroke,0,Men,USA,Donald Ward Jr. Mckenzie,00:01:07.700000,1
City,1968,100m,Breaststroke,0,Men,URS,Vladimir Kosinsky,00:01:08.000000,2
City,1968,100m,Breaststroke,0,Men,URS,Nikolai Pankin,00:01:08.000000,2
City,1968,100m,Breaststroke,0,Men,BRA,Jose Sylvio Fiolo,00:01:08.100000,4
City,1968,100m,Breaststroke,0,Men,URS,Yevhen Mykhailov,00:01:08.400000,4
City,1968,100m,Breaststroke,0,Men,AUS,Lawrence Ian O'Brien,00:01:08.600000,4
City,1968,100m,Breaststroke,0,Men,ARG,Alberto Forelli Lopez,00:01:08.700000,4
City,1968,100m,Breaststroke,0,Men,GDR,Egon Henninger,00:01:09.700000,4
City,1968,100m,Breaststroke,0,Women,YUG,Djurdjica Bjedov,00:01:15.800000,1
City,1968,100m,Breaststroke,0,Women,URS,Halyna Prozumenshchykova-Stepanova,00:01:15.900000,2
City,1968,100m,Breaststroke,0,Women,USA,Sharon Lynn Wichman,00:01:16.100000,3
City,1968,100m,Breaststroke,0,Women,FRG,Uta Frommater,00:01:16.200000,4
City,1968,100m,Breaststroke,0,Women,USA,Catherine Ball,00:01:16.700000,4
City,1968,100m,Breaststroke,0,Women,JPN,Kiyoe Nakagawa,00:01:17.000000,4
City,1968,100m,Breaststroke,0,Women,URS,Svetlana Babanina,00:01:17.200000,4
City,1968,100m,Breaststroke,0,Women,URU,Ana-Maria Norbis,00:01:17.300000,4
City,1968,100m,Butterfly,0,Men,USA,Douglas Albert Russell,55.900,1
City,1968,100m,Butterfly,0,Men,USA,Mark Spitz,56.400,2
City,1968,100m,Butterfly,0,Men,USA,Ross Elliott Wales,57.200,3
City,1968,100m,Butterfly,0,Men,URS,Vladimir Nemshilov,58.100,4
City,1968,100m,Butterfly,0,Men,JPN,Satoshi Maruya,58.600,4
City,1968,100m,Butterfly,0,Men,URS,Yuri Suzdaltsev,58.800,4
City,1968,100m,Butterfly,0,Men,FRG,Lutz Stocklasa,58.900,4
City,1968,100m,Butterfly,0,Men,AUS,Robert Cusack,59.800,4
City,1968,100m,Butterfly,0,Women,AUS,Lynette Mcclements,00:01:05.500000,1
City,1968,100m,Butterfly,0,Women,USA,Eleanor Suzanne Daniel,00:01:05.800000,2
City,1968,100m,Butterfly,0,Women,USA,Susanne Marie Shields,00:01:06.200000,3
City,1968,100m,Butterfly,0,Women,NED,Aagje Ada Kok,00:01:06.200000,3
City,1968,100m,Butterfly,0,Women,HUN,Andrea Gyarmati,00:01:06.800000,4
City,1968,100m,Butterfly,0,Women,FRG,Heike Hustede-Nagel,00:01:06.900000,4
City,1968,100m,Butterfly,0,Women,USA,Antonia (Toni) Hewitt,00:01:07.500000,4
