Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Beijing,2008,100m,Backstroke,0,Men,USA,Aaron Peirsol,52.540,1
Beijing,2008,100m,Backstroke,0,Men,USA,Matt Grevers,53.110,2
Beijing,2008,100m,Backstroke,0,Men,RUS,Arkady Vyatchanin,53.180,3
Beijing,2008,100m,Backstroke,0,Men,AUS,Hayden Stoeckel,53.180,3
Beijing,2008,100m,Backstroke,0,Men,AUS,Ashley Delaney,53.310,4
Beijing,2008,100m,Backstroke,0,Men,GBR,Liam Tancock,53.390,4
Beijing,2008,100m,Backstroke,0,Men,ESP,Aschwin Wildeboer Faber,53.510,4
Beijing,2008,100m,Backstroke,0,Men,JPN,Junichi Miyashita,53.990,4
Beijing,2008,100m,Backstroke,0,Women,USA,Natalie Coughlin,58.960,3
Beijing,2008,100m,Backstroke,0,Women,ZIM,Kirsty Leigh Coventry,59.190,4
Beijing,2008,100m,Backstroke,0,Women,USA,Margaret Hoelzer,59.340,4
Beijing,2008,100m,Backstroke,0,Women,GBR,Gemma Spofforth,59.380,4
Beijing,2008,100m,Backstroke,0,Women,RUS,Anastasia Zueva,59.400,4
Beijing,2008,100m,Backstroke,0,Women,JPN,Reiko Nakamura,59.720,4
Beijing,2008,100m,Backstroke,0,Women,FRA,Laure Manaudou,00:01:00.100000,1
Beijing,2008,100m,Backstroke,0,Women,JPN,Hanae Ito,00:01:00.180000,2
Beijing,2008,100m,Breaststroke,0,Men,JPN,Kosuke Kitajima,58.910,3
Beijing,2008,100m,Breaststroke,0,Men,NOR,Alexander Dale Oen,59.200,4
Beijing,2008,100m,Breaststroke,0,Men,FRA,Hugues Duboscq,59.370,4
Beijing,2008,100m,Breaststroke,0,Men,USA,Brendan Hansen,59.570,4
Beijing,2008,100m,Breaststroke,0,Men,AUS,Brenton Rickard,59.740,4
Beijing,2008,100m,Breaststroke,0,Men,RUS,Roman Sloudnov,59.870,4
Beijing,2008,100m,Breaststroke,0,Men,UKR,Ihor Borysyk,00:01:00.200000,1
Beijing,2008,100m,Breaststroke,0,Men,USA,Mark Gangloff,00:01:00.240000,2
Beijing,2008,100m,Breaststroke,0,Women,AUS,Leisel Jones,00:01:05.170000,1
Beijing,2008,100m,Breaststroke,0,Women,USA,Rebecca Soni,00:01:06.730000,2
Beijing,2008,100m,Breaststroke,0,Women,AUT,Mirna Jukic,00:01:07.340000,3
Beijing,2008,100m,Breaststroke,0,Women,RUS,Yuliya Efimova,00:01:07.430000,4
Beijing,2008,100m,Breaststroke,0,Women,USA,Megan Quann,00:01:07.620000,4
Beijing,2008,100m,Breaststroke,0,Women,AUS,Tarnee White,00:01:07.630000,4
Beijing,2008,100m,Breaststroke,0,Women,CHN,Ye Sun,00:01:08.080000,4
