Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Rome,1960,100m,Backstroke,0,Men,AUS,David Egmont Theile,00:01:01.900000,1
Rome,1960,100m,Backstroke,0,Men,USA,Frank Edward Jr. Mckinney,00:01:02.100000,2
Rome,1960,100m,Backstroke,0,Men,USA,Robert Earl Bennett,00:01:02.300000,3
Rome,1960,100m,Backstroke,0,Men,FRA,Robert Christophe,00:01:03.200000,4
Rome,1960,100m,Backstroke,0,Men,URS,Leonid Barbier,00:01:03.500000,4
Rome,1960,100m,Backstroke,0,Men,GER,Wolfgang Wagner,00:01:03.500000,4
Rome,1960,100m,Backstroke,0,Men,AUS,John James Monckton,00:01:04.100000,4
Rome,1960,100m,Backstroke,0,Men,URS,Veiko Siimar,00:01:04.600000,4
Rome,1960,100m,Backstroke,0,Women,USA,Lynn Edythe Burke,00:01:09.300000,1
Rome,1960,100m,Backstroke,0,Women,GBR,Natalie Alwyne Steward,00:01:10.800000,2
Rome,1960,100m,Backstroke,0,Women,JPN,Satoko Tanaka,00:01:11.400000,3
Rome,1960,100m,Backstroke,0,Women,RSA,Laura Ranwell,00:01:11.400000,3
Rome,1960,100m,Backstroke,0,Women,FRA,Rose Piacentini,00:01:11.400000,3
Rome,1960,100m,Backstroke,0,Women,GBR,Sylvia Anne Lewis,00:01:11.800000,4
Rome,1960,100m,Backstroke,0,Women,NED,Maria (Ria) Martina Van Velsen,00:01:12.100000,4
Rome,1960,100m,Backstroke,0,Women,FRA,Nadine Delache,00:01:12.400000,4
Rome,1960,100m,Butterfly,0,Women,USA,Carolyn Jane Schuler,00:01:09.500000,1
Rome,1960,100m,Butterfly,0,Women,NED,Marianne Yvonne Heemskerk,00:01:10.400000,2
Rome,1960,100m,Butterfly,0,Women,AUS,Janice Andrew,00:01:12.200000,3
Rome,1960,100m,Butterfly,0,Women,GBR,Sheila Watt,00:01:13.300000,4
Rome,1960,100m,Butterfly,0,Women,NED,Aartje Johanna Voorbij,00:01:13.300000,4
Rome,1960,100m,Butterfly,0,Women,URS,Zinaida Belovetskaya,00:01:13.300000,4
Rome,1960,100m,Butterfly,0,Women,SWE,Kristina Larsson,00:01:13.600000,4
Rome,1960,100m,Butterfly,0,Women,USA,Carolyn Virginia Wood,Did not finish,0
Rome,1960,100m,Freestyle,0,Men,AUS,John Devitt,55.200,2
Rome,1960,100m,Freestyle,0,Men,USA,Lance Melvin Larson,55.100,1
Rome,1960,100m,Freestyle,0,Men,BRA,Manuel Dos Santos Filho,55.400,3
Rome,1960,100m,Freestyle,0,Men,USA,Richard Bruce Hunter,55.600,4
Rome,1960,100m,Freestyle,0,Men,HUN,Gyula Dobai,56.300,4
Rome,1960,100m,Freestyle,0,Men,CAN,Richard W. Pound,56.300,4
Rome,1960,100m,Freestyle,0,Men,RSA,Aubrey Burer,56.300,4
Rome,1960,100m,Freestyle,0,Men,SWE,Per-Ola Lindberg,57.100,4
Rome,1960,100m,Freestyle,0,Women,AUS,Dawn Fraser,00:01:01.200000,1
Rome,1960,100m,Freestyle,0,Women,USA,Chris Von Saltza,00:01:02.800000,2
Rome,1960,100m,Freestyle,0,Women,GBR,Natalie Alwyne Steward,00:01:03.100000,3
Rome,1960,100m,Freestyle,0,Women,USA,Carolyn Virginia Wood,00:01:03.400000,4
Rome,1960,100m,Freestyle,0,Women,HUN,Csilla Madarasz-Bajnogel-Dobai,00:01:03.600000,4
Rome,1960,100m,Freestyle,0,Women,NED,Erica Georgine Terpstra,00:01:04.300000,4
Rome,1960,100m,Freestyle,0,Women,NED,Cocki Van Engelsdorp Gastelaars,00:01:04.700000,4
Rome,1960,100m,Freestyle,0,Women,CAN,Mary Pauline Stewart,00:01:05.500000,4
Rome,1960,1500m,Freestyle,0,Men,AUS,John (Jon) Konrads,00:17:19.600000,1
Rome,1960,1500m,Freestyle,0,Men,AUS,Murray Rose,00:17:21.700000,2
Rome,1960,1500m,Freestyle,0,Men,USA,George Thomas Breen,00:17:30.600000,3
Rome,1960,1500m,Freestyle,0,Men,JPN,Tsuyoshi Yamanaka,00:17:34.700000,4
Rome,1960,1500m,Freestyle,0,Men,HUN,Jozsef Katona,00:17:43.700000,4
Rome,1960,1500m,Freestyle,0,Men,RSA,Murray Mclachlan,00:17:44.900000,4
Rome,1960,1500m,Freestyle,0,Men,USA,Alan Brounell Somers,00:18:02.800000,4
Rome,1960,1500m,Freestyle,0,Men,GBR,Richard Campion,00:18:22.700000,4
Rome,1960,200m,Breaststroke,0,Men,USA,William Danforth Mulliken,00:02:37.400000,1
Rome,1960,200m,Breaststroke,0,Men,JPN,Yoshihiko Osaki,00:02:38.000000,2
Rome,1960,200m,Breaststroke,0,Men,NED,Wieger Emile Mensonides,00:02:39.700000,3
Rome,1960,200m,Breaststroke,0,Men,GER,Egon Henninger,00:02:40.100000,4
Rome,1960,200m,Breaststroke,0,Men,ITA,Roberto Lazzari,00:02:40.100000,4
Rome,1960,200m,Breaststroke,0,Men,AUS,Terence Gathercole,00:02:40.200000,4
Rome,1960,200m,Breaststroke,0,Men,POL,Andrzej Klopotowski,00:02:41.200000,4
Rome,1960,200m,Breaststroke,0,Men,USA,Paul William Hait,00:02:41.400000,4
Rome,1960,200m,Breaststroke,0,Women,GBR,Anita Lonsbrough,00:02:49.500000,1
Rome,1960,200m,Breaststroke,0,Women,GER,Wiltrud Urselmann,00:02:50.000000,2
Rome,1960,200m,Breaststroke,0,Women,GER,Barbara Göbel,00:02:53.600000,3
