Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Atlanta,1996,100m,Backstroke,0,Men,USA,Jeff Norman Rouse,54.100,1
Atlanta,1996,100m,Backstroke,0,Men,CUB,Rodolfo Falcon Cabrera,54.980,2
Atlanta,1996,100m,Backstroke,0,Men,CUB,Neisser Bent,55.020,3
Atlanta,1996,100m,Backstroke,0,Men,ESP,Martin Lopez Zubero,55.220,4
Atlanta,1996,100m,Backstroke,0,Men,USA,Tripp Schwenk,55.300,4
Atlanta,1996,100m,Backstroke,0,Men,ITA,Emanuele Merisi,55.530,4
Atlanta,1996,100m,Backstroke,0,Men,GER,Ralf Braun,55.560,4
Atlanta,1996,100m,Backstroke,0,Men,FRA,Franck Schott,55.760,4
Atlanta,1996,100m,Backstroke,0,Women,USA,Beth Botsford,00:01:01.190000,1
Atlanta,1996,100m,Backstroke,0,Women,USA,Whitney L. Hedgepeth,00:01:01.470000,2
Atlanta,1996,100m,Backstroke,0,Women,RSA,Marianne Kriel,00:01:02.120000,3
Atlanta,1996,100m,Backstroke,0,Women,JPN,Mai Nakamura,00:01:02.330000,4
Atlanta,1996,100m,Backstroke,0,Women,CHN,Yan Chen,00:01:02.500000,4
Atlanta,1996,100m,Backstroke,0,Women,GER,Antje Buschschulte,00:01:02.520000,4
Atlanta,1996,100m,Backstroke,0,Women,AUS,Nicole Livingstone,00:01:02.700000,4
Atlanta,1996,100m,Backstroke,0,Women,JPN,Miki Nakao,00:01:02.780000,4
Atlanta,1996,100m,Breaststroke,0,Men,BEL,Frederik Deburghgraeve,00:01:00.650000,1
Atlanta,1996,100m,Breaststroke,0,Men,USA,Jeremy Linn,00:01:00.770000,2
Atlanta,1996,100m,Breaststroke,0,Men,GER,Mark Warnecke,00:01:01.330000,3
Atlanta,1996,100m,Breaststroke,0,Men,HUN,Karoly Guttler,00:01:01.490000,4
Atlanta,1996,100m,Breaststroke,0,Men,AUS,Philip John Rogers,00:01:01.640000,4
Atlanta,1996,100m,Breaststroke,0,Men,USA,Kurt Grote,00:01:01.690000,4
Atlanta,1996,100m,Breaststroke,0,Men,CHN,Qiliang Zeng,00:01:02.010000,4
Atlanta,1996,100m,Breaststroke,0,Men,RUS,Stanislav Lopukhov,00:01:02.130000,4
Atlanta,1996,100m,Breaststroke,0,Women,RSA,Penelope Heyns,00:01:07.730000,1
Atlanta,1996,100m,Breaststroke,0,Women,USA,Amanda Beard,00:01:08.090000,2
Atlanta,1996,100m,Breaststroke,0,Women,AUS,Samantha Linette Riley,00:01:09.180000,3
Atlanta,1996,100m,Breaststroke,0,Women,UKR,Svitlana Bondarenko,00:01:09.210000,4
Atlanta,1996,100m,Breaststroke,0,Women,AUT,Vera Lischka,00:01:09.240000,4
Atlanta,1996,100m,Breaststroke,0,Women,CAN,Guylaine Cloutier,00:01:09.400000,4
Atlanta,1996,100m,Breaststroke,0,Women,HUN,Agnes Kovacs,00:01:09.550000,4
Atlanta,1996,100m,Breaststroke,0,Women,BEL,Brigitte Becue,00:01:09.790000,4
Atlanta,1996,100m,Butterfly,0,Men,RUS,Denis Pankratov,52.270,1
Atlanta,1996,100m,Butterfly,0,Men,AUS,Scott Miller,52.530,2
Atlanta,1996,100m,Butterfly,0,Men,RUS,Vladislav Kulikov,53.130,3
Atlanta,1996,100m,Butterfly,0,Men,CHN,Chengji Jiang,53.200,4
Atlanta,1996,100m,Butterfly,0,Men,POL,Rafal Szukala,53.290,4
Atlanta,1996,100m,Butterfly,0,Men,AUS,Michael Klim,53.300,4
Atlanta,1996,100m,Butterfly,0,Men,CAN,Stephen Clarke,53.330,4
Atlanta,1996,100m,Butterfly,0,Men,UKR,Pavlo Khnykin,53.580,4
Atlanta,1996,100m,Butterfly,0,Women,USA,Amy Van Dyken,59.130,4
Atlanta,1996,100m,Butterfly,0,Women,CHN,Limin Liu,59.140,4
Atlanta,1996,100m,Butterfly,0,Women,USA,Angel Martino,59.230,4
Atlanta,1996,100m,Butterfly,0,Women,JPN,Hitomi Kashima,00:01:00.110000,1
Atlanta,1996,100m,Butterfly,0,Women,AUS,Susan O'Neill,00:01:00.170000,2
Atlanta,1996,100m,Butterfly,0,Women,JPN,Ayari Aoyama,00:01:00.180000,3
Atlanta,1996,100m,Butterfly,0,Women,CHN,Huijue Cai,00:01:00.460000,4
Atlanta,1996,100m,Butterfly,0,Women,DEN,Mette Jacobsen,00:01:00.760000,4
Atlanta,1996,100m,Freestyle,0,Men,RUS,Alexander Popov,48.740,1
Atlanta,1996,100m,Freestyle,0,Men,USA,"Gary Hall, Jr.",48.810,2
Atlanta,1996,100m,Freestyle,0,Men,BRA,Gustavo Borges,49.020,3
Atlanta,1996,100m,Freestyle,0,Men,NED,Pieter Van Den Hoogenband,49.130,4
Atlanta,1996,100m,Freestyle,0,Men,BRA,Fernando Scherer,49.570,4
Atlanta,1996,100m,Freestyle,0,Men,UKR,Pavlo Khnykin,49.650,4
Atlanta,1996,100m,Freestyle,0,Men,PUR,Ricardo Busquets Healy,49.680,4
Atlanta,1996,100m,Freestyle,0,Men,VEN,Francisco Sanchez,49.840,4
Atlanta,1996,100m,Freestyle,0,Women,CHN,Jingyi Le,54.500,1
Atlanta,1996,100m,Freestyle,0,Women,GER,Sandra Voelker,54.880,2
Atlanta,1996,100m,Freestyle,0,Women,USA,Angel Martino,54.930,3
Atlanta,1996,100m,Freestyle,0,Women,USA,Amy Van Dyken,55.110,4
Atlanta,1996,100m,Freestyle,0,Women,GER,Franziska Van Almsick,55.590,4
Atlanta,1996,100m,Freestyle,0,Women,AUS,Sarah Ryan,55.850,4
Atlanta,1996,100m,Freestyle,0,Women,DEN,Mette Jacobsen,56.010,4
Atlanta,1996,100m,Freestyle,0,Women,NED,Karin Brienesse,56.120,4
Atlanta,1996,1500m,Freestyle,0,Men,AUS,Kieren John Perkins,00:14:56.400000,1
Atlanta,1996,1500m,Freestyle,0,Men,AUS,Daniel Kowalski,00:15:02.430000,2
Atlanta,1996,1500m,Freestyle,0,Men,GBR,Graeme Smith,00:15:02.480000,3
Atlanta,1996,1500m,Freestyle,0,Men,ITA,Emiliano Brembilla,00:15:08.580000,4
Atlanta,1996,1500m,Freestyle,0,Men,RSA,Ryk Neethling,00:15:14.630000,4
Atlanta,1996,1500m,Freestyle,0,Men,JPN,Masato Hirano,00:15:17.280000,4
Atlanta,1996,1500m,Freestyle,0,Men,GER,Jörg Hoffmann,00:15:18.860000,4
Atlanta,1996,1500m,Freestyle,0,Men,RUS,Aleksey Akatyev,00:15:21.680000,4
Atlanta,1996,200m,Backstroke,0,Men,USA,Brad Bridgewater,00:01:58.540000,1
Atlanta,1996,200m,Backstroke,0,Men,USA,Tripp Schwenk,00:01:58.990000,2
Atlanta,1996,200m,Backstroke,0,Men,ITA,Emanuele Merisi,00:01:59.180000,3
Atlanta,1996,200m,Backstroke,0,Men,POL,Bartosz Sikora,00:02:00.050000,4
Atlanta,1996,200m,Backstroke,0,Men,JPN,Hajime Itoi,00:02:00.100000,4
Atlanta,1996,200m,Backstroke,0,Men,ESP,Martin Lopez Zubero,00:02:00.740000,4
Atlanta,1996,200m,Backstroke,0,Men,ITA,Mirko Mazzari,00:02:01.270000,4
Atlanta,1996,200m,Backstroke,0,Men,CUB,Rodolfo Falcon Cabrera,00:02:08.140000,4
Atlanta,1996,200m,Backstroke,0,Women,HUN,Krisztina Egerszegi,00:02:07.830000,1
Atlanta,1996,200m,Backstroke,0,Women,USA,Whitney L. Hedgepeth,00:02:11.980000,2
Atlanta,1996,200m,Backstroke,0,Women,GER,Cathleen Rund,00:02:12.060000,3
Atlanta,1996,200m,Backstroke,0,Women,GER,Anke Scholz,00:02:12.900000,4
Atlanta,1996,200m,Backstroke,0,Women,JPN,Miki Nakao,00:02:13.570000,4
Atlanta,1996,200m,Backstroke,0,Women,NZL,Anna Katrina Simcic,00:02:14.040000,4
Atlanta,1996,200m,Backstroke,0,Women,ITA,Lorenza Vigarani,00:02:14.560000,4
Atlanta,1996,200m,Backstroke,0,Women,RUS,Nina Alexandrovna Zhivanevskaya,00:02:14.590000,4
Atlanta,1996,200m,Breaststroke,0,Men,HUN,Norbert Rozsa,00:02:12.570000,1
Atlanta,1996,200m,Breaststroke,0,Men,HUN,Karoly Guttler,00:02:13.030000,2
Atlanta,1996,200m,Breaststroke,0,Men,RUS,Andrey Korneyev,00:02:13.170000,3
Atlanta,1996,200m,Breaststroke,0,Men,GBR,Nick Gillingham,00:02:14.370000,4
Atlanta,1996,200m,Breaststroke,0,Men,AUS,Philip John Rogers,00:02:14.790000,4
Atlanta,1996,200m,Breaststroke,0,Men,POL,Marek Krawczyk,00:02:14.840000,4
Atlanta,1996,200m,Breaststroke,0,Men,USA,Eric Wunderlich,00:02:15.690000,4
Atlanta,1996,200m,Breaststroke,0,Men,USA,Kurt Grote,00:02:16.050000,4
Atlanta,1996,200m,Breaststroke,0,Women,RSA,Penelope Heyns,00:02:25.410000,1
Atlanta,1996,200m,Breaststroke,0,Women,USA,Amanda Beard,00:02:25.750000,2
Atlanta,1996,200m,Breaststroke,0,Women,HUN,Agnes Kovacs,00:02:26.570000,3
Atlanta,1996,200m,Breaststroke,0,Women,AUS,Samantha Linette Riley,00:02:27.910000,4
Atlanta,1996,200m,Breaststroke,0,Women,JPN,Masami Tanaka,00:02:28.050000,4
Atlanta,1996,200m,Breaststroke,0,Women,AUS,Nadine Neumann,00:02:28.340000,4
Atlanta,1996,200m,Breaststroke,0,Women,BEL,Brigitte Becue,00:02:28.360000,4
Atlanta,1996,200m,Breaststroke,0,Women,CAN,Christin Petelski,00:02:31.450000,4
Atlanta,1996,200m,Butterfly,0,Men,RUS,Denis Pankratov,00:01:56.510000,1
Atlanta,1996,200m,Butterfly,0,Men,USA,Tom Malchow,00:01:57.440000,2
Atlanta,1996,200m,Butterfly,0,Men,AUS,Scott Goodman,00:01:57.480000,3
Atlanta,1996,200m,Butterfly,0,Men,FRA,Franck Esposito,00:01:58.100000,4
Atlanta,1996,200m,Butterfly,0,Men,AUS,Scott Miller,00:01:58.280000,4
Atlanta,1996,200m,Butterfly,0,Men,UKR,Denys Sylantiev,00:01:58.370000,4
Atlanta,1996,200m,Butterfly,0,Men,GBR,James Hickman,00:01:58.470000,4
Atlanta,1996,200m,Butterfly,0,Men,HUN,Peter Horvath,00:01:59.120000,4
Atlanta,1996,200m,Butterfly,0,Women,AUS,Susan O'Neill,00:02:07.760000,1
Atlanta,1996,200m,Butterfly,0,Women,AUS,Petria Thomas,00:02:09.820000,2
Atlanta,1996,200m,Butterfly,0,Women,IRL,Michelle Marie Smith,00:02:09.910000,3
Atlanta,1996,200m,Butterfly,0,Women,CHN,Yun Qu,00:02:10.260000,4
Atlanta,1996,200m,Butterfly,0,Women,CHN,Limin Liu,00:02:10.700000,4
Atlanta,1996,200m,Butterfly,0,Women,CAN,Jessica Deglau,00:02:11.400000,4
Atlanta,1996,200m,Butterfly,0,Women,JPN,Mika Haruna,00:02:11.930000,4
Atlanta,1996,200m,Butterfly,0,Women,USA,Trina Jackson,00:02:11.960000,4
Atlanta,1996,200m,Freestyle,0,Men,NZL,Danyon Joseph Loader,00:01:47.630000,1
Atlanta,1996,200m,Freestyle,0,Men,BRA,Gustavo Borges,00:01:48.080000,2
Atlanta,1996,200m,Freestyle,0,Men,AUS,Daniel Kowalski,00:01:48.250000,3
Atlanta,1996,200m,Freestyle,0,Men,NED,Pieter Van Den Hoogenband,00:01:48.360000,4
Atlanta,1996,200m,Freestyle,0,Men,SWE,Anders Holmertz,00:01:48.420000,4
Atlanta,1996,200m,Freestyle,0,Men,ITA,Massimiliano Rosolino,00:01:48.500000,4
