Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Angeles,1932,100m,Backstroke,0,Men,JPN,Masaji Kiyokawa,00:01:08.600000,1
Angeles,1932,100m,Backstroke,0,Men,JPN,Toshio Iriye,00:01:09.800000,2
Angeles,1932,100m,Backstroke,0,Men,JPN,Kentaro Kawatsu,00:01:10.000000,3
Angeles,1932,100m,Backstroke,0,Men,USA,Robert Daniel Zehr,00:01:10.900000,4
Angeles,1932,100m,Backstroke,0,Men,GER,Ernst Kuppers,00:01:11.300000,4
Angeles,1932,100m,Backstroke,0,Men,USA,Robert William Kerber,00:01:12.800000,4
Angeles,1932,100m,Backstroke,0,Men,FRA,Marcel Noual,Disqualified,0
Angeles,1932,100m,Backstroke,0,Men,ARG,Roberto Guillermo Peper,Did not start,0
Angeles,1932,100m,Backstroke,0,Women,USA,Eleanor Holm,00:01:19.400000,1
Angeles,1932,100m,Backstroke,0,Women,AUS,Bonnie Mealing,00:01:21.300000,2
Angeles,1932,100m,Backstroke,0,Women,GBR,Elizabeth Valerie Davies,00:01:22.500000,3
Angeles,1932,100m,Backstroke,0,Women,GBR,Phyllis Harding,00:01:22.600000,4
Angeles,1932,100m,Backstroke,0,Women,USA,Joan Mcsheehy,00:01:23.200000,4
Angeles,1932,100m,Backstroke,0,Women,GBR,Margaret Joyce Cooper,00:01:23.400000,4
Angeles,1932,100m,Backstroke,0,Women,BRA,Maria Emma Lenk-Zigler,Disqualified,0
Angeles,1932,100m,Backstroke,0,Women,NED,Willemyntje (Willy) Den Ouden,Did not start,0
Angeles,1932,100m,Freestyle,0,Men,JPN,Yasuji Mioyazaki,58.200,1
Angeles,1932,100m,Freestyle,0,Men,JPN,Tatsugo Kawaishi,58.600,2
Angeles,1932,100m,Freestyle,0,Men,USA,Albert Schwartz,58.800,3
Angeles,1932,100m,Freestyle,0,Men,USA,Manuella Kalili,59.200,4
Angeles,1932,100m,Freestyle,0,Men,JPN,Zenjiro Takahashi,59.200,4
Angeles,1932,100m,Freestyle,0,Men,USA,Raymond Webb Jr. Thompson,59.500,4
Angeles,1932,100m,Freestyle,0,Men,ARG,Alberto Zorrilla,Did not start,0
Angeles,1932,100m,Freestyle,0,Men,BRA,Antônio Luiz Dos Santos,Did not start,0
Angeles,1932,100m,Freestyle,0,Women,USA,Helene Madison,00:01:06.800000,1
Angeles,1932,100m,Freestyle,0,Women,NED,Willemyntje (Willy) Den Ouden,00:01:07.800000,2
Angeles,1932,100m,Freestyle,0,Women,USA,Eleanor Saville,00:01:08.200000,3
Angeles,1932,100m,Freestyle,0,Women,USA,Josephine Mckim,00:01:09.300000,4
Angeles,1932,100m,Freestyle,0,Women,AUS,Neville Frances Bult,00:01:09.900000,4
Angeles,1932,100m,Freestyle,0,Women,RSA,Jenny Maakal,00:01:10.800000,4
Angeles,1932,1500m,Freestyle,0,Men,JPN,Kusuo Kitamura,00:19:12.400000,1
Angeles,1932,1500m,Freestyle,0,Men,JPN,Shozo Makino,00:19:14.100000,2
Angeles,1932,1500m,Freestyle,0,Men,USA,James Crapo Jr. Cristy,00:19:39.500000,3
Angeles,1932,1500m,Freestyle,0,Men,AUS,Noel Philip Ryan,00:19:45.100000,4
Angeles,1932,1500m,Freestyle,0,Men,USA,Buster Crabbe,00:20:02.700000,4
Angeles,1932,1500m,Freestyle,0,Men,FRA,Jean Taris,00:20:09.700000,4
Angeles,1932,200m,Breaststroke,0,Men,JPN,Yoshiyuki Tsuruta,00:02:45.400000,1
Angeles,1932,200m,Breaststroke,0,Men,JPN,Reizo Koike,00:02:46.600000,2
Angeles,1932,200m,Breaststroke,0,Men,PHI,Teofilo Yldefonso,00:02:47.100000,3
Angeles,1932,200m,Breaststroke,0,Men,GER,Erwin Sietas,00:02:48.000000,4
Angeles,1932,200m,Breaststroke,0,Men,PHI,Jikirum Adjaluddin,00:02:49.200000,4
Angeles,1932,200m,Breaststroke,0,Men,JPN,Shigeo Nakagawa,00:02:52.800000,4
Angeles,1932,200m,Breaststroke,0,Women,AUS,Clare Dennis,00:03:06.300000,1
Angeles,1932,200m,Breaststroke,0,Women,JPN,Hideko Maehata,00:03:06.400000,2
Angeles,1932,200m,Breaststroke,0,Women,DEN,Else Agnes Ella Jacobsen,00:03:07.100000,3
Angeles,1932,200m,Breaststroke,0,Women,GBR,Margery Hinton,00:03:11.700000,4
Angeles,1932,200m,Breaststroke,0,Women,USA,Margaret Hoffman,00:03:11.800000,4
Angeles,1932,200m,Breaststroke,0,Women,USA,Anne B. Govednik,00:03:16.000000,4
Angeles,1932,200m,Breaststroke,0,Women,USA,Jane Cadwell,00:03:18.200000,4
Angeles,1932,200m,Breaststroke,0,Women,RSA,Jenny Maakal,Did not start,0
Angeles,1932,400m,Freestyle,0,Men,USA,Buster Crabbe,00:04:48.400000,1
Angeles,1932,400m,Freestyle,0,Men,FRA,Jean Taris,00:04:48.500000,2
Angeles,1932,400m,Freestyle,0,Men,JPN,Tsutomi Oyokota,00:04:52.300000,3
Angeles,1932,400m,Freestyle,0,Men,JPN,Takashi Yokoyama,00:04:52.500000,4
Angeles,1932,400m,Freestyle,0,Men,JPN,Noboru Sugimoto,00:04:56.100000,4
Angeles,1932,400m,Freestyle,0,Men,AUS,Andrew Murray Charlton,00:04:58.600000,4
Angeles,1932,400m,Freestyle,0,Men,ARG,Carlos Ramon Kennedy,Did not start,0
Angeles,1932,400m,Freestyle,0,Men,ARG,Alberto Zorrilla,Did not start,0
Angeles,1932,400m,Freestyle,0,Women,USA,Helene Madison,00:05:28.500000,1
Angeles,1932,400m,Freestyle,0,Women,USA,Lenore Kight-Wingard,00:05:28.600000,2
Angeles,1932,400m,Freestyle,0,Women,RSA,Jenny Maakal,00:05:47.300000,3
Angeles,1932,400m,Freestyle,0,Women,GBR,Margaret Joyce Cooper,00:05:49.700000,4
Angeles,1932,400m,Freestyle,0,Women,FRA,Yvonne Godard,00:05:54.400000,4
Angeles,1932,400m,Freestyle,0,Women,USA,Norene Forbes,00:06:06.000000,4
Angeles,1932,4x100,Freestyle,1,Women,USA,"Eleanor Saville, Helene Madison, Helen Eileen Johns, Josephine Mckim",00:04:38.000000,1
Angeles,1932,4x100,Freestyle,1,Women,NLD,"Maria Vierdag, Willemyntje (Willy) Den Ouden, Maria Petronella Oversloot, Cornelia Ladde",00:04:47.500000,2
Angeles,1932,4x100,Freestyle,1,Women,GBR,"Elizabeth Valerie Davies, Edna Tildesley Hughes, Helen Gradwell Varcoe, Margaret Joyce Cooper",00:04:52.400000,3
Angeles,1932,4x100,Freestyle,1,Women,CAN,"Irene Pirie-Milton, Ruth Kerr",00:05:05.700000,4
Angeles,1932,4x100,Freestyle,1,Women,JPN,"Misao Yokota, Yukie Arata, Kazue Kojima, Hatsuko Morioka",00:05:06.700000,4
Angeles,1932,4x200,Freestyle,1,Men,JPN,"Yasuji Mioyazaki, Hisakichi Toyoda, Takashi Yokoyama, Masanori Yusa",00:08:58.400000,1
Angeles,1932,4x200,Freestyle,1,Men,USA,"Francis Ewen Booth, George Fissler, Manuella Kalili, Maiola Kalili",00:09:10.500000,2
Angeles,1932,4x200,Freestyle,1,Men,HUN,"Istvan Barany, Andras Wanie, László Szabados, Andras Szekely",00:09:31.400000,3
Angeles,1932,4x200,Freestyle,1,Men,CAN,"George Larson, George Burrows, Frederick Munroe Bourne, Walter Spence",00:09:36.300000,4
Angeles,1932,4x200,Freestyle,1,Men,GBR,"Reginald James Cushing Sutton, Robert Hanford Joachim Leivers, Joseph Whiteside, Mostyn Yanto Ffrench-Williams",00:09:45.800000,4
Angeles,1932,4x200,Freestyle,1,Men,ARG,"Alfredo S. Rocca, Roberto Guillermo Peper, Carlos Ramon Kennedy, Leopoldo Tahier",00:10:13.100000,4
Angeles,1932,4x200,Freestyle,1,Men,BRA,"Manoel Rocha Villar, Isaac Dos Santos Morais, Benevenuto Martins Nunes",00:10:36.500000,4
