ho_likelihood,hol_likelihood,std_likelihood
-28.906713865566296,-28.792613865301348,-30.728291287453608
-31.727805816949655,-30.756268953823714,-33.99359380869272
-23.405317830737804,-28.76972916352342,-23.853173409374126
-25.42166763399361,-25.779734392782764,-28.492092445864436
-26.156983644605987,-30.603099439014905,-29.5942643287079
-34.26995997829866,-33.21050380164841,-50.716261587238364
-26.056229263651247,-27.933689054433923,-26.55684276533971
-26.560630302325286,-26.603254799641725,-28.241825500813537
-30.720743034615584,-29.936055138730993,-35.75947544714992
-25.05475842791273,-26.53311203911164,-26.505940612390336
-20.114247825354145,-24.77884939633155,-18.36002808591846
-32.13341091810794,-30.778659365172707,-35.701278323957645
-29.734432196977934,-30.569052727878702,-32.60439873393719
-26.60052395027448,-30.444341704018694,-28.357746983959586
-28.067431514044504,-28.79823990879817,-25.7003184246674
-25.86184607965408,-30.276687984309284,-22.445098825077586
-27.624019678245123,-26.87422370046411,-29.365525356139194
-28.78943132137484,-27.281828154306368,-32.855500147088584
-29.715001882167964,-29.28051776005994,-30.5658664673279
-25.698345570647977,-26.33639640922472,-26.946827832180855
-25.269117550760132,-30.38779905237282,-24.425789363094204
-29.59388945194686,-29.247941043098105,-30.38826953909677
-28.7223046231989,-28.05221156660117,-31.785282315445812
-28.32642011252078,-27.424596937295153,-31.44545886903315
-27.942798985617657,-26.32610686007846,-30.465499076409856
-27.035140890872153,-28.23344430941613,-28.298290419422173
-30.595581842240495,-30.84941627756706,-34.89006876063103
-29.261357310363884,-30.70364604033283,-29.127380429864953
-21.32677435852303,-27.280261815215066,-19.95214094781203
-26.610028900642753,-26.371551983139426,-27.610995453675212
-21.956973391193863,-27.447073504666655,-24.940013500624698
-27.521407355472704,-27.979298516211692,-27.526478942243514
-24.112898841644817,-28.35234615965268,-20.99162977123367
-28.66374520967839,-30.795355458588244,-28.14656895392889
-26.538521702315908,-27.83075702076341,-25.800382917751335
-23.131110508735336,-29.043115974040845,-20.953728357140022
-30.951997660191115,-29.61370109747455,-42.80341026703845
-28.92576750127557,-29.7790899004641,-29.927400080973207
-20.604642676445728,-27.711230162501852,-20.059487389544596
-28.57355143216143,-30.777541374842997,-28.86365737215754
-27.933198048023343,-30.780268755199657,-28.73491003669319
-19.966918116210252,-25.565946323084574,-20.78779802112621
-28.761803632597672,-28.122935493422577,-36.73302995739454
-26.4035406503038,-28.14121511901416,-27.291326911708875
-23.567245928227177,-27.745745966985336,-23.236942995874525
-26.910062522751296,-27.819819903893475,-26.886042436479247
-26.377123263821083,-26.51412388060797,-30.44355199414503
-30.88356561461564,-31.06679670763816,-32.86984575590267
-32.6343131722317,-30.191472694705112,-32.502383856999685
-21.72934284485071,-24.802579524066783,-20.66377024747942
-31.036742840561875,-27.719497126337465,-40.14289681671689
-27.465789199563893,-30.71583281250802,-30.93884858308061
-26.474614712177036,-27.554746732384963,-25.86847438242116
-27.96342438657336,-30.550061952897725,-29.83891613797251
-27.627530523408915,-30.3722229461275,-29.207423773095716
-29.82149224599228,-30.855970143265637,-29.06261677949057
-30.629604456543454,-27.23452423799692,-36.605745134666634
-25.854049401885515,-26.934313741934734,-25.672264394748826
-21.93005032180883,-27.48936655197584,-19.381419059322262
-27.887080890407997,-29.09441471728045,-28.584342828557975
-28.194288146360634,-28.196573734721245,-28.63211569413746
-30.82640720975876,-30.770949105317708,-33.418858462271615
-27.384125427989186,-27.772750039379247,-29.194856935996878
-27.47812271678152,-27.736081332735672,-29.55470468108282
-31.848096673393748,-30.656233977061948,-34.390278488256264
-27.207442648910682,-28.190729626624936,-27.555305013584196
-27.67231783687534,-27.688958493576823,-27.529630396368216
-26.92670927552799,-27.12730754782379,-30.925005995979344
-28.130364412109063,-27.11723628392999,-33.48020080782221
-24.328441787648345,-30.447428731862885,-24.177382030877308
-29.39528369981755,-28.057022447435838,-36.29561061701792
-23.462506515690396,-27.807214517799277,-22.104918357679473
-30.52382476765081,-30.737199609300934,-31.87472058138717
-29.695810836666695,-29.132757763175338,-30.52413970177815
-33.12503233044171,-30.647168195968277,-36.07200430665033
-29.221965512957286,-29.816248116406577,-29.73833973611706
-25.132259256504554,-26.360571529947755,-26.120644165078684
-29.01659959424757,-27.965616812204786,-34.68274081267419
-28.35101308343664,-27.364793299556236,-34.134221713213485
-31.443331341395574,-30.601572781282204,-34.90613154631511
-31.242486007877314,-30.761877375963707,-33.131776768191266
-30.27596637750792,-29.58016246856562,-36.99925533926904
-26.565095587644787,-27.983868513208048,-29.560047057364695
-30.688615053038383,-30.787628679193087,-34.2364982438593
-31.928515587647937,-32.6210976082281,-37.51578929343451
-27.604157013195124,-29.02947325531334,-27.149785092448226
-22.78417038430845,-24.69900781129427,-22.059527464893826
-29.359825397969903,-30.8458575244375,-29.405501359796475
-23.57077316251736,-26.83574217464751,-22.31645231561917
-33.799195844597925,-29.932610151900363,-47.63114373821919
-29.747030925422234,-30.914534412645676,-32.103469039939455
-27.234229964858127,-31.10884299830279,-26.722409943466555
-33.21561362800609,-30.764775915278694,-40.06760012412762
-30.058485327458378,-29.21014768429185,-30.891168733182024
-26.13703287740537,-27.338308682183953,-26.298000585941377
-26.51497455853908,-30.5372360464841,-29.24910687705433
-31.63038257843077,-30.674224581952373,-32.97396291599352
-28.819926123252646,-30.792125764168514,-30.905167746223448
-21.527447236512185,-27.830883157619684,-20.862263537720892
-24.025581381012135,-27.00588045002609,-24.22015179832677
-27.58073879230522,-28.194201809668503,-29.23891516744497
-25.61471037250128,-30.377143473424614,-25.97337546577027
