ho_likelihood,hol_likelihood,std_likelihood
-2.0056795138758634,-2.2486079144241753,-2.412440416885328
-2.2933721487831398,-2.2124764207392285,-2.3721438266195944
-3.179205800570391,-2.364304796964396,-2.6289890541150136
-2.067436352884097,-2.0587924705476905,-2.0537851646696925
-1.7200602928102453,-1.874168705685814,-1.8615478028106873
-1.8685855795036557,-2.090554693438323,-2.118196478974195
-2.280707343579731,-2.158774986047878,-2.1623965847261934
-2.470807714277912,-2.4752089969567885,-2.9115656278486717
-1.8775515925354966,-1.924707047846266,-1.9195354221482248
-2.01943177811826,-1.8780475665331222,-1.857989066054123
-1.868986701631486,-1.901601321298547,-1.887744384046773
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
-2.028479930305617,-2.0354665087715498,-2.017026232874805
-1.5560353906079365,-2.1403402648790513,-2.139904683010941
-2.022054000133764,-1.9021499919781013,-1.8911317385265536
-1.790823510974185,-2.069516197577093,-2.092023977611482
-2.2868784209205404,-2.060913544703624,-2.056401949287523
-2.038266102107492,-2.0146814977727106,-1.9983004882081616
-1.8764790153558124,-1.9244497049120746,-1.9191012574744817
-0.6238327588499192,-0.8046057114832956,-0.14286994128525757
-2.0222065371295255,-2.0471958194824325,-2.0381870255629457
-1.7385350363487637,-1.9031427612222518,-1.886696602632627
-1.9194068938783886,-1.8802041390878674,-1.859595159709805
-1.832998515976694,-1.92425710478632,-1.9189624188326713
-0.9151797109751498,-0.9126408507795762,-0.7506676591453073
-2.0326939516467886,-1.8984638121841062,-1.879100360071653
-0.17797066617707416,-0.2617601111328362,0.791435567751765
-2.1660930707305197,-2.061057191108821,-2.0565783097594887
-3.486313858830814,-2.146783965817563,-2.1907189834987246
-2.0964871878435236,-1.8776760157748673,-1.8645634172085646
-2.184109656887463,-1.9062988560768,-1.9002054426836088
-2.274109873507825,-2.2731260112845812,-2.4960559624660594
-2.609149273401767,-2.3350636598248267,-2.5642492776129435
-2.2236224572490637,-1.4527999461983208,-1.3442379316078388
-2.3770796420023808,-2.431603479148589,-2.816342191340686
-2.5834105068186837,-2.0643111136835977,-2.079451394801308
-2.2296411554377586,-2.037017383381651,-2.018714527551881
-1.953060365257497,-2.021033391811743,-2.0065376979988123
-2.310195844087216,-2.0445414856288986,-2.038927129124053
-0.868181037739814,-0.6264577839744347,-0.05076665836593386
-1.9939063320447648,-2.0288084899538137,-2.0150211143019403
-3.661743886110769,-2.144101670519711,-2.180259162987027
-2.1207190008630796,-1.8873380174069072,-1.8752788164642757
-3.8974039823645237,-2.1948550436066574,-2.295573721834415
-1.960813249008907,-1.8635728834436625,-1.8440084346922307
-1.9398434816238128,-2.235893152645623,-2.3980945542929546
-2.171803746696643,-1.8567382485662614,-1.8248150121253908
-1.8298913342000585,-1.8998537154003545,-1.8840678937088546
-2.165583643377404,-1.8832829145236494,-1.8617036533568663
-2.0178265426139754,-2.056342193264403,-2.0471126930711065
-2.0529811077528577,-1.9222760932553171,-1.9165342439240678
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
-1.4652958436408976,-2.13145980917662,-2.218967801433733
-1.8644850145641392,-1.90261723144747,-1.889196485732337
-2.06984988870834,-2.0057063818507133,-1.9853865736994238
-2.6275247659857706,-2.408163067935514,-2.7499780423451905
-1.8752086068131013,-1.9305544046756378,-1.9300331599033136
-2.1828433607968774,-1.900215759234806,-1.886716679715018
-2.091333315074475,-1.8846030615632303,-1.8708038370785058
-2.3040958916202783,-2.267461061712459,-2.462120320780659
-1.9508051730287033,-2.0233606413932463,-2.0110035901354864
-2.4786693825979222,-2.366463459963568,-2.58359662153397
-1.7986382209047909,-1.8543063486380762,-1.831177843646403
-2.0556556781339426,-2.027829061685337,-2.0178736342408636
-0.35521077064028506,-0.490709589617861,0.10158335741826384
-2.4684162164316006,-2.363813697554938,-2.4683895948913075
-2.881764752216543,-2.1233941546106903,-2.20267067312589
-1.03546871329385,-2.0530638201821105,-2.0664712690346914
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
-2.136882331547374,-1.8982172461511446,-1.882203383664015
-2.124313902773384,-1.8780542191033793,-1.8579332721019264
-2.1542700199573983,-2.0007659404565787,-1.978570256499292
-2.2916478114361163,-2.2757487227715685,-2.4541280857559435
-1.5715182558599308,-1.862114856792247,-1.8418954351205246
-2.223094795359655,-2.457297882308126,-2.8076743459515434
-2.187233639624032,-1.9773255766087436,-1.9373142554585097
-3.3273241870195047,-2.580665007273764,-3.0387595929930264
-4.037154756751779,-2.4787591574076675,-2.924003940059541
-1.904003855966517,-1.9011948691268863,-1.8901435058055314
-1.9860612843397427,-1.9126913938996764,-1.906460374370928
-0.8139004332305837,-0.7332182650564589,-0.24230049148809837
-1.8235506025095325,-1.9217564306998753,-1.9114621326115508
-1.8762410672845475,-1.872651627401113,-1.8438415555239682
-2.3816358901733943,-2.280008545228632,-2.5632855436149136
-2.0264444036960105,-2.0153959040153193,-1.9928595310684099
-2.1783571837449367,-2.0363481478373466,-2.022156723329572
-2.354021595509814,-1.8954920807228568,-1.874251637534235
-2.040502131305354,-2.0576679017677963,-2.0836790978635866
-1.947146689491053,-2.0372277045962908,-2.020427213279863
-1.9546337350788312,-1.9800267327471877,-1.9562971503852606
-1.8648291950459108,-1.924503466915173,-1.9192838183629255
-2.025954461579585,-1.9236668245797677,-1.9180536056816035
-0.4884260929863924,-0.48761664500945034,0.08094401696149033
-1.1596686598119863,-2.231087962512285,-2.2749103751847786
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
-2.353724762398928,-2.4924721101904885,-2.7838922271075752
-2.2955319613026868,-2.062464471396676,-2.059460509261489
-1.9493570491032124,-1.8453782038153002,-1.8154548280638825
-1.2540994463999182,-2.461018960875235,-2.720427283686902
-0.2312469788376698,-0.6001815195426885,0.13929886750089532
-0.43596909046236676,-0.5614123188739573,-0.05856613250279758
-2.152204058171702,-2.0125332568749235,-1.98832654233323
-0.5348824935008207,-0.48898906218499155,0.2892319599016971
-2.534626324377861,-2.4187977806237497,-2.7591903271148395
-1.936096989447892,-2.023160140315711,-2.0077910431539308
-1.2653974270071107,-0.8925853901534728,-0.40814449046427775
-2.2736814716403395,-2.0406664702544584,-2.032891541121235
-1.7975072365202,-1.8852197647487545,-1.871224002918876
-2.1398628212503086,-2.0611084012148893,-2.0566611675380515
-1.842865820012006,-2.0013460490546,-2.0003441646729465
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
-2.338408131007702,-2.3934083975821334,-2.639163490570423
-2.111424512913542,-2.0244782414931732,-2.008667802405796
-2.013542935517965,-1.8760388238641086,-1.8586212869717829
-1.9300281426840262,-2.0295085505382224,-2.015790746117843
-1.811701202558686,-1.9045980305484451,-1.8956041959055296
-1.9937176213129333,-2.022777203807824,-2.0061893769922055
-2.0157131089931553,-2.3136139366746393,-2.600351541068489
-1.8938041305730533,-1.9217564306998753,-1.9114621326115508
-2.5073939843410815,-2.3218544621642843,-2.7311979113173113
-2.0878718579332105,-1.889851324170365,-1.878594824332327
-2.0582407487522216,-2.5011438507254606,-2.7589482596984283
-0.777350803761304,-0.9007742962226867,-0.7094961276617889
-2.2924018117668843,-2.0389784186354043,-2.0225678308625152
-2.36895679234354,-2.022436759265983,-2.006941062898869
-1.9066391481217884,-1.9228103009473374,-1.917311433260327
-0.2038712359544111,-0.4033698542793758,0.6473622059006604
-2.440550006424357,-2.378536210989632,-2.617779938093767
-1.902058145879682,-1.9074013939368022,-1.8960255425601427
-1.9459101490553132,-1.9459101490553135,-1.9459101490553135
