ho_likelihood,hol_likelihood,std_likelihood
-15.117702920719665,-24.809019865439137,-15.408402061043846
-16.625102775105198,-21.020519524938212,-16.483917829600262
-14.827844629932606,-24.89566506595731,-14.960936587316558
-15.461044975115746,-25.036892683565277,-16.861029861337506
-23.39869150838155,-26.23902780727216,-24.176996408527607
-16.207829763471732,-20.82102562912758,-16.31104228493922
-16.78233988947877,-16.62076174416469,-16.95587741934507
-13.330658039769347,-24.447788096493596,-12.715360914100296
-17.03541096273229,-22.045387852717056,-17.487672908002963
-16.12202504706535,-24.55451552465581,-16.50840633203827
-13.68269052566843,-26.07148599427489,-13.972155688678786
-18.615925652236843,-25.209627759971852,-17.64365536339781
-17.66574868202758,-21.37043242742053,-17.14259948981009
-11.555829661746486,-18.142903793180963,-11.062186939456451
-12.947874305801566,-29.05634515438723,-13.548337483424117
-21.293135428210192,-23.710090940007593,-20.766986761724752
-20.02938706311379,-23.674436279163366,-20.188116359073096
-14.945676583369753,-24.77433229420133,-14.825766478198087
-13.477796820878236,-23.40627868255123,-13.740289576420546
-15.709507329728424,-24.935440926459567,-14.237747536269618
-21.85785542508064,-30.392880725901957,-22.79945213398284
-16.258097592642095,-25.339708914150144,-15.787481200781055
-14.521008963768116,-24.601381380381902,-13.516042534205878
-11.776108205460972,-23.893715981145025,-10.773173624091019
-18.746171949811608,-28.615503908861143,-18.910493486799584
-17.67868036651675,-21.917523355152504,-17.406844315154988
-25.54259059541443,-33.020712055059406,-27.31645287535995
-26.566014292011943,-32.36283812159216,-26.350010861045998
-13.20719152354101,-25.22819589847735,-13.667688771545533
-11.515428551966595,-23.245803173563107,-12.153694320435736
-22.62004083207506,-23.129595240882427,-22.861322778048997
-12.384514977262802,-25.054819463201394,-11.816473742898884
-14.466794702243982,-26.474526200020833,-12.799623790768447
-13.502145383672508,-16.961942220170215,-13.120473915553436
-19.525570516288667,-23.33273929054993,-18.918655894584074
-18.707187603741485,-23.98076225629406,-19.030518333284153
-21.698703392076204,-27.234349289532105,-21.868139579829798
-13.39362561904436,-22.06779643371425,-15.904664667646678
-12.487994103873296,-20.87167885563612,-13.060603321296636
-24.217135740663,-25.54623922601993,-24.495336076792622
-13.791722379673912,-21.22115680866245,-13.381570280119043
