ho_likelihood,hol_likelihood,std_likelihood
-28.908314613803924,-30.61988745052871,-28.39722943161777
-24.15634677949448,-27.68451715815403,-24.898701593285274
-29.665394498222014,-30.881764515197425,-32.44175506363641
-26.046549486277247,-28.15264173160233,-27.95061752342377
-27.796587708412865,-27.91848021332964,-29.578773270106755
-22.342031179636727,-27.581481448500952,-23.497092166017897
-23.26376851132995,-27.626684813590295,-24.0617514084933
-23.26845177067432,-27.654840595074447,-21.437627695812868
-30.893704456754783,-28.1732165926679,-42.037739899002005
-27.977601271481962,-30.51513702932223,-28.54468446016378
-25.62144268238807,-27.424127646985742,-28.15801295711197
-20.841002040494814,-23.90114172898813,-19.844927915913107
-28.174049278932632,-30.046122887130362,-28.576022135667174
-23.050321716179994,-27.860600535967276,-27.294122553162744
-25.69164853027343,-28.375104182658877,-26.68290622520909
-26.65895571247242,-30.3311120799648,-24.62947419106831
-30.599780133772246,-28.242037595543948,-33.2614331561454
-30.175240145225604,-30.548469614224402,-34.30721039803278
-27.589449668143214,-30.422792231242695,-29.581442122982367
-31.76440503621642,-32.07955806947635,-37.51991783781754
-25.484871973406523,-28.283539532901123,-28.110650120821816
-23.027927504942006,-30.551716022005387,-22.252180925841955
-25.642973646892752,-26.401787637524013,-25.793823748168702
-20.154898333171886,-29.709166030249076,-17.239208711855394
-29.689570087212307,-30.762744710666404,-31.903593994964684
-20.135661831097348,-27.494300628482584,-20.49682778601555
-28.476765855008644,-29.977474498832564,-37.208577973920285
-27.176442465030476,-28.12649140059645,-31.282912085294132
-28.41946714695246,-27.87087805605491,-30.41550612156369
-26.120234622025908,-28.18727309138821,-29.027150957675033
-29.718670645167688,-28.953383359203897,-36.398327499283226
-27.280333375952406,-30.410557161966793,-32.30361107287114
-26.417003287337103,-29.65059614044915,-27.720657565868603
-22.711276984102685,-27.987742756338466,-23.417530027920897
-29.47203596148337,-30.713803777976782,-33.23091242599391
-29.07351728418375,-27.99034400018972,-34.07248881567156
-26.190584680951066,-27.766967753945696,-34.54365782872619
-27.641397946010894,-27.903704314735872,-34.290374025952815
-29.28873354692315,-28.124592225396377,-32.50215453222491
-25.014322228306952,-30.375916428445514,-25.964334654236282
-24.73543007289253,-27.77147481268568,-24.59409491662596
-22.08823585891041,-29.70342637098596,-22.069556482706936
-22.39644573741673,-27.932958097251674,-20.93016170617503
-16.89547516684551,-24.58132233519787,-14.783712097763594
-20.591516680328624,-27.3958074296697,-21.85487305526394
-25.17676902126395,-28.410290974952485,-24.667431731328417
-25.62149947198546,-27.533309767718336,-27.363294683138424
-23.56152894700897,-30.340989765427352,-25.33080889925956
-27.8524567515961,-28.011703001371618,-29.77610190358123
-31.89098097006316,-30.582890929331324,-35.19326319391465
-24.799097506853087,-27.955839871156844,-25.01593804904708
-22.17355230205012,-26.319694948044397,-24.318810728208323
-34.743018246826736,-34.012722990324974,-44.02283074262113
-26.887884984164195,-27.94769989657453,-28.278876424862034
-25.085533645524873,-30.23160690748694,-24.749171644372844
-26.581503610947635,-30.44794408252806,-28.002742958630385
-30.518728111570656,-28.01852553589809,-33.661432880342524
-25.971633551973614,-28.255188123203137,-29.87958101493983
-30.211516539206507,-30.979298695862035,-31.462821925952742
-31.028856904158488,-30.76820876645777,-32.71486271585262
-29.672364991822153,-32.651636009550856,-45.38528758713797
-24.391226288365164,-27.901383894309227,-26.50567533533347
-29.552198074748045,-28.34377534623983,-35.1359117260338
-19.00941582429401,-27.49339425916106,-16.60545633984012
-26.70237903454742,-28.178708223431066,-26.364754943284076
-33.78102452124578,-33.25573211259156,-48.44165717415124
-26.594381117773445,-30.47293425205453,-25.970017631351084
-25.789831510172668,-28.87901189336334,-25.00426658544267
-22.08394909165328,-27.600619362780122,-21.766833596348377
-23.51901150742397,-25.65621531952165,-24.5782242100619
-26.93528817457854,-27.499411840284385,-30.704789360931528
-33.913902345297714,-29.396825227065246,-51.04672922264739
-27.67449383632698,-30.6301760063152,-26.70667261323739
-24.20055754909364,-29.52150489950039,-23.368423080280273
-29.948657058190438,-27.836544656408627,-35.29379739762316
-26.44906295463414,-30.714309620200773,-25.188540690747313
-26.013926382839664,-29.122087487055268,-37.235191642917435
-27.162694506693473,-29.18389255838253,-32.591296789141495
-25.184547660205013,-28.24194661361124,-24.252122364890266
-28.593113462166674,-31.12052806103731,-31.983309917195246
-23.21355439861947,-27.031241773360968,-22.199312665906124
-28.99406599036437,-29.887668159698233,-32.725786039940246
-28.100715626403968,-30.81625437551582,-33.007885979412876
-29.700641823082407,-30.579270976917613,-30.303848928765152
-28.263951381639934,-27.877298858223757,-28.51818264109971
-41.0507337538579,-26.627622813218615,-63.4561317365749
-26.725277075448744,-28.38657981650622,-26.138765359942393
-30.08333962707182,-30.210866443892165,-32.19256275062863
-27.472669306019924,-30.66775251753423,-28.39379200561446
