ho_likelihood,hol_likelihood,std_likelihood
-3.2530156212831045,-3.3253069591676794,-3.2888917630395693
0.42582423974220635,-1.3247313960417262,0.8991945324928868
-1.1320867046150511,-1.9912794784994505,-0.9713527530618621
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.1450724168448292,-1.207108559893618,-1.016467796943594
-1.791759469228055,-1.791759469228055,-1.791759469228055
-0.808587557875855,-0.8641455374881624,-0.6257856492881422
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.1503446599524,-1.2073931587321953,-1.0336037389707415
-3.217084725405171,-3.335084336736525,-3.262841544942627
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-2.76857006930063,-3.3239885977976016,-2.7936910061179705
-1.8345512308296092,-1.8410292320516752,-1.8516503295772977
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.7173764926325077,-1.929093328127996,-1.7224707828782642
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-2.621694205375099,-3.43266267111667,-2.4915761012798434
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.9024751806014013,-1.9749326571835644,-2.021423694670643
-2.232441305829743,-1.8823097962717883,-2.314831682862162
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.6069411415861987,-3.523054132187825,-3.7443195705367316
-1.02368806407582,-2.77528213501528,-0.7792353231233835
0.0922999988793841,0.34348794130726124,0.6240492793898009
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.5780173178463386,-3.6706697511891675,-3.493053725900823
-3.4393924087330197,-3.1825332985752803,-3.505864837624472
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.6796627629053815,-2.6538040381449424,-3.98951306225835
-1.791759469228055,-1.791759469228055,-1.791759469228055
-1.1032998358051822,-0.7783227992197178,-0.8986566076443883
-3.8684009172584597,-3.239386227684639,-4.220338796947144
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-0.6124083191487235,-0.682023021495718,-0.28905957848030495
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-3.459249135341336,-3.4837774692995267,-3.5568019783082865
-4.412737215297916,-4.202398365748849,-4.739320867621391
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.791759469228055,-1.791759469228055,-1.791759469228055
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
-1.791759469228055,-1.791759469228055,-1.791759469228055
-0.6124083409264263,-0.6820230218634867,-0.28905960583518503
-1.4324087568153179,-1.2678222468457867,-1.37398250038706
-2.3592239836733238,-1.8492629196145538,-2.503335329283949
-3.628924752946902,-3.5904699414374046,-3.8024780252457973
-3.1780538303479453,-3.1780538303479458,-3.1780538303479453
