BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,K,rep
-3.0473206784704114,-3.5957943925618987,-3.040392217869247,-3.344511709352004,-3.0439286912070256,-3.022975007510738,-3.660869565522335,-3.567132553377941,-3.0683802346906397,4,90
-15.041582405710226,-21.65527151231205,-14.996803363161092,-18.339908302279504,-15.194047974657892,-15.691161115112276,-15.552141653880808,-15.440082990188667,-14.994878028595403,10,51
-3.0467141550384347,-3.59251542588924,-3.036360277676968,-3.3402913042325446,-3.0428915206123004,-3.030616240298532,-3.659589618983405,-3.5703239633610924,-3.0672135171634416,4,28
-0.4996066974782139,-0.4996066974782139,-0.4996066974782139,-0.4996066974782139,-0.6033741466782195,-0.6033741466782195,-1.0477120724673965,-1.0477120724673965,-0.6280286571899564,2,98
-19.92974557961777,-29.250484626196663,-19.883816254473285,-24.471615403166467,-20.060836367935103,-21.2498035449831,-20.413862409653248,-20.31285463952269,-19.87947992102045,12,35
-0.514538196740041,-0.514538196740041,-0.514538196740041,-0.514538196740041,-0.6010049093192864,-0.6010049093192864,-1.0375704310141147,-1.0375704310141147,-0.6361444564153518,2,24
-0.5148373122371815,-0.5148373122371815,-0.5148373122371815,-0.5148373122371815,-0.607594978121385,-0.607594978121385,-1.0454356317428457,-1.0454356317428457,-0.6359607927658206,2,66
-30.60878042675301,-46.518340151131326,-30.56227234574176,-38.17955124978676,-31.05121036659325,-33.009746782349055,-31.1027085694059,-30.9914394360492,-30.55766233309916,16,66
-30.659564760662533,-46.85795476281825,-30.600494130618436,-38.392045956523184,-30.829871904036548,-33.643916023964444,-31.09575703844392,-30.97589536316886,-30.571157838055072,16,67
-10.538552748617471,-14.65283560893094,-10.505277409517564,-12.650083685002572,-10.613514756395832,-11.151392801049743,-11.03303533272872,-10.950810417405355,-10.493190788312084,8,17
-6.49780777680084,-8.539003336193952,-6.476984285842992,-7.579401594726149,-6.481147646692938,-6.526975951594211,-7.031099887317893,-6.9515855656235015,-6.464260874572218,6,63
-30.646746406493214,-46.61848005061924,-30.59052973488642,-38.25618607767875,-30.92715939019961,-33.296440861677496,-31.074075967159292,-30.96942285122825,-30.5769158977081,16,57
