BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,K,rep
-0.9011400409252416,-0.9666564296615688,-0.8969032342031831,-0.9542008554076894,-1.1897103259034325,-1.1055741181011256,-2.164777337946997,-1.705354467197291,-1.192593863202798,4,90
-1.4309531722914586,-1.5336241621542508,-1.4290094452492148,-1.498561605455364,-1.999816012838979,-1.6951524901004298,-3.3880931570874973,-2.526443438867477,-1.961384814404593,10,51
-0.8772701108505185,-0.9338066996550975,-0.8746145109891601,-0.9238126978595906,-1.228608353680887,-1.1347670890517094,-2.172670394133185,-1.710320496129916,-1.1892985669291998,4,28
-0.5082133550751347,-0.50821335491917,-0.5082133549607787,-0.5082133548824167,-0.6088980424584596,-0.6088980424584596,-1.0342319049374376,-1.0342319049374376,-0.62795843047795,2,98
-1.542595713441713,-1.6625619587743106,-1.5406773303722878,-1.6155066472697397,-2.1445915464562937,-1.781720972392141,-3.613944157461262,-2.6926098573188866,-2.1244606763751044,12,35
-0.5065655351177878,-0.5065655350906827,-0.5065655351471962,-0.5065655350947964,-0.6047995428732325,-0.6047995428732325,-1.0357239080331289,-1.0357239080331289,-0.6375188238192362,2,24
-0.5046428490577779,-0.5046428491217153,-0.5046428491839391,-0.504642849210474,-0.6006974185792147,-0.6006974185792147,-1.0444336656618611,-1.0444336656618611,-0.6477240001579614,2,66
-1.697340423970331,-1.8306616242327007,-1.6968938673874607,-1.7792175552039389,-2.3980240257392293,-1.9473289173020292,-3.981730850371133,-2.9630301389165057,-2.373181928282541,16,66
-1.6876841896944306,-1.8143877699575377,-1.686619992007058,-1.7648269024567709,-2.394820622407351,-1.9502063981841369,-3.986569787714143,-2.9651572689822308,-2.3737985391077294,16,67
-1.2812072810123805,-1.3794883488875829,-1.279263079902801,-1.3509587212654095,-1.7747587991091398,-1.5519865231702503,-3.1305546148336534,-2.323263903296117,-1.7624155254212397,8,17
-1.1422650009376585,-1.2378018102229225,-1.1397283740513122,-1.2119128199624494,-1.529239162643525,-1.3739644739154189,-2.7112489120330245,-2.0638424291675856,-1.5310161138619272,6,63
-1.7064824989069798,-1.8337268458272065,-1.7056152765094117,-1.7837209292116931,-2.4090930798864387,-1.9483434070710317,-3.966474493520018,-2.964978100150499,-2.37687275792538,16,57
-1.423056396531203,-1.5272116923097334,-1.4206217793064937,-1.4945360134518504,-1.9868427376120696,-1.6761978347889148,-3.39927759405656,-2.528712628409901,-1.9594959831736047,10,82
-0.8653043698082563,-0.9225824359787708,-0.8627954647847313,-0.914560983198716,-1.197809415912163,-1.0937235678914643,-2.1683148320704047,-1.7116859416527437,-1.1868061610352871,4,18
-1.4349279257161067,-1.5462881161969668,-1.433374126808693,-1.5121279820197695,-1.9867144875174985,-1.6747503326666116,-3.3964620634539124,-2.5199679823788896,-1.959030574314623,10,17
-1.7020293478170951,-1.8423158842681184,-1.7006036252727803,-1.7856427051854575,-2.4088022642232585,-1.9612931993059688,-3.977520254071596,-2.9606552378653377,-2.376407055771999,16,71
-1.724874371912904,-1.8531730158444557,-1.7239887030427996,-1.799316970664851,-2.42372264957361,-1.9506000629667484,-3.953834958606322,-2.953628875664368,-2.3780687355030654,16,55
-0.5144221727418677,-0.5144221727862849,-0.5144221727352458,-0.514422172841127,-0.6029564851291933,-0.6029564851291933,-1.0418813302737566,-1.0418813302737566,-0.6416336766176987,2,25
-0.8984514071770174,-0.9640581423075608,-0.8955564698423701,-0.9540559409897608,-1.195133066630586,-1.1208135245805255,-2.155610246913912,-1.6973493885441726,-1.1961912187606027,4,74
-1.4375746095390092,-1.5452616886613817,-1.4356658293144589,-1.5091506849167005,-1.9862142385686496,-1.7052573459009757,-3.3969486680471244,-2.524939576157544,-1.9617042793832131,10,88
-1.121800413914657,-1.212816028455914,-1.1191382986407743,-1.1894113897444287,-1.53970866581395,-1.3992243184208593,-2.726138864101413,-2.063359526949625,-1.5246832358422908,6,22
-1.768751970413469,-1.8974115801621367,-1.7677204720559463,-1.848933295219189,-2.5226500619632497,-1.9991708965960304,-4.107948710712459,-3.0746775883883783,-2.4796613375738774,18,46
-1.2850605109101405,-1.3897100066643722,-1.2823832964113169,-1.3602925780766633,-1.8295727836327689,-1.5664260852322638,-3.127284366093805,-2.3126862842767157,-1.7633163632932072,8,13
-1.3208228961264268,-1.426839695820321,-1.317901058431728,-1.3967731607587257,-1.792216229092813,-1.5619986391777094,-3.0912328487593244,-2.314055383534196,-1.77310907147058,8,39
-0.8869489812415057,-0.955164530542512,-0.8846484208994537,-0.9464639310214512,-1.1856639960532722,-1.1197967088004883,-2.154668213616389,-1.6910132797968305,-1.191501805788033,4,39
-1.111218616820489,-1.1985087151011151,-1.1084871036370425,-1.178595191506908,-1.5394743706936418,-1.38923597948029,-2.752688184903727,-2.071224511238346,-1.520620487712651,6,3
-1.2991409746772125,-1.4013383768856376,-1.2979276117303689,-1.3681012601656093,-1.8001844308908617,-1.55446877853881,-3.09527620553749,-2.322619552767083,-1.7699012475581175,8,55
-1.1416951369598718,-1.2410997349202475,-1.13869486231258,-1.2161913421574044,-1.551542851064316,-1.3964299945541905,-2.711273810271068,-2.063376889898397,-1.530369065729576,6,58
-1.7255502839389718,-1.8469943375742133,-1.7248002242757172,-1.8029646002809727,-2.403492413139671,-1.96711451473464,-3.9761982859455225,-2.947563476252536,-2.3751919824892376,16,7
-1.4272360492726837,-1.539790433306902,-1.425518766666084,-1.5024685613858642,-1.9928392945577036,-1.729560495475461,-3.396496678668808,-2.5222360037823024,-1.961643494282191,10,96
-1.803877412805379,-1.9300849755775704,-1.8031327978554896,-1.8762878558659415,-2.5051796936563058,-2.017977773874843,-4.109521413845953,-3.058224466074792,-2.4829331807176795,18,27
-1.7648378305082733,-1.9036441067640364,-1.7633734985673273,-1.844172867510408,-2.526380260979654,-2.015391390242028,-4.12498987986868,-3.06879934832356,-2.4784425229993645,18,69
-1.1262689884626744,-1.208777091208466,-1.124835078876422,-1.190508704435494,-1.541914784482228,-1.3706614803556825,-2.7287297025819512,-2.064216654968116,-1.5242687069728402,6,20
-1.1476040166614003,-1.2354320670006005,-1.1444034154819829,-1.2120462128464748,-1.5443456721185118,-1.3995735819045556,-2.7183039802314664,-2.0629705673968943,-1.5321394085217646,6,48
-1.7102427962052464,-1.8309147819087892,-1.7093304840457182,-1.7841581829250848,-2.3933234925605533,-1.9367643391715883,-3.972554317266171,-2.965065206791337,-2.3762545464144758,16,96
-1.1455156616357265,-1.2336132495735517,-1.1437759062812063,-1.2096189211645068,-1.5370359557967703,-1.3962402280210082,-2.7215102758685434,-2.063109218076409,-1.5301642003502214,6,59
-1.1138987885923004,-1.2020958285305194,-1.1094190647685331,-1.1773801254463836,-1.5695037712834476,-1.3696715550003256,-2.75318189314838,-2.056862018619485,-1.523001119385758,6,11
-0.5155814796217528,-0.5155814796536301,-0.5155814796878745,-0.5155814796687127,-0.603076519112607,-0.603076519112607,-1.0272117376831906,-1.0272117376831906,-0.6334503968733882,2,41
-1.1340150403645777,-1.2217117355659863,-1.1303199004704634,-1.2001814484513404,-1.5327619472435114,-1.368168936445833,-2.7314952492743783,-2.0606164313995654,-1.526610821393846,6,90
-1.7082831128330451,-1.8435644865529883,-1.7061373590947853,-1.788294469984544,-2.4046878276663697,-1.9432756149317456,-3.988046519030505,-2.9595141332831663,-2.373450974893077,16,17
-1.7837306201639864,-1.9285353670527765,-1.781338199124847,-1.867687470597713,-2.541716307404705,-2.0202649325079096,-4.10343134316982,-3.068322081495827,-2.484156855982363,18,96
-0.8731675043939913,-0.934588690077406,-0.8702862083407441,-0.9259666258890368,-1.192597065302748,-1.0987759681502212,-2.1824823738294903,-1.7109274856084398,-1.1873709257421583,4,20
-1.6970516803452402,-1.819116644569868,-1.6970061306056985,-1.7782114284678443,-2.3931039844650925,-1.96968522843938,-3.977657884328732,-2.9595533178959217,-2.3726952922966738,16,76
-1.7058986623515429,-1.846041690457636,-1.7042517845483045,-1.7948824994336006,-2.4087753423856086,-1.9554615319806128,-3.9824066639757913,-2.956629666108318,-2.373458877177128,16,84
-1.636166984815367,-1.7609502376605404,-1.6349656555829184,-1.7179862199304374,-2.2913343241200472,-1.8797446351751488,-3.7914202894132014,-2.833066822306822,-2.2591587235828907,14,64
-1.2908764688551937,-1.393839715695552,-1.2885088797916024,-1.3662828674309084,-1.7811410061453945,-1.5378032141344002,-3.1185193031815635,-2.3201901200452086,-1.768994132081864,8,77
-1.3005579380246115,-1.4030881572150926,-1.2983185523535892,-1.3745533052940313,-1.8016703353705648,-1.5552984042382707,-3.105769724316626,-2.3272474784251456,-1.7698759108586666,8,59
-1.544791612969386,-1.6592986594034294,-1.5436074961968602,-1.6162771682591857,-2.1566260533053616,-1.7894196358515522,-3.613326353315452,-2.6914948165595947,-2.1236570136835278,12,88
-1.1305591285108176,-1.226597928786762,-1.127893161676634,-1.203245798127717,-1.5365956862323369,-1.3718972789714683,-2.7389606082858915,-2.060404980187275,-1.5277085844494374,6,72
-1.1451840394870831,-1.235420381155116,-1.1410760192238192,-1.2110758535105943,-1.5519838589611863,-1.3947954174838095,-2.716290737670977,-2.0585168975409323,-1.5301128075565746,6,57
-1.3052698094316852,-1.4104124083737817,-1.3025475007982028,-1.3766214209930814,-1.79288204423547,-1.5510986554622073,-3.111702270953807,-2.3170020446362187,-1.7704438000575582,8,100
-1.5441181366345391,-1.6728627960454352,-1.5417831971345777,-1.6268867873679398,-2.1494818246479666,-1.7826077308732529,-3.610427583366356,-2.6932361405483034,-2.119421356036256,12,57
-1.771682132792945,-1.9038521840499385,-1.7708929677552774,-1.8550653022212955,-2.4915139929625587,-2.0162434036499053,-4.117790636347015,-3.061887283268386,-2.476885523729346,18,22
-1.298039427025651,-1.400885292974399,-1.2954507702957383,-1.3683025717043755,-1.794654655715239,-1.5390482148179043,-3.1134117749017287,-2.3233085516208805,-1.7690738878486143,8,72
-1.4295746413011956,-1.545327006205386,-1.4269515820816487,-1.5085581083835389,-1.9974965569018688,-1.6786476235856116,-3.390703208764419,-2.526186062698422,-1.9609519851305384,10,61
-1.5271881240304863,-1.6523948111539062,-1.5257912070130264,-1.6099811445023728,-2.149578821241278,-1.7845718676894438,-3.61584001396243,-2.686778164888632,-2.118322079032186,12,56
-0.5034421670358784,-0.5034421670890076,-0.5034421671455725,-0.5034421671248026,-0.5987351545111914,-0.5987351545111914,-1.0531782420885554,-1.0531782420885554,-0.6278699041949327,2,3
-0.8852350146090323,-0.94633018642492,-0.8832463076005023,-0.9383820265351412,-1.1799040198637063,-1.097378454182274,-2.166448778989252,-1.68618899712772,-1.1916476633779187,4,87
-1.2733880727754223,-1.3706064407188383,-1.270840723450981,-1.3468874101300208,-1.7906738260095412,-1.570850803958544,-3.125867521743525,-2.32484952054916,-1.7630645030956198,8,18
-1.424739793304355,-1.5294322720354177,-1.4233866163578683,-1.4966105415845736,-1.9889303430048717,-1.6681266132334578,-3.3970892297980173,-2.5202163473655985,-1.959078547954868,10,97
-1.1174581276099214,-1.2087541295725042,-1.1139428369260171,-1.1849707762969148,-1.5198409581475991,-1.3726287524584229,-2.7368259537481423,-2.0644239500553847,-1.523863464559606,6,40
-1.5192667777157347,-1.632259405859765,-1.518309415906716,-1.596553699782449,-2.1515376357506497,-1.7698818458357497,-3.645729037009253,-2.685413599856456,-2.112614935248093,12,7
-0.8980786361967498,-0.9655490317884764,-0.8948597172068145,-0.95340188001892,-1.196521575232682,-1.12323249322427,-2.1681451174237534,-1.7027885255912107,-1.1938737393668557,4,43
-1.4257936200082812,-1.540614447781757,-1.4232804228448377,-1.5042137346450228,-1.9872418293453007,-1.6872164760084725,-3.388631823656984,-2.52234620053802,-1.9597462172397084,10,54
-0.511648694532538,-0.5116486945915728,-0.5116486946418688,-0.5116486946061087,-0.6026753221374491,-0.6026753221374491,-1.0402764433714986,-1.0402764433714986,-0.6313151318477441,2,57
-0.5133578135451113,-0.5133578135429543,-0.5133578135969868,-0.513357813549805,-0.6030528096636585,-0.6030528096636585,-1.0418486883036655,-1.0418486883036655,-0.6311595545987353,2,36
-1.7018535506339674,-1.836086210333009,-1.701241068178888,-1.7862494961481157,-2.4154560871801656,-1.946988358610125,-3.974282502724894,-2.962283471371006,-2.373340170860372,16,70
-1.45076068578932,-1.56036587409289,-1.4501376992638626,-1.523678188389033,-2.010255666931033,-1.7072633784601037,-3.365945605937049,-2.521378503162099,-1.9649756470563555,10,42
-1.418886289788966,-1.536488604082994,-1.416788255015713,-1.5000900731296063,-1.9690417054636176,-1.6859715020830317,-3.40493287890484,-2.5184341709955644,-1.9550076100042248,10,16
-0.9033373026725412,-0.9615813464294318,-0.9004814778667692,-0.9502755353663374,-1.1939006335908615,-1.1226055111728477,-2.14823156947625,-1.6969588802812423,-1.1955988279435803,4,68
-1.306890356055692,-1.4119989054428848,-1.3033062612092816,-1.3795380996784208,-1.7811298061032743,-1.5471151859184318,-3.1000822465540385,-2.3244231600492617,-1.7676856536854124,8,56
-1.716155681171856,-1.8478646267915615,-1.7147596645187426,-1.797090032835147,-2.411971427721005,-1.974493052026127,-3.9673966806021097,-2.9582693623019494,-2.375909598758437,16,95
-1.4253142547372089,-1.5363293035368422,-1.4230315259959083,-1.500547910285727,-2.006945468788191,-1.669292778926311,-3.396447186997324,-2.5277644915520137,-1.95970019143556,10,81
-1.5331291818315886,-1.6455170111494897,-1.532029441208698,-1.6100161506632875,-2.152728389490285,-1.7884334355258773,-3.619253081457992,-2.694049240225791,-2.119020862575588,12,34
-1.790052720166062,-1.9047914393745624,-1.7904371028443111,-1.859296600923466,-2.5192765921061944,-2.0142734615903053,-4.126994454565254,-3.0595033244356373,-2.479680624987175,18,7
-1.7839350429142142,-1.918143021464386,-1.7830939787056936,-1.865613299280199,-2.504036853095531,-2.010655425194167,-4.125103817325603,-3.062319554676939,-2.4777872837809847,18,5
-0.5166169713420086,-0.5166169713015399,-0.5166169711830527,-0.5166169712329931,-0.6156348387184132,-0.6156348387184132,-1.028341797365072,-1.028341797365072,-0.6344402627579303,2,8
-1.6445352365151913,-1.772608681198073,-1.6423785669479145,-1.722375147319683,-2.306440677992554,-1.8786812341940091,-3.79836315679477,-2.8313830454074167,-2.258356110351211,14,97
-0.511241049940105,-0.5112410499054943,-0.5112410499570896,-0.5112410499242361,-0.5990023679406193,-0.5990023679406193,-1.034880135292173,-1.034880135292173,-0.6309414653990578,2,29
-0.5207979605605755,-0.520797960432236,-0.5207979604050796,-0.5207979601619692,-0.6086078160661257,-0.6086078160661257,-1.0294586919130289,-1.0294586919130289,-0.639317794204732,2,14
-0.8782149131251952,-0.9332775120290748,-0.8764872553715557,-0.9232519496303924,-1.2013913199332948,-1.1140421226481236,-2.158214300233375,-1.7088474490661945,-1.1904875371295194,4,6
-1.715196038817148,-1.8492405780106669,-1.7139256981147089,-1.7977213820754223,-2.409592233170946,-1.9546717653647088,-3.97517664761436,-2.9519734524240278,-2.3747981703966543,16,26
-1.5404630795015462,-1.6548222696364432,-1.5379400354036776,-1.6151439297520842,-2.1669286913699617,-1.7765716717638942,-3.632364967949855,-2.683043646932834,-2.117042515288455,12,1
-0.8836589021369741,-0.9327670951034668,-0.8829670457444103,-0.9259456061362332,-1.1953600393211905,-1.106718084607905,-2.173771252249204,-1.707626124366335,-1.190057013983027,4,21
-0.51542849677267,-0.5154284968692908,-0.515428496998459,-0.5154284967837032,-0.6112583856425118,-0.6112583856425118,-1.0294742069744036,-1.0294742069744036,-0.6359667505618262,2,4
-1.2864893161473596,-1.3871668164150228,-1.2856598969788566,-1.359408552563388,-1.7818867853878697,-1.5500502585776734,-3.099213329085309,-2.3279105031428813,-1.7670640527285009,8,60
-1.5343764440148329,-1.6502841260517136,-1.53200645426168,-1.6092948402659235,-2.1564376001082945,-1.7997457280552651,-3.6257447272079233,-2.688129484883941,-2.1169766800024883,12,11
-1.4240601814339895,-1.5356322672767917,-1.4223613992691535,-1.4972101233591062,-1.991503204404307,-1.6851850431777249,-3.3917174723669508,-2.526279571534389,-1.9607736731087948,10,58
-0.5146320646671179,-0.5146320645828943,-0.5146320645717324,-0.5146320646752646,-0.6197840974233388,-0.6197840974233388,-1.0485149178260529,-1.0485149178260529,-0.6474684895693803,2,15
-1.4264231158034475,-1.5457222382658151,-1.424099972063708,-1.5078821969360343,-1.985564242426183,-1.6787565562881002,-3.3950122526743973,-2.52713123867003,-1.9605640111076228,10,71
-1.5328324332736485,-1.658466289369802,-1.530116242663631,-1.6155567508976303,-2.150594644146856,-1.773478522627311,-3.6288565775535697,-2.68848623521043,-2.117409182713461,12,26
-1.770116039112485,-1.9047432787355283,-1.7688424586613674,-1.8501825335689557,-2.540849234537678,-2.0182705504722493,-4.118788019020487,-3.0737976778468,-2.4797099073290645,18,84
-0.9054826837096698,-0.969512417519794,-0.901745650884248,-0.9588197264730588,-1.1979640336858084,-1.119424272771751,-2.1597123701661087,-1.6930415579047975,-1.1951586285275242,4,89
-1.148855311065112,-1.238766979770076,-1.1460445152096073,-1.2125060706433533,-1.554477060685756,-1.3841837761989626,-2.717411117179478,-2.0663367814784315,-1.5325668494914138,6,62
-1.6339629100252484,-1.7589339149236698,-1.633108488306442,-1.711507128916282,-2.307269072224684,-1.8858539983841405,-3.818772635969232,-2.824477187073665,-2.255286902453196,14,27
-0.907161479056156,-0.967891263726865,-0.9051687201967292,-0.9560348838467784,-1.1871253444247245,-1.1082080141174746,-2.150965533549709,-1.6984807816708922,-1.1961883920610754,4,51
-1.713492084382966,-1.833836071246652,-1.7127222031384717,-1.7867806522141765,-2.424808577222177,-1.946155431639028,-3.9617037557201007,-2.9612393147637444,-2.3769015897057875,16,44
-0.8848548520896092,-0.9476756544482868,-0.8827865793072619,-0.9367927800294588,-1.1835131003337285,-1.1032660242534418,-2.168809197308828,-1.6989874466773505,-1.191132392054761,4,22
-1.7272444911123082,-1.860612430466201,-1.7269262493315514,-1.8078968399897688,-2.423405310688008,-1.9662302220154044,-3.959474791323354,-2.9618671718036693,-2.379197469020645,16,59
-1.3178925629657734,-1.422214930304534,-1.3152723226145542,-1.3867478244728677,-1.807539536359327,-1.5571192441297703,-3.0936843625096584,-2.3211377176130044,-1.773640056179228,8,34
-1.7103437904274288,-1.843163778239656,-1.7087617491445652,-1.7933214583859691,-2.4024210687019347,-1.970070824103308,-3.961782701708812,-2.958713704910537,-2.375451980028206,16,36
-1.3049803620895022,-1.414308593016561,-1.3019168385138011,-1.3788612000252456,-1.799849450721449,-1.5439871051441418,-3.0915756072522047,-2.31985292558349,-1.77136776104357,8,58
-1.6475582993636615,-1.7776924671150216,-1.6458465292455868,-1.7313750118514883,-2.2784002829200483,-1.875140363970675,-3.8148942761779865,-2.8237375040961914,-2.2549859580082017,14,28
-1.7221263945980634,-1.861330546122794,-1.7203106436411295,-1.803786530831192,-2.397531157368453,-1.9600042507183288,-3.962244158569325,-2.959380379502116,-2.378172626800823,16,48
-1.6448753550883806,-1.787061943937604,-1.642520986708163,-1.7313343183033068,-2.2931224319156795,-1.88392362796979,-3.802762614123489,-2.832741492973122,-2.258303867841222,14,100
