newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-2.025003385808244e-11,5.007165661263802e-12,-2.890070154894231e-10,-0.05212795195795733,-0.05212795195795733,-0.6310414067373088,-0.6310414067373088,-0.7750247430449893,553
8.492294336498452e-11,-3.514462450920908e-11,-8.459085800750777e-11,-0.046953200610165224,-0.046953200610165224,-0.5376103827614331,-0.5376103827614331,-0.7118794471379497,762
-5.528333164844107e-10,-2.585523153283975e-10,-8.047852611946932e-10,-0.058613837994758666,-0.058613837994758666,-0.6613589894302092,-0.6613589894302092,-0.9351201203285336,106
-1.6019829237289007e-10,-9.400860014052714e-11,-1.0954512620273139e-10,-0.044354838331254656,-0.044354838331254656,-0.5670414419146814,-0.5670414419146814,-0.7670823374305746,544
-4.4856795403461216e-10,-5.527092356745477e-10,-8.624744156603137e-10,-0.044709269069788865,-0.044709269069788865,-0.691547967485866,-0.691547967485866,-0.9158759603456583,234
-2.4477591210880777e-11,-2.57285190792024e-10,-4.2825470050224245e-10,-0.04730588335908685,-0.04730588335908685,-0.668429859165552,-0.668429859165552,-0.9114226776085869,465
5.094887859623254e-10,-1.8220210213151788e-10,3.4882209782455267e-10,-0.040862704608239764,-0.040862704608239764,-0.6122747145482768,-0.6122747145482768,-0.92920832581025,746
4.1031500633195023e-10,4.5771212270426937e-10,1.1181850290836736e-10,-0.05209376887999367,-0.05209376887999367,-0.712238991012801,-0.712238991012801,-1.0615350593065158,806
-3.125865443848186e-10,-1.3123968923937911e-10,-2.610557751619308e-10,-0.059707416113734355,-0.059707416113734355,-0.6447388859955162,-0.6447388859955162,-0.998720544245916,193
1.0074439625064325e-10,3.6544500689635053e-10,1.1287298527958012e-10,-0.03470800306189879,-0.03470800306189879,-0.5680339942675403,-0.5680339942675403,-0.8805719715801642,124
-4.225540295617336e-11,-1.7553066029418056e-10,-2.8407373974144443e-10,-0.03810630240113773,-0.03810630240113773,-0.5794859217754308,-0.5794859217754308,-0.8830695426659579,264
-2.914897323774007e-10,-1.3912206450403254e-10,-5.151903765838323e-10,-0.042272636677517954,-0.042272636677517954,-0.6419484263024338,-0.6419484263024338,-0.8688379120679492,316
1.180486252465307e-10,-5.2794080959359114e-11,4.635114298802423e-11,-0.06581443964192867,-0.06581443964192867,-0.6159244462396748,-0.6159244462396748,-0.701049341021244,239
1.1609610015179961e-10,3.9508353977257827e-11,-9.543732987227216e-11,-0.051807652422675154,-0.051807652422675154,-0.6348515292863105,-0.6348515292863105,-0.9104489822964477,241
-2.576286191515592e-10,9.244667308061505e-11,-2.955906722237889e-10,-0.04988540246295373,-0.04988540246295373,-0.5767992440553982,-0.5767992440553982,-0.8942282561393254,789
