,newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
104,0.5405,0.2405,0.5305,0.5445,0.566,0.415,0.4645,0.545,64
105,0.529,0.2445,0.5265,0.5325,0.5575,0.4025,0.456,0.531,801
106,0.5245,0.2315,0.531,0.547,0.5775,0.403,0.451,0.532,445
107,0.5465,0.2455,0.5415,0.537,0.564,0.4055,0.461,0.5445,59
108,0.5125,0.237,0.524,0.532,0.5685,0.3825,0.44,0.522,448
109,0.543,0.253,0.539,0.536,0.5625,0.399,0.456,0.5265,917
110,0.541,0.263,0.5335,0.5295,0.556,0.397,0.443,0.524,298
111,0.56,0.2335,0.5495,0.537,0.5685,0.3945,0.448,0.54,676
112,0.544,0.24,0.546,0.5475,0.552,0.395,0.451,0.541,679
113,0.5455,0.2455,0.5485,0.554,0.5795,0.403,0.4705,0.551,766
114,0.55,0.2455,0.5495,0.5355,0.567,0.4045,0.4515,0.5255,791
115,0.546,0.2545,0.5475,0.545,0.565,0.417,0.453,0.545,440
116,0.5565,0.234,0.56,0.5475,0.577,0.408,0.465,0.542,918
117,0.5225,0.2465,0.5325,0.5365,0.5715,0.3925,0.4475,0.527,890
118,0.5445,0.2405,0.5175,0.526,0.5575,0.3955,0.4435,0.518,999
119,0.537,0.239,0.535,0.5435,0.5665,0.394,0.4525,0.541,695
120,0.5335,0.2515,0.5365,0.543,0.571,0.3975,0.456,0.544,228
121,0.503,0.2675,0.502,0.502,0.544,0.378,0.425,0.504,159
122,0.526,0.2495,0.523,0.5325,0.5745,0.402,0.448,0.5215,950
123,0.533,0.245,0.5225,0.541,0.57,0.404,0.4495,0.5315,253
124,0.529,0.2605,0.529,0.5245,0.556,0.3955,0.4405,0.5215,359
125,0.5495,0.2445,0.5415,0.5455,0.575,0.4075,0.4565,0.5435,663
126,0.5345,0.235,0.5305,0.526,0.559,0.3845,0.442,0.532,41
127,0.5005,0.255,0.4975,0.509,0.5405,0.3975,0.439,0.508,735
128,0.553,0.236,0.547,0.5535,0.577,0.405,0.454,0.5405,503
129,0.538,0.251,0.5415,0.5365,0.5675,0.3995,0.451,0.5325,662
130,0.553,0.243,0.534,0.543,0.5735,0.402,0.4535,0.539,334
131,0.556,0.228,0.546,0.532,0.559,0.401,0.4525,0.5355,945
132,0.546,0.2415,0.539,0.5465,0.5735,0.3895,0.436,0.539,384
133,0.546,0.2495,0.5495,0.5265,0.549,0.3915,0.442,0.524,998
134,0.5405,0.2535,0.5405,0.5325,0.5615,0.402,0.462,0.534,620
135,0.5445,0.241,0.546,0.5545,0.5775,0.3955,0.4515,0.5465,802
136,0.536,0.2615,0.538,0.5275,0.5665,0.403,0.459,0.531,821
