,newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
344,0.536,0.251,0.534,0.5255,0.561,0.3885,0.429,0.524,196
345,0.564,0.23,0.5625,0.546,0.573,0.418,0.4585,0.544,720
346,0.5315,0.2445,0.5285,0.5405,0.569,0.409,0.455,0.538,267
347,0.5365,0.2425,0.543,0.5435,0.582,0.4105,0.4605,0.5415,518
348,0.554,0.2405,0.551,0.528,0.561,0.385,0.43,0.53,19
349,0.548,0.26,0.536,0.5255,0.555,0.394,0.448,0.5235,248
350,0.5375,0.257,0.5385,0.5325,0.562,0.3885,0.438,0.5325,484
351,0.548,0.245,0.5415,0.535,0.5625,0.398,0.4475,0.5295,544
352,0.5345,0.244,0.5245,0.5155,0.552,0.4065,0.4455,0.5125,17
353,0.5345,0.256,0.5465,0.5455,0.5725,0.4105,0.4555,0.5365,560
354,0.5465,0.2425,0.5475,0.5505,0.583,0.418,0.466,0.549,931
355,0.5355,0.255,0.541,0.5445,0.573,0.4085,0.4515,0.5375,456
356,0.5585,0.2405,0.549,0.5465,0.5685,0.413,0.457,0.5425,435
357,0.5225,0.264,0.5205,0.505,0.5395,0.3805,0.4285,0.5105,764
358,0.5115,0.252,0.515,0.518,0.5615,0.406,0.4405,0.517,409
359,0.569,0.23,0.56,0.555,0.586,0.402,0.4545,0.5525,554
360,0.5305,0.2525,0.5285,0.522,0.547,0.3655,0.419,0.5195,759
361,0.56,0.234,0.5555,0.541,0.5745,0.4085,0.46,0.5465,946
362,0.537,0.243,0.5375,0.539,0.5635,0.404,0.4475,0.532,539
363,0.544,0.2225,0.5435,0.5455,0.581,0.406,0.462,0.541,516
364,0.5065,0.248,0.507,0.5035,0.548,0.3855,0.4385,0.5055,916
365,0.5395,0.247,0.5355,0.529,0.571,0.4,0.445,0.533,266
366,0.547,0.2565,0.54,0.5485,0.5675,0.415,0.452,0.5385,659
367,0.5405,0.2405,0.537,0.5255,0.556,0.404,0.45,0.5205,389
368,0.5315,0.2275,0.533,0.55,0.579,0.4245,0.4635,0.542,794
369,0.5465,0.2485,0.542,0.534,0.5725,0.413,0.456,0.543,235
370,0.55,0.245,0.55,0.54,0.564,0.394,0.451,0.5345,430
371,0.5395,0.242,0.55,0.53,0.5705,0.3905,0.443,0.525,587
372,0.5415,0.247,0.531,0.5305,0.5605,0.393,0.4585,0.5285,504
373,0.555,0.236,0.547,0.5615,0.5915,0.408,0.461,0.555,938
374,0.532,0.2415,0.543,0.543,0.572,0.4015,0.4565,0.5485,79
375,0.51,0.255,0.51,0.5215,0.5605,0.3945,0.439,0.5185,996
376,0.5375,0.244,0.541,0.548,0.5715,0.4125,0.457,0.541,1
377,0.525,0.2665,0.5175,0.5395,0.56,0.4015,0.4515,0.5375,958
378,0.5545,0.246,0.546,0.538,0.566,0.3955,0.452,0.528,693
379,0.537,0.235,0.537,0.537,0.5755,0.3955,0.452,0.5375,528
380,0.5365,0.2185,0.543,0.5435,0.5775,0.4085,0.458,0.547,573
381,0.5465,0.25,0.5515,0.5425,0.582,0.405,0.4565,0.5505,382
382,0.5465,0.247,0.536,0.5335,0.572,0.407,0.446,0.527,1000
383,0.52,0.262,0.52,0.5365,0.5755,0.388,0.436,0.526,814
384,0.548,0.252,0.5485,0.5395,0.5585,0.4115,0.4565,0.537,804
385,0.529,0.258,0.5275,0.533,0.5605,0.391,0.4525,0.5415,22
386,0.523,0.258,0.5165,0.513,0.5475,0.3885,0.4355,0.5125,377
387,0.546,0.2335,0.5425,0.539,0.569,0.403,0.435,0.536,101
388,0.527,0.256,0.5295,0.524,0.559,0.39,0.443,0.5245,164
389,0.5545,0.234,0.544,0.546,0.5585,0.3935,0.454,0.542,125
390,0.53,0.2355,0.5385,0.537,0.567,0.4085,0.4565,0.5405,192
391,0.5275,0.246,0.528,0.5225,0.5545,0.4035,0.4415,0.517,757
