newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.4605,0.492,0.5055,0.3075,0.3075,0.317,0.317,0.326,408
0.482,0.503,0.489,0.3035,0.3035,0.3305,0.3305,0.319,149
0.501,0.5135,0.5045,0.2965,0.2965,0.3135,0.3135,0.3125,197
0.508,0.5195,0.514,0.3065,0.3065,0.321,0.321,0.3295,156
0.518,0.499,0.5035,0.3265,0.3265,0.337,0.337,0.3315,756
0.49,0.502,0.494,0.325,0.325,0.3465,0.3465,0.3315,718
0.514,0.514,0.5125,0.3075,0.3075,0.316,0.316,0.3215,637
0.4795,0.4835,0.4695,0.2985,0.2985,0.325,0.325,0.3205,44
0.491,0.499,0.4855,0.305,0.305,0.334,0.334,0.3315,915
0.498,0.51,0.5095,0.3195,0.3195,0.3365,0.3365,0.33,326
0.5035,0.485,0.493,0.316,0.316,0.3325,0.3325,0.3125,759
0.483,0.484,0.4875,0.3085,0.3085,0.3265,0.3265,0.32,673
0.516,0.5025,0.5115,0.3,0.3,0.31,0.31,0.3235,311
0.509,0.509,0.517,0.317,0.317,0.3195,0.3195,0.3275,954
0.5005,0.504,0.504,0.2995,0.2995,0.3055,0.3055,0.3155,956
0.492,0.4965,0.489,0.3335,0.3335,0.3515,0.3515,0.344,886
0.489,0.478,0.489,0.3255,0.3255,0.326,0.326,0.3265,391
0.5135,0.501,0.5,0.3255,0.3255,0.3425,0.3425,0.33,96
0.5005,0.4975,0.5035,0.3135,0.3135,0.3245,0.3245,0.317,679
0.483,0.492,0.482,0.3045,0.3045,0.3045,0.3045,0.312,607
0.501,0.511,0.508,0.304,0.304,0.322,0.322,0.3165,551
0.506,0.506,0.4915,0.306,0.306,0.313,0.313,0.317,223
0.4835,0.505,0.478,0.331,0.331,0.344,0.344,0.3505,625
0.521,0.5025,0.5075,0.317,0.317,0.33,0.33,0.3295,129
0.4725,0.4865,0.4855,0.3275,0.3275,0.352,0.352,0.333,868
0.4985,0.4995,0.5085,0.312,0.312,0.3265,0.3265,0.312,473
0.512,0.5015,0.504,0.312,0.312,0.3255,0.3255,0.3175,725
0.488,0.476,0.5055,0.307,0.307,0.3185,0.3185,0.3165,823
0.4995,0.4825,0.491,0.3205,0.3205,0.325,0.325,0.324,798
0.493,0.474,0.494,0.3165,0.3165,0.316,0.316,0.318,28
0.5155,0.499,0.4955,0.323,0.323,0.327,0.327,0.334,216
0.4945,0.489,0.498,0.311,0.311,0.327,0.327,0.33,139
0.4985,0.4935,0.508,0.3055,0.3055,0.324,0.324,0.3145,972
0.503,0.5005,0.4985,0.3235,0.3235,0.3425,0.3425,0.3285,528
0.482,0.499,0.4985,0.303,0.303,0.3195,0.3195,0.316,467
0.495,0.49,0.51,0.3195,0.3195,0.342,0.342,0.336,860
0.505,0.4995,0.526,0.331,0.331,0.344,0.344,0.3475,83
0.4995,0.4815,0.515,0.3175,0.3175,0.336,0.336,0.332,228
0.494,0.487,0.5025,0.318,0.318,0.329,0.329,0.335,520
0.501,0.509,0.486,0.317,0.317,0.3355,0.3355,0.324,375
0.5125,0.525,0.511,0.3125,0.3125,0.333,0.333,0.328,792
0.5005,0.4905,0.4995,0.3235,0.3235,0.343,0.343,0.335,95
0.5045,0.5065,0.506,0.3085,0.3085,0.3145,0.3145,0.3225,209
0.513,0.5075,0.508,0.309,0.309,0.317,0.317,0.3175,500
0.494,0.521,0.508,0.32,0.32,0.3345,0.3345,0.329,71
0.512,0.494,0.49,0.322,0.322,0.322,0.322,0.326,765
0.4945,0.474,0.5125,0.309,0.309,0.3135,0.3135,0.3195,525
0.491,0.5085,0.513,0.311,0.311,0.3155,0.3155,0.3295,147
0.5245,0.52,0.5375,0.2895,0.2895,0.312,0.312,0.296,298
0.516,0.491,0.4825,0.322,0.322,0.3415,0.3415,0.333,518
0.4905,0.492,0.5065,0.3215,0.3215,0.3335,0.3335,0.335,486
0.5115,0.5075,0.5105,0.3095,0.3095,0.3295,0.3295,0.3315,599
0.5075,0.4785,0.517,0.334,0.334,0.335,0.335,0.3315,296
0.5265,0.511,0.514,0.324,0.324,0.3335,0.3335,0.3435,426
0.4795,0.4695,0.4705,0.304,0.304,0.3165,0.3165,0.313,968
0.507,0.5025,0.4915,0.3035,0.3035,0.324,0.324,0.3215,178
0.505,0.5095,0.518,0.3135,0.3135,0.33,0.33,0.3265,970
0.4955,0.4935,0.487,0.309,0.309,0.3135,0.3135,0.319,262
0.5055,0.513,0.4995,0.316,0.316,0.329,0.329,0.329,617
0.5205,0.5045,0.5005,0.3155,0.3155,0.333,0.333,0.322,477
0.5275,0.5015,0.539,0.308,0.308,0.3255,0.3255,0.3255,531
0.528,0.5015,0.51,0.299,0.299,0.3055,0.3055,0.3125,763
0.5005,0.4925,0.5165,0.296,0.296,0.3085,0.3085,0.316,123
0.505,0.505,0.504,0.299,0.299,0.312,0.312,0.3145,914
0.483,0.4805,0.4815,0.306,0.306,0.3205,0.3205,0.3245,472
0.4975,0.5045,0.4985,0.309,0.309,0.325,0.325,0.329,590
0.5,0.506,0.488,0.318,0.318,0.3295,0.3295,0.331,700
0.493,0.5085,0.4955,0.3255,0.3255,0.3395,0.3395,0.3345,271
0.491,0.4775,0.4755,0.3265,0.3265,0.3475,0.3475,0.328,251
0.514,0.5265,0.5,0.3205,0.3205,0.334,0.334,0.329,278
