newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.349,0.6015,0.3325,0.299,0.3225,0.2595,0.274,0.2955,189
0.3375,0.633,0.321,0.297,0.3275,0.2515,0.2585,0.2945,408
0.349,0.6045,0.342,0.299,0.3165,0.257,0.2575,0.29,149
0.361,0.602,0.3435,0.3065,0.333,0.241,0.2605,0.296,197
0.3555,0.603,0.3385,0.297,0.3145,0.2555,0.2615,0.288,156
0.367,0.6145,0.3375,0.286,0.315,0.256,0.2625,0.283,756
0.3565,0.628,0.338,0.3065,0.331,0.264,0.2715,0.298,718
0.3445,0.603,0.3255,0.3055,0.333,0.2685,0.277,0.3035,637
0.366,0.614,0.3415,0.301,0.3235,0.2635,0.2765,0.297,44
0.3545,0.6165,0.3435,0.3005,0.314,0.257,0.2585,0.288,915
0.34,0.609,0.3225,0.3005,0.3325,0.255,0.268,0.294,326
0.3575,0.6165,0.337,0.304,0.329,0.262,0.2665,0.2935,759
0.357,0.622,0.34,0.2885,0.3165,0.2505,0.256,0.2895,673
0.342,0.627,0.324,0.2965,0.31,0.259,0.273,0.2825,311
0.361,0.6125,0.3415,0.289,0.3235,0.251,0.2645,0.286,954
0.353,0.6085,0.3365,0.2865,0.3145,0.2485,0.2595,0.2835,956
0.355,0.6185,0.3405,0.29,0.324,0.251,0.25,0.287,886
0.349,0.62,0.3225,0.2935,0.317,0.2495,0.2535,0.284,391
0.371,0.6175,0.348,0.3085,0.3275,0.2515,0.2605,0.3005,96
0.3495,0.624,0.3315,0.285,0.305,0.2465,0.253,0.277,679
0.326,0.6435,0.3095,0.282,0.3135,0.245,0.253,0.2735,607
0.344,0.609,0.335,0.295,0.327,0.2545,0.259,0.295,551
0.357,0.6165,0.3395,0.312,0.3365,0.272,0.2845,0.312,223
0.344,0.6215,0.341,0.3045,0.3165,0.274,0.2755,0.296,625
0.3655,0.6035,0.35,0.3095,0.3335,0.273,0.281,0.3055,129
0.336,0.642,0.3215,0.281,0.307,0.234,0.239,0.2675,868
0.3475,0.61,0.341,0.298,0.328,0.265,0.272,0.299,473
0.363,0.618,0.347,0.3085,0.33,0.2615,0.2725,0.302,725
0.3685,0.589,0.359,0.3275,0.353,0.2835,0.2855,0.3205,823
0.3665,0.606,0.349,0.3025,0.3185,0.26,0.2695,0.3005,798
0.325,0.607,0.3235,0.2865,0.3125,0.246,0.2625,0.2835,28
0.34,0.6195,0.3255,0.3035,0.3355,0.255,0.268,0.3025,216
