newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.3445,0.6285,0.325,0.301,0.326,0.2515,0.2615,0.289,602
0.3595,0.617,0.3475,0.3165,0.355,0.279,0.278,0.315,909
0.3455,0.6255,0.3265,0.2965,0.331,0.26,0.267,0.2945,21
0.336,0.6205,0.3195,0.2945,0.315,0.268,0.2655,0.296,573
0.3395,0.6045,0.3265,0.2915,0.311,0.2605,0.2605,0.2865,703
0.337,0.6475,0.323,0.302,0.3265,0.2475,0.2535,0.292,560
0.365,0.6035,0.356,0.3085,0.3305,0.265,0.2785,0.3075,50
0.3445,0.6135,0.3325,0.29,0.327,0.2635,0.268,0.2895,714
0.3415,0.616,0.322,0.2745,0.3055,0.2495,0.2565,0.2765,207
0.348,0.614,0.3375,0.314,0.3475,0.2605,0.272,0.3055,390
0.3425,0.6085,0.321,0.2975,0.333,0.267,0.2685,0.29,504
0.3195,0.6125,0.316,0.296,0.3275,0.2515,0.2635,0.2875,347
0.3575,0.601,0.342,0.2965,0.324,0.2575,0.2665,0.2955,795
0.372,0.6175,0.337,0.2865,0.316,0.241,0.2475,0.285,90
0.3525,0.6185,0.341,0.3045,0.333,0.264,0.271,0.298,920
0.351,0.604,0.333,0.293,0.314,0.252,0.2635,0.2895,72
0.3315,0.615,0.312,0.2785,0.3075,0.245,0.257,0.2755,414
0.3495,0.6105,0.3265,0.283,0.315,0.256,0.2575,0.2765,924
0.346,0.632,0.329,0.2925,0.3035,0.2445,0.25,0.2855,595
0.335,0.6265,0.312,0.2745,0.312,0.2425,0.246,0.2795,56
0.348,0.6025,0.34,0.2905,0.3145,0.2585,0.2655,0.2925,622
0.351,0.636,0.334,0.306,0.3255,0.2555,0.2575,0.3025,463
0.357,0.598,0.3475,0.3135,0.333,0.263,0.27,0.302,890
0.331,0.62,0.316,0.2885,0.311,0.255,0.252,0.2835,656
0.3435,0.6125,0.3335,0.3055,0.3265,0.271,0.278,0.307,589
0.3375,0.6425,0.3105,0.276,0.2925,0.241,0.244,0.2645,307
0.34,0.6015,0.3345,0.32,0.348,0.2845,0.2895,0.3205,964
0.367,0.611,0.3495,0.3095,0.333,0.2715,0.286,0.311,142
0.335,0.618,0.3145,0.2825,0.3125,0.248,0.2545,0.281,677
0.329,0.61,0.3205,0.287,0.327,0.2455,0.2565,0.278,323
0.3395,0.631,0.3325,0.3045,0.325,0.271,0.2675,0.297,436
0.3395,0.617,0.32,0.296,0.3175,0.255,0.2675,0.293,517
0.3385,0.6385,0.322,0.291,0.311,0.2525,0.2565,0.2815,566
0.333,0.6265,0.321,0.283,0.311,0.245,0.253,0.2775,854
0.359,0.6015,0.343,0.301,0.318,0.264,0.275,0.2985,696
0.331,0.6345,0.317,0.2845,0.309,0.248,0.2565,0.2785,748
0.3455,0.6105,0.337,0.2955,0.3275,0.2555,0.272,0.2965,737
0.3435,0.612,0.3295,0.2975,0.3245,0.2495,0.265,0.291,844
0.351,0.6195,0.3335,0.293,0.3165,0.2545,0.26,0.286,793
0.359,0.629,0.3435,0.293,0.3245,0.238,0.251,0.2865,720
0.3615,0.634,0.335,0.2855,0.2995,0.2495,0.258,0.282,945
0.363,0.6285,0.3415,0.2985,0.314,0.2405,0.2555,0.2935,837
0.3505,0.625,0.3395,0.2995,0.3255,0.263,0.2665,0.3005,960
0.354,0.6145,0.3395,0.29,0.3205,0.263,0.267,0.2945,670
0.3415,0.6035,0.332,0.301,0.3205,0.265,0.267,0.301,627
0.34,0.626,0.3175,0.282,0.311,0.2505,0.256,0.275,82
0.3465,0.636,0.3285,0.2885,0.311,0.251,0.256,0.2865,233
0.3515,0.6145,0.3255,0.3,0.3225,0.2495,0.2645,0.288,26
0.3405,0.617,0.329,0.2975,0.328,0.259,0.2665,0.2955,989
0.3545,0.616,0.3425,0.3085,0.329,0.2525,0.2635,0.2965,182
0.3375,0.6215,0.3215,0.2885,0.318,0.2545,0.2655,0.29,27
0.327,0.6175,0.3165,0.2905,0.322,0.249,0.26,0.2845,253
0.349,0.615,0.3345,0.293,0.3285,0.247,0.2565,0.2885,628
0.3275,0.617,0.3145,0.301,0.322,0.2705,0.2715,0.2885,678
0.346,0.6075,0.3415,0.301,0.336,0.2755,0.277,0.2975,930
0.3465,0.62,0.327,0.288,0.315,0.2575,0.262,0.285,248
0.3435,0.618,0.3305,0.287,0.3205,0.2495,0.2525,0.2835,225
0.3695,0.609,0.3565,0.312,0.3355,0.259,0.272,0.301,974
0.3245,0.635,0.306,0.281,0.297,0.23,0.244,0.273,260
0.3505,0.615,0.339,0.2895,0.308,0.2505,0.2505,0.2835,726
0.3375,0.6085,0.3185,0.286,0.328,0.257,0.2655,0.287,58
0.342,0.628,0.3225,0.297,0.3195,0.2525,0.2655,0.295,803
0.348,0.6035,0.3365,0.31,0.331,0.2725,0.2755,0.2995,68
0.347,0.6345,0.33,0.2775,0.301,0.2475,0.247,0.279,661
0.3605,0.6165,0.343,0.3005,0.32,0.259,0.2645,0.293,163
0.345,0.616,0.326,0.289,0.311,0.259,0.263,0.285,356
0.3385,0.615,0.3415,0.305,0.3375,0.268,0.2745,0.3045,434
0.338,0.605,0.33,0.2995,0.3315,0.2515,0.2655,0.3,487
0.35,0.6275,0.3275,0.2905,0.3095,0.2545,0.2685,0.2905,183
0.354,0.6375,0.334,0.27,0.3055,0.2315,0.247,0.2675,402
0.3445,0.63,0.315,0.293,0.3185,0.2665,0.267,0.2865,508
0.367,0.6105,0.3455,0.2925,0.3205,0.249,0.2565,0.287,498
0.35,0.614,0.324,0.292,0.3265,0.269,0.2655,0.2825,657
0.351,0.624,0.336,0.274,0.3015,0.238,0.2495,0.2815,497
0.34,0.6175,0.331,0.2895,0.318,0.257,0.2655,0.2855,926
0.3505,0.6145,0.337,0.3015,0.3255,0.255,0.2605,0.2985,273
0.3125,0.612,0.304,0.284,0.3225,0.2485,0.259,0.28,897
0.3595,0.621,0.336,0.304,0.3325,0.2525,0.267,0.2995,459
0.358,0.6045,0.353,0.298,0.3195,0.255,0.263,0.2935,460
0.337,0.627,0.31,0.2755,0.307,0.255,0.259,0.274,126
0.3705,0.6005,0.3515,0.3065,0.3225,0.2615,0.271,0.2995,461
0.33,0.605,0.3275,0.302,0.3365,0.2615,0.2655,0.294,34
0.347,0.6025,0.3285,0.287,0.3075,0.244,0.258,0.282,20
0.342,0.621,0.3255,0.292,0.3215,0.2505,0.2655,0.2905,716
0.349,0.625,0.325,0.2895,0.3165,0.252,0.2535,0.281,237
0.3345,0.6135,0.315,0.285,0.311,0.2545,0.263,0.2825,468
0.3715,0.6115,0.3565,0.309,0.3335,0.2535,0.261,0.298,451
0.3445,0.6155,0.3325,0.297,0.33,0.2615,0.2665,0.2935,415
0.3455,0.616,0.3385,0.3075,0.3375,0.2585,0.2685,0.299,495
0.346,0.5885,0.3275,0.313,0.35,0.2725,0.283,0.3045,810
0.3285,0.608,0.322,0.3005,0.3245,0.267,0.2715,0.2935,361
0.3435,0.6185,0.326,0.297,0.3325,0.266,0.2665,0.295,935
0.3355,0.621,0.321,0.288,0.3145,0.251,0.2615,0.2905,629
0.3345,0.622,0.3145,0.28,0.304,0.236,0.239,0.2745,849
0.3605,0.6,0.343,0.313,0.3355,0.2675,0.274,0.305,170
0.353,0.615,0.329,0.2925,0.3275,0.2495,0.2585,0.2885,115
0.339,0.623,0.3265,0.2845,0.31,0.2495,0.25,0.282,464
0.338,0.624,0.3225,0.2885,0.3155,0.2575,0.2665,0.288,717
0.346,0.6395,0.3305,0.2995,0.3205,0.265,0.2725,0.298,285
0.348,0.633,0.334,0.3015,0.324,0.265,0.2685,0.306,685
0.3445,0.608,0.33,0.3115,0.3385,0.2705,0.2745,0.308,865
0.3515,0.6175,0.3375,0.309,0.3345,0.2735,0.277,0.2975,932
0.3345,0.63,0.316,0.2855,0.3185,0.237,0.254,0.2825,131
0.3395,0.6235,0.3285,0.2855,0.312,0.242,0.2485,0.276,448
0.3415,0.62,0.3335,0.2905,0.3205,0.2455,0.259,0.2835,456
0.3475,0.608,0.3405,0.307,0.3315,0.2555,0.2685,0.2985,406
0.3475,0.6135,0.341,0.302,0.332,0.264,0.267,0.3005,333
0.3575,0.61,0.346,0.3055,0.325,0.2635,0.27,0.3025,417
0.368,0.599,0.359,0.3005,0.325,0.266,0.272,0.3025,601
0.3485,0.6135,0.33,0.2935,0.3215,0.2595,0.268,0.288,898
0.357,0.6115,0.34,0.3035,0.322,0.2575,0.263,0.2925,873
0.344,0.6245,0.341,0.2765,0.307,0.232,0.2385,0.2705,880
0.343,0.616,0.324,0.291,0.3115,0.25,0.2585,0.2855,706
0.3425,0.61,0.336,0.282,0.3145,0.255,0.26,0.284,895
0.33,0.624,0.317,0.2965,0.3275,0.2545,0.265,0.2895,315
0.334,0.6435,0.3155,0.2805,0.3015,0.241,0.2465,0.2725,268
0.3525,0.6045,0.3425,0.308,0.334,0.2695,0.273,0.3075,905
0.3515,0.62,0.333,0.308,0.3195,0.253,0.263,0.3025,205
0.3395,0.637,0.324,0.2975,0.3275,0.263,0.2665,0.299,567
0.343,0.621,0.3265,0.2785,0.3135,0.2455,0.2515,0.276,389
0.3365,0.628,0.3165,0.2965,0.3195,0.2615,0.26,0.293,626
0.356,0.625,0.3475,0.298,0.319,0.256,0.2625,0.301,819
0.3315,0.598,0.317,0.303,0.318,0.2565,0.2645,0.2905,749
0.332,0.6185,0.3215,0.2925,0.318,0.247,0.254,0.287,521
0.357,0.6065,0.3395,0.2955,0.3085,0.2495,0.2615,0.2885,287
0.339,0.6505,0.3275,0.286,0.3125,0.2505,0.2655,0.2865,358
0.334,0.6195,0.3155,0.289,0.311,0.2585,0.2605,0.286,413
0.3535,0.617,0.3305,0.2905,0.3125,0.253,0.259,0.2885,244
0.3475,0.6455,0.331,0.283,0.3075,0.243,0.248,0.281,563
0.344,0.6325,0.336,0.275,0.296,0.2475,0.247,0.2755,918
0.3495,0.622,0.3345,0.302,0.3295,0.255,0.2635,0.29,291
0.359,0.6085,0.3435,0.297,0.3245,0.26,0.273,0.2965,526
0.3465,0.617,0.331,0.3015,0.332,0.2665,0.281,0.2995,619
0.3375,0.6115,0.3165,0.288,0.31,0.2605,0.263,0.2845,226
0.3435,0.62,0.3295,0.2865,0.3205,0.2355,0.251,0.281,452
0.337,0.638,0.3215,0.293,0.308,0.248,0.2535,0.2855,919
0.3345,0.639,0.3195,0.279,0.309,0.2475,0.25,0.2715,594
0.357,0.626,0.34,0.3035,0.326,0.263,0.273,0.3075,99
0.351,0.63,0.332,0.2825,0.309,0.2385,0.2585,0.2825,569
0.3485,0.615,0.332,0.295,0.312,0.259,0.2625,0.288,470
0.348,0.61,0.3355,0.308,0.3265,0.273,0.2745,0.296,913
0.351,0.596,0.3365,0.3,0.3305,0.2655,0.2775,0.3015,480
0.343,0.611,0.3315,0.285,0.313,0.254,0.2605,0.2805,492
0.348,0.6115,0.3285,0.302,0.33,0.269,0.276,0.3035,894
0.3455,0.621,0.325,0.2985,0.334,0.2485,0.268,0.2865,802
0.349,0.6205,0.3325,0.29,0.306,0.252,0.257,0.289,168
0.338,0.621,0.3205,0.2685,0.2905,0.2365,0.2335,0.2565,689
0.3425,0.6315,0.326,0.2885,0.3145,0.252,0.2625,0.2855,35
0.36,0.604,0.343,0.308,0.3395,0.2625,0.269,0.3015,150
0.3365,0.637,0.317,0.285,0.3035,0.2365,0.2485,0.2775,269
0.36,0.6175,0.3445,0.296,0.3245,0.2535,0.26,0.2935,73
0.3325,0.624,0.3165,0.2945,0.311,0.256,0.2645,0.2905,496
0.359,0.621,0.343,0.2965,0.3265,0.2495,0.255,0.2905,382
0.347,0.6145,0.3385,0.289,0.324,0.257,0.272,0.2845,724
0.3435,0.632,0.332,0.291,0.309,0.2485,0.252,0.2835,710
0.3455,0.581,0.3425,0.3185,0.344,0.283,0.2925,0.3175,757
0.3675,0.617,0.355,0.3045,0.3205,0.261,0.2725,0.3045,697
0.349,0.6295,0.331,0.301,0.3225,0.266,0.274,0.293,872
0.352,0.6125,0.3415,0.2985,0.32,0.255,0.2625,0.29,297
0.3245,0.634,0.3035,0.262,0.3045,0.236,0.2365,0.262,889
0.3395,0.6175,0.3165,0.284,0.307,0.25,0.2565,0.286,925
0.3595,0.619,0.347,0.2995,0.3295,0.269,0.2785,0.2975,949
0.3845,0.614,0.3645,0.3135,0.3285,0.2665,0.274,0.3135,350
0.327,0.6095,0.3155,0.2895,0.315,0.2565,0.2585,0.2855,701
0.3565,0.626,0.3445,0.297,0.317,0.2505,0.26,0.2925,324
0.348,0.6155,0.3345,0.294,0.322,0.253,0.2595,0.289,524
0.3405,0.6385,0.322,0.276,0.295,0.2435,0.2475,0.27,295
0.348,0.6235,0.3345,0.2835,0.304,0.2545,0.259,0.275,400
0.348,0.6065,0.3325,0.304,0.324,0.2575,0.273,0.298,453
0.3305,0.6435,0.3145,0.269,0.3025,0.2495,0.251,0.267,840
0.353,0.6225,0.333,0.2925,0.3225,0.2635,0.2715,0.2895,561
0.3205,0.649,0.304,0.2755,0.3015,0.2515,0.246,0.2745,144
0.318,0.6305,0.3105,0.274,0.295,0.241,0.241,0.27,631
0.3225,0.6215,0.3065,0.2745,0.3045,0.245,0.244,0.2665,202
0.352,0.622,0.332,0.2915,0.313,0.2515,0.2595,0.2875,444
0.3325,0.628,0.3175,0.2735,0.3015,0.2465,0.2485,0.269,488
0.3445,0.6105,0.3305,0.2955,0.3245,0.2685,0.2815,0.292,19
0.331,0.5975,0.313,0.2865,0.3335,0.2615,0.2615,0.282,180
0.35,0.626,0.336,0.3,0.327,0.2595,0.2675,0.296,828
0.3345,0.6245,0.3175,0.292,0.3175,0.277,0.273,0.2965,558
0.3725,0.6255,0.3415,0.3055,0.338,0.266,0.274,0.303,785
0.332,0.6145,0.324,0.2965,0.328,0.2655,0.269,0.2945,9
0.3425,0.633,0.3255,0.28,0.299,0.2335,0.2455,0.278,579
0.333,0.654,0.3035,0.2685,0.295,0.239,0.2405,0.2595,289
0.37,0.6155,0.3445,0.297,0.3285,0.2575,0.272,0.295,446
0.339,0.622,0.3275,0.2845,0.3075,0.26,0.2665,0.28,421
0.3345,0.6155,0.3225,0.281,0.3105,0.2405,0.2565,0.278,680
0.326,0.6415,0.311,0.2835,0.312,0.24,0.246,0.2785,585
0.3355,0.648,0.318,0.274,0.301,0.2375,0.2435,0.267,143
0.3535,0.617,0.3305,0.28,0.3115,0.249,0.2515,0.2805,592
0.34,0.6275,0.321,0.292,0.3135,0.25,0.2535,0.2815,399
0.3345,0.6085,0.318,0.2905,0.315,0.2445,0.253,0.285,958
0.345,0.6075,0.34,0.2935,0.3295,0.268,0.2675,0.291,545
0.349,0.6175,0.3265,0.297,0.326,0.262,0.274,0.2875,479
0.357,0.6125,0.334,0.3025,0.3145,0.246,0.2525,0.2885,532
0.356,0.6155,0.3515,0.309,0.3325,0.2785,0.281,0.3055,98
0.3425,0.628,0.331,0.2815,0.31,0.248,0.253,0.276,272
0.3385,0.619,0.3215,0.2745,0.309,0.242,0.2425,0.2745,294
0.3545,0.6375,0.335,0.2935,0.3125,0.248,0.253,0.2885,322
0.3215,0.6415,0.317,0.282,0.313,0.2575,0.2575,0.286,851
0.327,0.6265,0.3035,0.2825,0.3035,0.25,0.257,0.274,917
0.3535,0.617,0.345,0.295,0.326,0.2565,0.2655,0.287,996
0.3505,0.6145,0.333,0.298,0.3285,0.254,0.2655,0.293,30
0.3515,0.6105,0.3355,0.2845,0.3075,0.2505,0.2525,0.277,650
0.3555,0.6075,0.339,0.306,0.3245,0.26,0.268,0.303,774
0.3325,0.6445,0.3285,0.2905,0.3195,0.2405,0.254,0.2815,874
0.344,0.633,0.326,0.283,0.3105,0.256,0.2575,0.2795,441
0.355,0.608,0.338,0.2955,0.324,0.271,0.2775,0.294,711
0.3385,0.6305,0.3215,0.2845,0.3195,0.2465,0.254,0.285,978
0.3315,0.621,0.3215,0.2795,0.3095,0.262,0.2575,0.277,709
0.3715,0.62,0.357,0.296,0.3215,0.259,0.2715,0.298,733
0.325,0.6285,0.3065,0.284,0.32,0.254,0.26,0.284,455
0.3485,0.633,0.332,0.296,0.325,0.256,0.2665,0.293,418
0.344,0.6295,0.3305,0.2895,0.3155,0.246,0.247,0.284,767
0.35,0.61,0.328,0.283,0.3145,0.2345,0.244,0.274,362
0.3555,0.601,0.3355,0.309,0.332,0.275,0.284,0.3065,280
0.35,0.6135,0.3465,0.3085,0.3335,0.264,0.278,0.2985,121
0.3585,0.623,0.3405,0.309,0.33,0.264,0.273,0.3045,927
0.3465,0.627,0.3325,0.293,0.31,0.2505,0.261,0.2815,16
0.367,0.611,0.352,0.299,0.3165,0.259,0.2625,0.2895,574
0.337,0.6385,0.3155,0.2915,0.313,0.2575,0.2555,0.285,838
0.3355,0.61,0.3135,0.2865,0.322,0.2495,0.25,0.283,424
0.32,0.633,0.298,0.275,0.2945,0.2445,0.2415,0.268,46
0.342,0.61,0.321,0.2885,0.3105,0.2415,0.26,0.284,866
0.361,0.621,0.3465,0.2845,0.315,0.2585,0.2535,0.277,335
0.34,0.615,0.322,0.285,0.3185,0.243,0.2545,0.281,309
0.3425,0.6335,0.3185,0.293,0.319,0.254,0.2615,0.2885,937
0.3395,0.6165,0.338,0.295,0.326,0.2625,0.2635,0.304,157
0.3545,0.6235,0.3425,0.2985,0.332,0.266,0.274,0.2965,652
0.334,0.6225,0.317,0.2835,0.326,0.2375,0.2505,0.282,198
0.344,0.6485,0.317,0.2785,0.3035,0.231,0.2435,0.269,876
0.342,0.609,0.335,0.3015,0.326,0.2555,0.268,0.3005,591
0.33,0.6155,0.3095,0.2935,0.32,0.251,0.2545,0.2835,863
0.348,0.637,0.325,0.293,0.31,0.2605,0.26,0.288,515
0.355,0.6295,0.338,0.295,0.33,0.2475,0.2535,0.2845,370
0.34,0.6245,0.3165,0.2935,0.325,0.2575,0.2665,0.2895,869
0.3545,0.602,0.34,0.311,0.3275,0.2715,0.274,0.3075,116
0.348,0.616,0.329,0.287,0.316,0.2405,0.2505,0.2785,371
0.337,0.6055,0.315,0.2865,0.3115,0.245,0.2485,0.277,374
0.3595,0.611,0.329,0.294,0.312,0.261,0.2625,0.29,530
0.3435,0.614,0.3285,0.2835,0.321,0.2505,0.259,0.2835,13
0.355,0.635,0.3415,0.3035,0.3275,0.2585,0.262,0.299,395
0.3525,0.6175,0.3385,0.2985,0.32,0.2585,0.268,0.2975,355
0.347,0.624,0.3355,0.3095,0.3265,0.26,0.276,0.3065,161
0.345,0.6185,0.331,0.2945,0.329,0.249,0.26,0.292,469
0.3595,0.617,0.3415,0.3015,0.326,0.2635,0.2645,0.2945,40
0.3395,0.5985,0.3245,0.3065,0.336,0.274,0.2765,0.302,505
0.3335,0.6165,0.326,0.2965,0.3325,0.268,0.2735,0.2915,683
0.3305,0.62,0.319,0.2895,0.306,0.2445,0.2545,0.283,85
0.3385,0.6235,0.3315,0.275,0.2975,0.239,0.2425,0.2685,712
0.353,0.632,0.333,0.282,0.314,0.233,0.245,0.281,215
0.3525,0.612,0.34,0.3065,0.3345,0.262,0.2705,0.2985,238
0.356,0.6235,0.334,0.3055,0.33,0.2715,0.262,0.3025,367
0.332,0.624,0.3215,0.297,0.3285,0.27,0.2625,0.293,64
0.327,0.6285,0.3245,0.2805,0.2985,0.2525,0.254,0.273,839
0.3415,0.616,0.3315,0.2925,0.3215,0.2455,0.263,0.287,130
0.334,0.621,0.32,0.294,0.3205,0.267,0.256,0.287,57
0.3385,0.627,0.32,0.3145,0.329,0.2625,0.2805,0.306,154
0.353,0.6235,0.333,0.3035,0.33,0.2525,0.263,0.3015,206
0.3365,0.643,0.3155,0.2665,0.295,0.2245,0.236,0.257,312
0.3575,0.6025,0.3505,0.2975,0.3305,0.2685,0.273,0.299,836
0.339,0.6195,0.3245,0.2965,0.3285,0.251,0.257,0.2885,261
0.351,0.6225,0.3405,0.3045,0.318,0.2605,0.2725,0.296,310
0.335,0.6225,0.318,0.278,0.3115,0.243,0.245,0.2785,341
0.3265,0.6505,0.3165,0.282,0.3135,0.253,0.2525,0.278,796
0.3685,0.6145,0.342,0.3055,0.3355,0.258,0.272,0.298,513
0.3485,0.6265,0.333,0.289,0.318,0.2505,0.257,0.2865,899
0.337,0.6095,0.333,0.2965,0.328,0.2635,0.269,0.2935,227
0.334,0.6145,0.3245,0.294,0.329,0.2605,0.266,0.286,345
0.3495,0.6235,0.338,0.2975,0.307,0.246,0.265,0.289,132
0.3575,0.611,0.3455,0.286,0.315,0.259,0.2615,0.29,445
0.34,0.6205,0.328,0.286,0.3155,0.2425,0.251,0.2765,604
0.354,0.6225,0.3335,0.314,0.337,0.2565,0.274,0.3085,708
0.3745,0.606,0.352,0.3155,0.345,0.2705,0.2805,0.312,112
0.3405,0.6095,0.327,0.3035,0.332,0.2675,0.2735,0.3015,843
0.3455,0.595,0.3335,0.298,0.3275,0.26,0.268,0.2935,980
0.33,0.6115,0.317,0.2985,0.3225,0.2625,0.266,0.2945,636
0.3485,0.62,0.3295,0.297,0.321,0.2635,0.276,0.295,665
0.337,0.625,0.323,0.2935,0.3125,0.2625,0.2685,0.291,385
0.3485,0.6145,0.3305,0.2965,0.3225,0.265,0.2705,0.2875,535
0.3485,0.611,0.3265,0.3,0.3185,0.2705,0.2725,0.2985,257
0.35,0.645,0.332,0.2735,0.2995,0.226,0.236,0.2665,478
0.352,0.604,0.345,0.299,0.3255,0.2545,0.2635,0.2945,229
0.331,0.626,0.307,0.281,0.3065,0.244,0.258,0.274,559
0.36,0.611,0.337,0.297,0.318,0.2515,0.2595,0.2925,12
0.3235,0.629,0.308,0.2765,0.304,0.2325,0.235,0.268,1000
0.338,0.615,0.328,0.2835,0.3105,0.2495,0.2545,0.2815,405
0.346,0.624,0.3335,0.291,0.3345,0.25,0.259,0.2865,135
0.3405,0.6285,0.3275,0.2895,0.3145,0.2575,0.2625,0.29,529
0.3905,0.61,0.3685,0.321,0.339,0.274,0.2815,0.318,252
0.3365,0.589,0.3205,0.2855,0.3215,0.2595,0.2625,0.2885,77
0.3635,0.6025,0.35,0.323,0.3435,0.2795,0.291,0.3145,429
0.3165,0.6175,0.318,0.287,0.3225,0.262,0.2705,0.284,620
0.371,0.6015,0.3505,0.316,0.3435,0.269,0.2765,0.306,447
0.351,0.6105,0.328,0.29,0.3285,0.2535,0.255,0.288,931
0.347,0.6325,0.3305,0.276,0.3035,0.2435,0.244,0.2705,351
0.325,0.617,0.315,0.294,0.317,0.2555,0.266,0.3005,979
0.342,0.636,0.327,0.287,0.307,0.249,0.2575,0.287,211
0.3555,0.6255,0.3405,0.29,0.3125,0.2635,0.2685,0.2815,698
0.3655,0.6065,0.349,0.3175,0.3345,0.257,0.2705,0.307,344
0.347,0.628,0.3315,0.2975,0.326,0.2555,0.259,0.285,632
0.351,0.614,0.3355,0.306,0.327,0.267,0.2655,0.2975,761
0.3605,0.6165,0.343,0.3065,0.3275,0.2585,0.2725,0.301,454
0.3405,0.618,0.318,0.2915,0.3245,0.253,0.26,0.2885,861
0.343,0.623,0.3305,0.313,0.3315,0.2725,0.2785,0.3075,184
0.3495,0.623,0.338,0.288,0.3185,0.256,0.257,0.284,893
0.348,0.6155,0.33,0.287,0.3185,0.253,0.261,0.291,783
0.3405,0.624,0.332,0.288,0.309,0.2585,0.2665,0.287,940
0.3445,0.629,0.328,0.295,0.31,0.253,0.257,0.2875,15
0.3485,0.61,0.327,0.2895,0.3175,0.2405,0.255,0.2875,393
0.3445,0.63,0.3345,0.305,0.3215,0.2695,0.272,0.3005,884
0.349,0.602,0.342,0.2995,0.3135,0.2575,0.268,0.2925,401
0.349,0.6205,0.344,0.3005,0.3405,0.272,0.2775,0.3005,588
0.3345,0.6115,0.32,0.285,0.3015,0.253,0.2615,0.2795,616
0.3325,0.6145,0.317,0.2955,0.3295,0.262,0.269,0.293,546
0.354,0.6095,0.3415,0.3105,0.338,0.262,0.2735,0.309,921
0.3445,0.6175,0.336,0.304,0.329,0.255,0.2755,0.298,187
0.3635,0.633,0.3495,0.295,0.3085,0.257,0.262,0.289,369
0.329,0.641,0.308,0.2805,0.314,0.244,0.2435,0.2645,186
0.345,0.64,0.324,0.2745,0.3055,0.2375,0.2425,0.2685,338
0.3375,0.6055,0.319,0.2845,0.3065,0.2575,0.2635,0.2805,885
0.3485,0.622,0.3355,0.309,0.334,0.2475,0.2615,0.2965,571
0.349,0.6055,0.34,0.3095,0.334,0.2645,0.284,0.306,715
0.329,0.614,0.3225,0.2955,0.3165,0.2525,0.2575,0.2915,614
0.3535,0.608,0.3405,0.3085,0.331,0.2615,0.274,0.3025,779
0.361,0.6335,0.3465,0.328,0.3465,0.2795,0.2825,0.32,419
0.3565,0.621,0.3365,0.299,0.335,0.2705,0.271,0.302,651
0.3395,0.605,0.326,0.296,0.3285,0.262,0.2685,0.2955,212
0.3455,0.63,0.329,0.283,0.307,0.252,0.252,0.2785,766
0.363,0.6015,0.349,0.3105,0.341,0.265,0.2715,0.304,514
0.325,0.6225,0.315,0.285,0.306,0.2465,0.2505,0.281,66
0.3595,0.6255,0.3375,0.295,0.328,0.2535,0.2625,0.2905,738
0.337,0.6155,0.3205,0.289,0.3045,0.2425,0.25,0.2875,658
0.326,0.6195,0.3165,0.2835,0.3165,0.2535,0.259,0.2865,808
0.3415,0.6345,0.3235,0.2795,0.301,0.241,0.2505,0.2755,593
0.332,0.616,0.323,0.279,0.326,0.2555,0.258,0.281,422
0.38,0.6305,0.348,0.3045,0.3225,0.2555,0.265,0.2945,181
0.324,0.6145,0.31,0.288,0.3215,0.257,0.259,0.281,901
0.3525,0.6335,0.339,0.2815,0.295,0.253,0.249,0.2835,653
0.338,0.627,0.321,0.293,0.3155,0.253,0.2665,0.2925,7
0.356,0.6055,0.3415,0.308,0.3275,0.2635,0.273,0.2965,146
0.3235,0.638,0.306,0.2845,0.312,0.257,0.2575,0.2785,366
0.3225,0.622,0.3015,0.2775,0.312,0.2395,0.2475,0.274,550
0.3315,0.6165,0.32,0.2955,0.316,0.254,0.259,0.283,3
0.359,0.596,0.3455,0.3005,0.3305,0.2675,0.2715,0.297,572
0.363,0.623,0.338,0.3015,0.3285,0.256,0.272,0.304,10
0.3245,0.6365,0.3095,0.285,0.318,0.2345,0.247,0.277,394
0.331,0.636,0.3245,0.28,0.3005,0.2375,0.246,0.2705,76
0.333,0.627,0.321,0.292,0.314,0.252,0.257,0.291,259
0.3295,0.6275,0.3165,0.281,0.3055,0.248,0.2475,0.27,540
0.3345,0.6045,0.3255,0.2965,0.3125,0.2575,0.2605,0.2895,965
0.3555,0.598,0.336,0.294,0.3235,0.2575,0.256,0.2815,435
0.3445,0.625,0.33,0.292,0.3115,0.2505,0.254,0.2845,164
0.3705,0.606,0.3555,0.307,0.3365,0.259,0.275,0.302,213
0.3455,0.632,0.326,0.276,0.3055,0.233,0.2455,0.275,221
0.3415,0.614,0.3305,0.3075,0.334,0.277,0.2835,0.3075,922
0.3465,0.618,0.3365,0.2935,0.309,0.2495,0.26,0.2885,613
0.3355,0.6215,0.3235,0.3,0.327,0.273,0.273,0.2955,387
0.348,0.624,0.338,0.293,0.325,0.26,0.266,0.2905,797
0.35,0.6145,0.327,0.2845,0.302,0.256,0.259,0.2815,576
0.3455,0.6275,0.3275,0.2975,0.3235,0.2615,0.2665,0.2905,991
0.3495,0.6075,0.3315,0.293,0.3225,0.2625,0.2685,0.293,549
0.3335,0.616,0.3305,0.2885,0.3145,0.243,0.2485,0.288,177
0.3635,0.611,0.352,0.3095,0.3385,0.268,0.2795,0.3035,646
0.358,0.6015,0.3455,0.3,0.339,0.253,0.2695,0.301,432
0.332,0.6355,0.3155,0.283,0.309,0.257,0.254,0.2885,772
