,dataset,avg_HO_iteration,avg_PL_iteration
0,1,10000.0,10000.0
4,2,455.12,864.12
13,4,120.88,291.64
18,6,1629.08,3209.64
19,7,15.52,28.92
20,8,8882.92,10000.0
21,9,12.04,1496.48
1,12,12.8,25.4
2,14,33.64,50.24
3,18,4980.48,10000.0
5,24,32.28,71.4
6,25,2955.16,5382.2
7,28,11.0,15.0
8,30,15.88,57.76
9,32,72.88,253.56
10,34,450.2,1152.12
11,35,9.12,19.0
12,38,21.16,56.04
14,42,10000.0,6862.84
15,45,91.4,99.2
16,52,222.08,270.04
17,53,48.72,62.92
