Iteration,Avg_HO_Error,Avg_PL_Error
0,0.0,0.0
1,81.38668561403905,3.1430210111366614
2,297.7212360819851,3.971861958272733
3,356.1068011304539,4.9072799566107035
4,289.27876411416094,5.806495434481608
5,187.58426002406952,6.653463668858411
6,108.20005553027136,7.44157830310532
7,58.49568774243107,8.168229423814445
8,30.5249955764491,8.832789281208449
9,15.643073518382607,9.435824376605673
10,7.938711356984413,9.978711521230657
11,4.010948693204455,10.463405384062511
12,2.022076728255797,10.892274742207391
13,1.0186823115334391,11.26797727030322
14,0.5130956217431049,11.593360283826897
15,0.2584740183503982,11.871381169176942
16,0.13023317030251746,12.10504369549389
17,0.0656331716513705,12.297347478869142
18,0.03308319058464804,12.451248426711487
19,0.01667861532837378,12.569628343801668
20,0.008409396499928334,12.655272148084634
21,0.004240424098725271,12.710851366193651
22,0.0021383685671025887,12.738912771639718
23,0.0010783921345591807,12.741871198350083
24,0.0005438581677026377,12.722005711406382
25,0.00027428689122643846,12.681458447106507
26,0.00013833489174430724,12.622235547423514
27,6.97691582445259e-05,12.546209711168672
28,3.518833682392142e-05,12.455123967315444
29,1.7747467381923343e-05,12.350596346641225
30,8.951085419539595e-06,12.234125187628138
31,4.514567081059795e-06,12.107094862878569
32,2.276969780723448e-06,11.989019974775488
33,1.1484153219498694e-06,11.960584670032006
34,5.792167030449491e-07,11.92572681516259
35,0.0,11.885000385999774
36,0.0,11.838913735137112
37,0.0,11.787933428987913
38,0.0,11.73248778094188
39,0.0,11.672970099177974
40,0.0,11.609741667837056
41,0.0,11.54313448004558
42,0.0,11.473453740773152
43,0.0,11.400980156817354
44,0.0,11.32597203039569
45,0.0,11.248667171931288
46,0.0,11.169284646675749
47,0.0,11.088026368876626
48,0.0,11.00507855625284
49,0.0,10.92061305661474
50,0.0,10.83478855760228
51,0.0,10.74775168964527
52,0.0,10.659638031475197
53,0.0,10.570573026738089
54,0.0,10.480672819579127
55,0.0,10.390045016393742
56,0.0,10.2987893803313
57,0.0,10.206998464583421
58,0.0,10.114758189949384
59,0.0,10.022148371702428
60,0.0,9.929243200331257
61,0.0,9.836111680326326
62,0.0,9.74281803081169
63,0.0,9.649422051467695
64,0.0,9.555979456901923
65,0.0,9.462542182316952
66,0.0,9.369158663078565
67,0.0,9.275874090544107
68,0.0,9.182730646300001
69,0.0,9.089767716756342
70,0.0,8.99702208986605
71,0.0,8.90452813558636
72,0.0,8.812317971526454
73,0.0,8.720421615127862
74,0.0,8.62886712356078
75,0.0,8.537680722444293
76,0.0,8.446886924375349
77,0.0,8.356508638168748
78,0.0,8.266567269627444
79,0.0,8.177082814581809
80,0.0,8.08807394488042
81,0.0,7.999558087935952
82,0.0,7.911551500388327
83,0.0,7.824069336388561
84,0.0,7.737125710963028
85,0.0,7.650733758876754
86,0.0,7.5649056893718125
87,0.0,7.479652837131312
88,0.0,7.394985709777416
89,0.0,7.310914032191249
90,0.0,7.227446787915824
91,0.0,7.144592257875161
92,0.0,7.062358056626408
93,0.0,6.980751166346522
94,0.0,6.899777968715512
95,0.0,6.819444274885086
96,0.0,6.739755353654687
97,0.0,6.6607159580073585
98,0.0,6.582330350127336
99,0.0,6.504602325001542
100,0.0,6.427535232725063
101,0.0,6.351131999585959
102,0.0,6.275395148034477
103,0.0,6.20032681560258
