newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-0.1421860319226815,-0.026481902522502487,-0.10297256343032288,-0.1068416376407587,-0.04149739700996219,-3.1548721757140155,-2.8109126961280504,-3.323237764814706,158,0.1905
-0.11053294173225499,-0.023241569350842317,-0.14780315900202298,-0.26620776173966204,-0.1407854775162676,-0.8450334434373921,-0.6259923572577232,-0.2852096346038986,189,0.8318
-0.12499233098175634,-0.016338832395031956,-0.08056630139791035,-0.0738435357715648,-0.02172701261269204,-3.7064560465603567,-3.446089047899187,-7.225920383627527,168,0.1096
-0.14040484007233367,-0.014513183361177072,-0.10406772390645254,-0.09336099436204529,-0.03344230368732607,-3.8889083493396215,-3.6028593196264773,-5.816718933439868,156,0.1318
-0.11429622828794657,-0.016572148759916104,-0.1539999885946053,-0.307179326531076,-0.19613565382523662,-0.8975492456333535,-0.6572015280962826,-0.32067093463365454,81,0.8318
-0.10634163451757625,-0.009526397041001389,-0.06737910580919067,-0.0487114567189034,-0.009530337593620352,-3.0648639033953353,-2.9164905293875765,-10.044851728005844,54,0.0631
-0.07975175498078352,-0.009972919910931188,-0.046943768298405054,-0.03402426874901995,-0.0075573308184619615,-2.6881566826984695,-2.5472300097515883,-10.5302901418075,57,0.0525
-0.11203961520743948,-0.007983160308826384,-0.07479186597365368,-0.08373025968200228,-0.03366669976957174,-4.041078947702682,-3.752671609874179,-6.341791164891058,27,0.1096
-0.04780708757748566,-0.005756712152080665,-0.02913889715816482,-0.017844053796845626,-0.0010567936762558966,-1.3167963058405099,-1.2609709466511498,-9.722462894690995,232,0.0251
-0.15551719753028015,-0.020056787019269676,-0.10853806071472986,-0.09894802577265857,-0.03264307655811611,-3.577855360325814,-3.2458113857645654,-4.416938113898096,84,0.1585
-0.11950984786441961,-0.01207524634758936,-0.07811984876407244,-0.07949336774567435,-0.03199343625058763,-3.9571534110874222,-3.6850718942879004,-6.87388259130651,226,0.1096
-0.14018354655663642,-0.014976664303089606,-0.11716447512180554,-0.14523204589037034,-0.0731915156449583,-2.548589444207411,-2.187144473592194,-2.3050419803484634,116,0.2291
-0.13406479864308402,-0.023110530701177044,-0.12951822833204088,-0.17659497895523799,-0.09010689742563627,-1.638319132261007,-1.2398260915106192,-0.7410975958675312,180,0.3311
-0.040713756716724975,-0.005784589659783939,-0.024130943280161646,-0.02038436974620862,-0.008701996337420219,-1.151899652223405,-1.1039412465979883,-8.87391700606375,13,0.0209
-0.07980669856996343,-0.007412171530816177,-0.04930963727321176,-0.04033847296219763,-0.008630242582465029,-2.6135569989275726,-2.48690706121343,-10.808887148231506,149,0.0525
-0.14727207645301713,-0.020339138524553504,-0.09226112490007952,-0.07272235407120813,-0.017339219301934716,-3.8031600875960163,-3.512320656248839,-5.774966483113568,184,0.1318
-0.06861012766629215,-0.007959567069930834,-0.041600188065257095,-0.028252303247204433,-0.005041077273355639,-1.8894060778834725,-1.8069781332811048,-10.720031601572117,215,0.0363
-0.09983365468721533,-0.009023374839506076,-0.063985076340418,-0.046378249324116445,-0.014722157048487974,-3.0662873552106946,-2.9101205195261657,-10.13295652299634,139,0.0631
-0.12975517488412935,-0.00941687825259739,-0.09022821542432036,-0.08172831418246357,-0.031354968559066325,-3.8825498001143064,-3.620375574544803,-6.99551610539843,98,0.1096
-0.13994668337187732,-0.015109439888317389,-0.09107823735940183,-0.05669510092123796,-0.01383902671653341,-3.620112243205547,-3.40426266373036,-8.288744278050485,52,0.0912
-0.07084784205637229,-0.008136657189739938,-0.04367695106429187,-0.03119568987302771,-0.03479937997192367,-2.29000015455246,-2.185587761926769,-10.862114998944708,14,0.0437
-0.08207990023768967,-0.009514582816719746,-0.048285986776539794,-0.029822834273439288,-0.008396411646469792,-2.534524293252439,-2.4157928013658534,-10.877649266557368,36,0.0525
-0.15484603552468024,-0.017682470407920387,-0.11419150384416077,-0.10454362726727948,-0.04866990679727483,-3.7031865501297987,-3.384554563941893,-4.368814097844396,178,0.1585
-0.08029545246098185,-0.00515706077961483,-0.05067042369375274,-0.0449839562944558,-0.007392965448002568,-2.7337776933317866,-2.585785803851887,-10.646018100218248,77,0.0525
-0.022859249553689374,-0.001806966757793902,-0.0139602254198251,-0.011405638354842906,-0.004103714789343923,-0.768416744890161,-0.7302696470180815,-6.932468452096975,170,0.0145
-0.14001090768780072,-0.014952439984624186,-0.09203712312596103,-0.06829304621380455,-0.0185866143696515,-3.9061262191927417,-3.6333389902565196,-7.065840132947874,146,0.1096
-0.14573587638455035,-0.022100946557845967,-0.15534904433896501,-0.20268444045376083,-0.11039807331234254,-1.2855211259979686,-0.9339955056653927,-0.5454508820900498,224,0.3981
-0.12152745453207475,-0.027878385357013563,-0.1330514419811668,-0.19252815675734736,-0.09304975645695042,-1.0873729916157178,-0.9503560009627859,-0.5920976177422446,189,0.3981
-0.0492003177041024,-0.004443146560804765,-0.0313567817506675,-0.03027525944841722,-0.0023739560600961633,-1.4026206936605528,-1.3433775056208825,-9.556522640695578,87,0.0251
-0.11640431066788975,-0.024305414544547942,-0.15105619627232036,-0.2677671494757182,-0.14416094398138837,-0.8602657026873903,-0.6083145041096895,-0.27922570796324614,196,0.6918
-0.1583838136135839,-0.021443132328439005,-0.1116583609967655,-0.08906099059224028,-0.033333367757709016,-3.4701473878493263,-3.1518081337305635,-4.325065679840855,117,0.1585
-0.11932950632191919,-0.020590665233351735,-0.15579464864944273,-0.2790372513899621,-0.16469001216137158,-0.8977563140342452,-0.6381435792139082,-0.32160940069693866,63,0.6918
-0.09810860216449448,-0.008736115647978855,-0.06262320550130453,-0.03698998344923243,-0.002017883152700851,-2.5238882042675743,-2.4012069900921027,-11.07690152751228,112,0.0525
-0.040377300318014064,-0.004916043891338523,-0.023736270461873713,-0.026342674813401933,-0.0021523638071361414,-1.317124761367326,-1.253858205037018,-10.080541985659009,74,0.0251
-0.12268611175689655,-0.010093192965113254,-0.08219609961893479,-0.06989115790804262,-0.027856716012538703,-3.730305767672563,-3.496684638086267,-8.09905674257474,98,0.0912
-0.11060276854742894,-0.013833129307856847,-0.0683237460653452,-0.05014464186618467,-0.013847662608935048,-3.3837308243437727,-3.2022280564982166,-9.33700753324906,166,0.0759
-0.0567037493947982,-0.007631675232983855,-0.03175679565020688,-0.018148348414067404,-0.004670889782975779,-1.982159126394837,-1.8851502844958525,-10.702154066204901,120,0.0363
-0.08176391617228282,-0.005336503381293419,-0.05494504362734659,-0.03766453855688779,-0.005773577294104645,-2.2549578981859613,-2.1608930133809334,-10.950838397177373,123,0.0437
-0.05964441635835629,-0.005801864152651935,-0.035199908779440604,-0.023389883278060047,-0.006912173547837163,-2.0219527777273543,-1.9293544544412895,-10.515474477062009,203,0.0363
-0.1587777138832846,-0.014372929837954697,-0.11856036436480344,-0.11339516439774795,-0.0429718708750619,-3.6752852160005345,-3.3466797749252746,-4.3617051713162995,186,0.1585
-0.1375672155614881,-0.011178224306449385,-0.0966480875257957,-0.09617530889133423,-0.0463550247582282,-3.810456012795869,-3.5151361678683277,-5.890243634310814,201,0.1318
-0.04546216071200252,-0.0038570761186026764,-0.027718797300538486,-0.027031847559668993,-0.0026340962640701193,-1.3642715643618926,-1.3030076483547117,-9.82527694416684,118,0.0251
-0.018102953023000887,-0.0016985766172942561,-0.010367498950694021,-0.0067617809719620345,-0.0006948192192019725,-0.5880508309417558,-0.5575868636372185,-6.055698874308879,33,0.0120
-0.09568098042278086,-0.010153157220697479,-0.058065631507014485,-0.040728986839045224,-0.024512604754916244,-3.0003344706453925,-2.835293578595985,-10.338933413573507,96,0.0631
-0.030405439793676728,-0.004050725138471691,-0.01733111211692456,-0.011131876650345943,-0.0012121111622944885,-0.8916708340604601,-0.852105409583164,-7.91813640544137,141,0.0174
-0.1560006830659545,-0.01752137320791505,-0.13073414264761565,-0.14256483362659672,-0.08400112068487083,-2.801922957252592,-2.4295677937850026,-2.3979738501583348,101,0.2291
-0.13984017246536376,-0.02312607804808936,-0.12487619342884576,-0.16106582168381334,-0.07528406598186656,-2.1614774830305543,-1.7917396723154217,-1.5369463248740665,23,0.2754
-0.09463461296315899,-0.008327539484986417,-0.06140103987699856,-0.045985710364188234,-0.009383854962252495,-2.5909664960867542,-2.460915888221426,-10.947662029382963,66,0.0525
-0.12980282561257978,-0.01817140608788232,-0.09987399315418732,-0.1175940682881375,-0.040896206306581626,-3.034192347386156,-2.691134703164235,-3.5995534625307872,137,0.1905
-0.08871668670391468,-0.007077602299098448,-0.05571474791199701,-0.05034624304515111,-0.01026281006608158,-2.8219661421345204,-2.832971061782216,-10.453351933767289,67,0.0525
-0.10917323517414253,-0.022147022522586296,-0.1241684108366898,-0.2318234760616296,-0.12708130154477987,-1.1617367267534275,-0.8018039226088203,-0.36147842708696226,30,0.4786
-0.0823676929628459,-0.007675417117863426,-0.05048566770558752,-0.03896507754276529,-0.01150149631460112,-2.774095982458723,-2.636526607354828,-10.438822868952867,73,0.0525
-0.1040936242549514,-0.026221419751412525,-0.1420742390061415,-0.23399805019103836,-0.1501393910261224,-0.8563598265896517,-0.6020282641931654,-0.2692804948326312,118,0.6918
-0.1111112625198449,-0.013462050949051257,-0.06686690381824775,-0.04878816776421166,-0.012883305150605099,-3.381854079159034,-3.1924790404033088,-9.321359472605305,153,0.0759
-0.12795384516401728,-0.015083369808717545,-0.08322497442051384,-0.07623939252842227,-0.020588272359129873,-3.8231201994535953,-3.5741306152489725,-6.920943217918683,206,0.1096
-0.016253362093810196,-0.001983091081580077,-0.00939926673398478,-0.008200651479797068,-0.016404123056658004,-0.4997900800529491,-0.47506569942305343,-5.116266437877694,132,0.0100
-0.0755543494856764,-0.006499691314708005,-0.0477545254966493,-0.03767319638083402,-0.009820575391081913,-2.2648283941794816,-2.156665497800858,-10.909852447928014,128,0.0437
-0.13846737889310026,-0.023691212626447786,-0.14623365574082958,-0.21151149180003856,-0.13088948780098647,-1.313029128462262,-0.9379198627944542,-0.44430682736358373,90,0.3981
-0.1359128498924964,-0.024771373597921437,-0.13327449117030846,-0.19651834608926955,-0.09307095854752134,-1.7142407958372088,-1.3340931545709707,-0.8699147813920377,51,0.3311
-0.11257973530687208,-0.027502770014678175,-0.14696994379897013,-0.2280949479797606,-0.1424856153939216,-0.8671083644987305,-0.6164418547468876,-0.3283157627538209,60,0.6918
-0.12412077585232124,-0.01614762539110778,-0.07777526401544883,-0.06021453188017019,-0.014628025297191125,-3.47314973981596,-3.2568361813771554,-8.73029039439205,41,0.0912
-0.12139825518187113,-0.017519604073731567,-0.08025332857461462,-0.09121085107841771,-0.03465205189260191,-3.9913990381452886,-3.669892937811323,-5.307327183977489,234,0.1318
-0.05647384195725333,-0.00834423811505036,-0.03159979564010433,-0.01872560769232155,-0.01708040424506867,-1.8557196327223504,-1.7699168331431374,-10.940614968342503,231,0.0363
-0.11964498748299807,-0.03155698465022908,-0.11662940357883604,-0.1620286497164884,-0.10353111420163226,-1.5228708866109755,-1.1299529145162448,-0.7887365444158102,97,0.3311
-0.051452409778313904,-0.005979595149509267,-0.030558317532968688,-0.016366745063311847,0.0005178748476132985,-1.3544140130960345,-1.2959354525674898,-9.844858326692693,56,0.0251
-0.10313326829187265,-0.010736643837582768,-0.0648854682825635,-0.05150714146212766,-0.010858241293859023,-3.435469371305234,-3.250351696263014,-9.184017313406317,157,0.0759
-0.05585007754208551,-0.006311837372609871,-0.03358918802215878,-0.026363372049191765,-0.019600278550966944,-1.652547974466698,-1.575521114718517,-10.256311172911577,244,0.0302
-0.11682794500822628,-0.025724664656480604,-0.13418175412550004,-0.19436245313008252,-0.10424455973788696,-1.0044610053410248,-0.6677772553456279,-0.3728566025840211,165,0.4786
-0.11624132330490317,-0.015149167317127885,-0.07377045922788862,-0.0725586755328403,-0.026234872156454262,-3.8913221367738604,-3.6390007826624813,-6.915883489189754,239,0.1096
-0.1585403877443834,-0.026878156345260924,-0.11534244813778376,-0.09949453339763975,-0.03465977419791759,-3.1830565199511383,-2.84713754279992,-3.398441676629927,61,0.1905
-0.15433616617422233,-0.02112845163917927,-0.12179584825200421,-0.11051614281375684,-0.048873209580972375,-3.1413953471214633,-2.7852850590430505,-3.267657806654803,192,0.1905
-0.12595793346021195,-0.015361490458392182,-0.08790056977349399,-0.09244267479534164,-0.04616291172895507,-3.8631118398490174,-3.555099161727245,-5.622758955816762,48,0.1318
-0.13994901514043348,-0.028956514712815174,-0.14590495440239942,-0.18500736316771924,-0.10461139578588827,-1.2091824571613352,-0.8535337207474262,-0.43766641747320423,93,0.3981
-0.14168457514811902,-0.019115173033626632,-0.12061875075789831,-0.14846240862307092,-0.07603417572548662,-2.818876761720094,-2.4320571088686003,-2.18282206653943,90,0.2291
-0.05345914522459772,-0.003881447025770252,-0.03160680399980799,-0.030026949992956322,-0.005710266910427874,-2.086849550186349,-1.9826576400713858,-10.695423453027537,103,0.0363
-0.08445308659811462,-0.00693066478418239,-0.052804029043421706,-0.042008536148330895,-0.009471997791887928,-2.6128863626796597,-2.4815163901626325,-10.812386504379417,132,0.0525
-0.14187455412843875,-0.015408998777587671,-0.09654269346154662,-0.08305734709925819,-0.028958222329094615,-3.8046630442873353,-3.5057225558937986,-5.3535240566697695,134,0.1318
-0.15121446939173813,-0.02239142424835326,-0.10614072731775107,-0.09289330761652026,-0.0353550789003142,-3.555234793384278,-3.237874257784079,-4.503002943312658,238,0.1585
-0.1649343740986661,-0.021560819053847526,-0.14730937185197635,-0.17019968446254258,-0.07269980503521535,-2.0870394191778843,-1.7110505905938074,-1.2977616947264434,70,0.2754
-0.044793906434292693,-0.002633021551321945,-0.02932918831526834,-0.029696342488366705,-0.01639155109794253,-1.414707137722409,-1.355877534209964,-9.518249194172197,147,0.0251
-0.03711278015696534,-0.00363614707874774,-0.024113329778725538,-0.017645496628000374,-0.040557621995364466,-0.8103314431374844,-0.7782277324474011,-6.757672077368647,238,0.0145
-0.14197701292038753,-0.013321370875304288,-0.09716554542809737,-0.08143889070964411,-0.024263601442246683,-3.891430783274516,-3.6242781206855965,-6.913602315277408,66,0.1096
-0.05840324156732159,-0.0036066041014603764,-0.03825521476336395,-0.026535519481377157,-0.0034462409423595746,-1.7343445437792273,-1.6626248511481092,-10.218285280015893,97,0.0302
-0.04221581492437932,-0.004093314049897496,-0.025607559607486285,-0.028394330968887268,-0.007587912349521498,-1.3586819215576464,-1.2990852351325581,-9.71286820329502,179,0.0251
-0.027218558348966134,-0.005129676597485528,-0.013844829650677723,-0.0076837973521189,0.00020030069375220782,-0.8984438700543066,-0.8573242338856504,-8.228575762612323,50,0.0174
-0.02703595273753421,-0.0015899831130328987,-0.017728024650992005,-0.026588318759615346,-0.03882606599692344,-0.8818399763144115,-0.8439163801168862,-6.630425704698333,120,0.0145
-0.12676493257418212,-0.01808287906157642,-0.08358229276662822,-0.0821828787063893,-0.030322574631590694,-3.87677775697535,-3.5839204450886393,-5.705656530631004,239,0.1318
-0.021211228149893062,-0.0027603202200211043,-0.013005446725223864,-0.10846282225165318,-0.018179835977178392,-0.4769780356035528,-0.4559553046137935,-5.233036016818572,196,0.0100
-0.10796043026047056,-0.02807512096416294,-0.13094895394619996,-0.20003940977566972,-0.0996384576907967,-0.9514854144302136,-0.638522459589338,-0.3562207095984006,124,0.5754
-0.06569571256927673,-0.006443127611994104,-0.040279268737300394,-0.02823044023728104,-0.0009792620318562766,-1.9061435541498581,-1.8178151014068367,-10.82587077321363,122,0.0363
-0.10124118030604685,-0.03213326661285194,-0.13500471228144845,-0.24579249205625192,-0.14325373927756008,-0.8377429950494251,-0.5688326432687357,-0.32618344827631496,113,0.6918
-0.11382424536539244,-0.009212052302504032,-0.07643600928039218,-0.07034096287357397,-0.02009700402035771,-3.691421864545915,-3.479211911341003,-8.16916458999304,174,0.0912
-0.07673521442799482,-0.010965124356302725,-0.043609847208999734,-0.026937482462042344,-0.0003250502416310984,-2.1250034399901923,-2.028081490892504,-11.413151812099592,62,0.0437
-0.09590170162907621,-0.011864144875860879,-0.05970044289736744,-0.049486999292187334,-0.02755495896077374,-3.427728878167292,-3.2354483629512605,-9.254176905288778,57,0.0759
-0.18213599252715287,-0.01888089970947811,-0.1534217678322924,-0.1440467402593491,-0.06842265896541726,-2.766037099542235,-2.4225971474829207,-2.2611546802265785,215,0.2291
-0.10761975276945496,-0.018961229338500682,-0.1349520568051461,-0.22425141003307486,-0.12966244029484358,-1.067525683548746,-0.7383448395840926,-0.3550961673529292,140,0.4786
-0.152840909140138,-0.01877154850874392,-0.0996329802018687,-0.06070462273114756,-0.019848615210894018,-3.805225846205904,-3.5470575257587775,-7.02956683608183,52,0.1096
-0.025882076405800543,-0.0012891309038572457,-0.01786760928662482,-0.012114691513463333,-0.01647853248909719,-0.6324060037163418,-0.6064432386793307,-6.218971470882369,222,0.0120
-0.022433068843323422,-0.0017603634920944366,-0.014738784415005831,-0.01429015844302757,-0.01644005417876605,-0.5262144720311478,-0.5023102291696121,-5.22212633112982,121,0.0100
-0.04306416496575455,-0.004075983385565725,-0.025828694584919255,-0.018868142421599777,-0.014141444927747389,-1.456705082423876,-1.3906947804201124,-9.369950013435776,29,0.0251
-0.13956718522428646,-0.021234204772215104,-0.12962166434362973,-0.16676648097069668,-0.08152983983649419,-2.14785345538997,-1.7620798661768569,-1.4816722305198524,118,0.2754
-0.05612503274908552,-0.002554602087396185,-0.03703506969387674,-0.03186264874055176,-0.006592270538541284,-1.7501725230038352,-1.6716696724186872,-10.297158124573679,71,0.0302
-0.04936915293432418,-0.005146253683787741,-0.031584592344556045,-0.01477994105874921,-0.003089832664567407,-1.0754158819380604,-1.0299104674767494,-9.217571146735054,190,0.0209
-0.041983874453899,-0.0036560835214134112,-0.02607693550421941,-0.019511743740165826,-0.01175240210889655,-1.1700409761119845,-1.122579908810316,-8.709359832215416,219,0.0209
-0.03425909442086089,-0.0014774869531609975,-0.021698286285859417,-0.020366672095468594,-0.007613533680473399,-1.1803316377051067,-1.124232271438017,-8.943907279177452,234,0.0209
-0.026242936859453756,-0.0018541706086930905,-0.015956160200616465,-0.020431427008092508,-0.012342472197727987,-1.0622739024121068,-1.0117116123039371,-7.5450986263808755,79,0.0174
-0.12894093671715623,-0.023486560504736298,-0.12883587309388592,-0.15241586573778304,-0.07947670985966418,-1.5645301800458278,-1.196403684517524,-0.790190483971757,134,0.3311
-0.13680635579703804,-0.019828790289894295,-0.10197037339579673,-0.12428776483211876,-0.06776917132460031,-3.2195528560081867,-2.857854060399462,-3.1172404655090613,220,0.1905
-0.15916441482316962,-0.02115459855272198,-0.11802369180895717,-0.11547667535613372,-0.042317373753628505,-3.101433367353025,-2.7413043942516584,-3.685660431488823,21,0.1905
-0.13354278301179257,-0.024260294656622623,-0.13318149779165103,-0.18413341219707358,-0.09285802212727343,-1.6356610312364668,-1.251645618865337,-0.9678554406649894,194,0.3311
-0.11529386202670153,-0.028866175964149067,-0.15302852286833482,-0.2545146886316297,-0.13865646612549024,-0.9197440026354402,-0.644931475190012,-0.29584502586748745,102,0.6918
-0.10408095707602649,-0.008377808937581634,-0.07040910857946475,-0.06340188156176674,-0.016820278988198767,-3.41955421032563,-3.2293591915656625,-9.24241899515066,242,0.0759
-0.13380838434954656,-0.013343281893232101,-0.08867834193851552,-0.06741192121008972,-0.01731334130043484,-3.6765238980499593,-3.4774997562039087,-8.211675794703602,223,0.0912
-0.02901126151170711,-0.0034581354959480936,-0.017279535846088483,-0.008977959355827018,-0.002559995730004303,-0.741116301404169,-0.7071508046561513,-7.208529141899395,3,0.0145
-0.061962010516697974,-0.006188926639250193,-0.03923562457993635,-0.031779538078344,-0.012042702137368189,-1.7748748765149203,-1.7018477109895982,-9.910719192665727,22,0.0302
-0.10761003274368407,-0.025644831750267605,-0.14922213131432835,-0.26943848722283054,-0.16478087647890027,-0.8325098289581836,-0.6182250582001053,-0.29531151180150556,174,0.8318
-0.1515041077086382,-0.01579644113668393,-0.13958304615107675,-0.16731712984754918,-0.07124615543177099,-2.026429192473577,-1.6369650828459184,-1.418002098614093,94,0.2754
-0.018395751039437448,-0.0024498139425566156,-0.011243628350107145,-0.005110389925533316,0.0002547448556099358,-0.45931172227642647,-0.43706745228537897,-5.125584151212495,180,0.0100
