newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-4.236792010093989,-4.55545007879871,-4.137047846800333,-4.471369779824338,-4.510015391455366,-4.542386758184356,-13.57084665593796,-12.212649209540686,-16.174125684834483,158,0.1905
-3.51066071710565,-4.06027210086872,-3.4788497900831135,-3.934629269567123,-4.291412536901906,-4.21206569720088,-7.071381422580568,-5.248199601289322,-4.134399586957083,189,0.8318
-4.480191726713991,-4.61258580492834,-4.3852189518376745,-4.566450199802205,-4.5488020936176845,-4.620519184368478,-16.262609514446897,-15.3676436157465,-28.999677064022283,168,0.1096
-4.347480471230922,-4.555904934935122,-4.262714257485494,-4.5051611660091835,-4.566767639081151,-4.571227760234559,-15.475679639676732,-14.430523470890963,-24.895732221017642,156,0.1318
-3.5248990046699733,-4.1024030635458955,-3.4864758198831076,-3.9743901705094395,-4.290643235354634,-4.243682453254208,-7.0841724604786895,-5.231632225275597,-4.150301427349692,81,0.8318
-4.632449357436973,-4.724327753952591,-4.5537423092365845,-4.681837126984388,-4.6503502239171866,-4.7093893450875655,-14.487124921235566,-13.94008894839344,-36.839109469271634,54,0.0631
-4.654147353495572,-4.691595446232459,-4.594141041608598,-4.666562796147211,-4.671172271919148,-4.722115006282445,-13.697173804237774,-13.241168334525184,-37.6964398387386,57,0.0525
-4.50894482668202,-4.629433423672316,-4.408035020470757,-4.575285822312708,-4.584814272020056,-4.622618443818108,-16.11243602765762,-15.216331941609628,-29.00361987891308,27,0.1096
-4.721039762761946,-4.762774357294863,-4.684289496165537,-4.7442544485967035,-4.735261406743019,-4.809712151148117,-9.490499597908096,-10.045017123358829,-31.68777880277482,232,0.0251
-4.3599003158127525,-4.603392906991916,-4.256508500369647,-4.524721087424437,-4.502691654334804,-4.58287157883698,-15.089633827973337,-13.901429852255088,-20.512184896277855,84,0.1585
-4.480876290773533,-4.621475005765928,-4.389115080228205,-4.569463841123492,-4.569295221744445,-4.621148559808491,-16.43753324899374,-15.47995797666932,-27.780946526086076,226,0.1096
-4.165740925167189,-4.522794149804185,-4.05530572147448,-4.420892007088287,-4.471577459674456,-4.513554363367674,-11.518508559292352,-10.036118280940148,-12.032318997738322,116,0.2291
-3.8902077123101098,-4.347904085624188,-3.8113970672126336,-4.252032422838598,-4.385200768308302,-4.436048153678254,-9.00672825316604,-7.301098699928695,-7.004328956094786,180,0.3311
-4.73570380098555,-4.759781876348516,-4.706174059245903,-4.746719656504845,-4.73750681360517,-4.776011401686157,-9.02883119061642,-8.84478464563827,-28.627082605336064,13,0.0209
-4.614491675196414,-4.694449773390089,-4.555583293075991,-4.6686988778989535,-4.639529486039076,-4.751915478817954,-14.125008648043137,-13.660957313984117,-35.88478413796316,149,0.0525
-4.375599794777394,-4.620575019223478,-4.286228537867703,-4.556371481559841,-4.601057179287126,-4.607270092888698,-15.67759472975705,-14.750966831703305,-24.494904597526833,184,0.1318
-4.672982646432557,-4.73292486948536,-4.627295063584433,-4.711019044697467,-4.6846700492628965,-4.7353700882533944,-11.633752508162779,-11.312963895624758,-35.439774020996566,215,0.0363
-4.6269910306695285,-4.717313053990346,-4.556714296362324,-4.679002851540666,-4.669163868401883,-4.690976664554795,-14.470814735689238,-13.91065335847286,-37.05591382427248,139,0.0631
-4.472201316766429,-4.636193302540348,-4.377070829602736,-4.579030930670002,-4.6001239854321,-4.6148239720978985,-16.192970372239742,-15.281364252430315,-28.145572553269762,98,0.1096
-4.590190324031665,-4.675527152984247,-4.490778647618476,-4.626404788411263,-4.62243251685132,-4.639442027484158,-15.823734025031953,-15.052494104597859,-32.578315951017785,52,0.0912
-4.679189939253833,-4.7220207684814435,-4.623250846841264,-4.697267351597859,-4.665273042452463,-4.878924990231842,-12.650103932316858,-12.25910406860114,-36.62841212285416,14,0.0437
-4.667736841069207,-4.728676702775362,-4.600528462185153,-4.695407610806737,-4.643501575300677,-5.006383154234151,-13.51621114788863,-13.079082580936324,-37.4619071566468,36,0.0525
-4.326109328868376,-4.567383067396467,-4.221594833417249,-4.49455983339993,-4.537461438195603,-4.5536619460089165,-14.835618354718715,-13.635257827635904,-20.30168613735306,178,0.1585
-4.65026081321859,-4.722592972951471,-4.586250771452337,-4.68991620314775,-4.6675237703888195,-4.734953091735265,-13.329511804290211,-12.865071524305064,-38.72025723930197,77,0.0525
-4.766956805162996,-4.780828652768008,-4.742454045844866,-4.768757181187546,-4.75191096885748,-4.780703536534201,-7.6230601653003704,-7.503927521803184,-22.311905348379618,170,0.0145
-4.501233216638218,-4.646725656284428,-4.393460933353829,-4.586958824941042,-4.5860471917715016,-4.625300829267737,-16.123044122837698,-15.40001910682359,-28.76230954644938,146,0.1096
-3.8120140387921237,-4.33507151997364,-3.7385353632915113,-4.225195777910876,-4.313066352192384,-4.3916874868412625,-8.101402214063363,-6.350225612734536,-5.930726623257808,224,0.3981
-3.858719830393626,-4.337208188861281,-3.787607851765167,-4.222198233732947,-4.3831140080639726,-4.3802020289462815,-7.868326755388031,-6.152787445869413,-5.637685384250574,189,0.3981
-4.692603988975266,-4.744568742631659,-4.663226752478457,-4.731343254727489,-4.7136498880313695,-4.8557796596684994,-9.782460129651293,-9.55399184375611,-30.693119450300646,87,0.0251
-3.5715261014304973,-4.170060004153,-3.5262848830562707,-4.0273267387956855,-4.2167733407134556,-4.2369586740327145,-7.144441400605265,-5.221610283226291,-4.173097876363182,196,0.6918
-4.326689235510641,-4.55608057692552,-4.2305036281149535,-4.494017950149228,-4.537782383964558,-4.572375660992751,-15.052610730418387,-13.799363409286912,-19.973821420541515,117,0.1585
-3.555292728281561,-4.0889045317637445,-3.522161302732218,-3.9644674494204937,-4.28714247111739,-4.232626845517014,-7.141345650351311,-5.270535880609995,-4.232837119447904,63,0.6918
-4.695267448624334,-4.7478316057955245,-4.6171504271762736,-4.707850274822586,-4.659680411385656,-4.748996414116623,-13.915472914668321,-13.449632860080639,-36.782302512491015,112,0.0525
-4.7453263023929315,-4.7659603037757,-4.7036548896424755,-4.7450325293633355,-4.724717844732092,-4.742580625824355,-9.612781902267411,-9.39040677719614,-32.98221430242114,74,0.0251
-4.527626482516824,-4.666452935643688,-4.439765792076875,-4.613819394811014,-4.627472589028744,-4.6305974821329725,-15.865697488605164,-15.09651473903903,-32.1180592010572,98,0.0912
-4.568183543906386,-4.6654393495341875,-4.494361587057882,-4.631593234318786,-4.660756700163455,-4.668007137426857,-16.028141809512345,-15.34913443580189,-33.64101585644588,166,0.0759
-4.720203076065202,-4.746991414102612,-4.666150245302666,-4.721235702054282,-4.691422828149237,-4.744524943529523,-11.617656516345532,-13.018783523036866,-35.112745330748886,120,0.0363
-4.6550440107831275,-4.726124511353941,-4.5994203801345535,-4.6990255075359,-4.6639773262724145,-4.717379306684573,-12.73252305027899,-12.324963326633965,-36.76821450430275,123,0.0437
-4.6889056236086954,-4.726253472005925,-4.641976473901361,-4.7067262752806895,-4.7046293517121756,-4.736195196768638,-12.520733912859342,-12.662065224004072,-35.885538749396524,203,0.0363
-4.326030849807804,-4.572621040882825,-4.228210948391808,-4.499456611313264,-4.516658760849138,-4.559150421965555,-14.922015451521219,-13.683698487623122,-20.535499726228558,186,0.1585
-4.397683623496997,-4.610062611552856,-4.300186687733677,-4.546396959454128,-4.569228489800449,-4.5880455378874965,-15.932042727788566,-14.812233735877985,-24.171923002625945,201,0.1318
-4.718315067635985,-4.744900425832215,-4.6837730943206415,-4.73079875399461,-4.717926715503367,-4.787623865293314,-9.781800445791118,-9.55489173180225,-30.642748983603397,118,0.0251
-4.740339699806247,-4.757677230198507,-4.726517369868976,-4.752080592995341,-4.740512761490027,-4.927948741307114,-7.116230126133626,-7.007204960332108,-19.723993339517456,33,0.0120
