newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-0.09974416329365585,-0.4184022319983769,-0.33432193302400426,-0.3729675446550323,-0.4053389113840222,-9.433798809137624,-8.075601362740352,-12.037077838034147,158,0.1905
-0.03181092702253649,-0.5814223107856061,-0.45577947948400976,-0.8125627468187929,-0.7332159071177667,-3.5925316324974528,-1.7693498112062092,-0.6555497968739691,189,0.8318
-0.09497277487631546,-0.22736685309066554,-0.18123124796453072,-0.16358314178000988,-0.23530023253080262,-11.87739056260922,-10.982424663908827,-24.614458112184607,168,0.1096
-0.08476621374542724,-0.2931906774496297,-0.2424469085236902,-0.3040533815956581,-0.30851350274906547,-11.212965382191237,-10.167809213405468,-20.63301796353215,156,0.1318
-0.038423184786865655,-0.615927243662788,-0.4879143506263323,-0.8041674154715256,-0.7572066333711005,-3.597696640595582,-1.7451564053924886,-0.6638256074665849,81,0.8318
-0.0787070482003883,-0.17058544471600676,-0.1280948177478037,-0.09660791468060227,-0.15564703585098097,-9.933382611998983,-9.386346639156855,-32.28536716003505,54,0.0631
-0.06000631188697342,-0.09745440462386058,-0.07242175453861227,-0.07703123031054937,-0.12797396467384678,-9.103032762629178,-8.647027292916588,-33.10229879713,57,0.0525
-0.10090980621126415,-0.22139840320156018,-0.16725080184195176,-0.17677925154929874,-0.21458342334735103,-11.704401007186863,-10.808296921138874,-24.595584858442326,27,0.1096
-0.036750266596410446,-0.07848486112932758,-0.05996495243116863,-0.05097191057748365,-0.12542265498258087,-4.8062101017425585,-5.360727627193291,-27.003489306609286,232,0.0251
-0.1033918154431053,-0.34688440662226727,-0.2682125870547886,-0.24618315396515525,-0.32636307846733215,-10.833125327603687,-9.644921351885442,-16.255676395908203,84,0.1585
-0.09176121054532775,-0.23235992553772453,-0.18034876089528643,-0.1801801415162419,-0.2320334795802871,-12.048418168765537,-11.090842896441115,-23.39183144585787,226,0.1096
-0.11043520369270937,-0.4674884283297057,-0.36558628561380696,-0.4162717381999771,-0.45824864189319453,-7.463202837817872,-5.980812559465668,-7.977013276263842,116,0.2291
-0.0788106450974759,-0.5365070184115548,-0.4406353556259637,-0.5738037010956675,-0.6246510864656196,-5.195331185953406,-3.4897016327160615,-3.192931888882153,180,0.3311
-0.029529741739647272,-0.05360781710261306,-0.04054559725894136,-0.03133275435926639,-0.06983734244025411,-4.322657131370518,-4.1386105863923675,-23.920908546090168,13,0.0209
-0.05890838212042347,-0.13886648031409804,-0.11311558482296274,-0.08394619296308518,-0.1963321857419618,-9.569425354967146,-9.105374020908124,-31.32920084488717,149,0.0525
-0.0893712569096918,-0.3343464813557751,-0.2701429436921385,-0.314828641419424,-0.32104155502099546,-11.391366191889349,-10.464738293835603,-20.20867605965913,184,0.1318
-0.04568758284812353,-0.10562980590092613,-0.08372398111303472,-0.0573749856784636,-0.10807502466896081,-7.006457444578346,-6.685668832040325,-30.81247895741214,215,0.0363
-0.07027673430720521,-0.16059875762802175,-0.12228855517834261,-0.11244957203955842,-0.1342623681924711,-9.914100439326917,-9.353939062110536,-32.49919952791016,139,0.0631
-0.09513048716369239,-0.2591224729376122,-0.20196010106726625,-0.22305315582936397,-0.2377531424951624,-11.815899542637005,-10.904293422827578,-23.768501723667026,98,0.1096
-0.09941167641318971,-0.18474850536577192,-0.13562614079278773,-0.13165386923284383,-0.14866337986568143,-11.332955377413478,-10.561715456979382,-28.08753730339931,52,0.0912
-0.05593909241256846,-0.09876992164017959,-0.07401650475659567,-0.04202219561119855,-0.25567414339057726,-8.026853085475594,-7.635853221759875,-32.00516127601289,14,0.0437
-0.06720837888405434,-0.12814824059020907,-0.09487914862158497,-0.042973113115524715,-0.4058546920489987,-8.915682685703478,-8.478554118751171,-32.86137869446164,36,0.0525
-0.10451449545112647,-0.3457882339792176,-0.27296499998268103,-0.31586660477835365,-0.3320671125916676,-10.614023521301467,-9.413662994218658,-16.080091303935813,178,0.1585
-0.06401004176625301,-0.13634220149913498,-0.10366543169541358,-0.08127299893648228,-0.14870232028292774,-8.743261032837875,-8.278820752852726,-34.13400646784964,77,0.0525
-0.024502759318131728,-0.03837460692314417,-0.026303135342681812,-0.00945692301261432,-0.03824949068933577,-2.880606119455506,-2.7614734759583177,-17.56945130253475,170,0.0145
-0.10777228328438898,-0.2532647229305994,-0.19349789158721295,-0.19258625841767235,-0.23183989591390897,-11.729583189483867,-11.006558173469761,-24.36884861309555,146,0.1096
-0.07347867550061193,-0.5965361566821283,-0.4866604146193647,-0.5745309889008723,-0.6531521235497508,-4.362866850771852,-2.6116902494430243,-2.1921912599662967,224,0.3981
-0.07111197862845937,-0.5496003370961139,-0.434590381967781,-0.5955061562988062,-0.592594177181116,-4.080718903622865,-2.365179594104247,-1.850077532485408,189,0.3981
-0.029377236496810195,-0.08134199015320222,-0.06811650224903243,-0.05042313555291353,-0.19255290719004375,-5.1192333771728356,-4.890765091277657,-26.029892697822188,87,0.0251
-0.04524121837422676,-0.64377512109673,-0.5010418557394151,-0.6904884576571859,-0.7106737909764446,-3.6181565175489947,-1.6953254001700209,-0.6468129933069119,196,0.6918
-0.09618560739568915,-0.325576948810567,-0.26351432203427433,-0.3072787558496048,-0.34187203287779705,-10.822107102303432,-9.568859781171959,-15.743317792426565,117,0.1585
-0.03313142554934247,-0.5667432290315263,-0.4423061466882753,-0.7649811683851714,-0.7104655427847969,-3.619184347619092,-1.7483745778777773,-0.710675816715686,63,0.6918
-0.07811702144806155,-0.13068117861925144,-0.09069984764631214,-0.04252998420938373,-0.13184598694034977,-9.29832248749205,-8.832482432904364,-32.165152085314745,112,0.0525
-0.041671412750454474,-0.062305414133223415,-0.041377639720858755,-0.021062955089616465,-0.03892573618187767,-4.909127012624933,-4.686751887553665,-28.278559412778662,74,0.0251
-0.08786069043994986,-0.22668714356681388,-0.17405360273414064,-0.18770679695186998,-0.19083169005609826,-11.425931696528291,-10.656748946962153,-27.67829340898033,98,0.0912
-0.07382195684850397,-0.17107776247630505,-0.13723164726090364,-0.16639511310557287,-0.17364555036897392,-11.53378022245446,-10.854772848744009,-29.146654269388,166,0.0759
-0.05405283076253553,-0.08084116879994696,-0.055085456751616184,-0.025272582846571183,-0.07837469822685747,-6.951506271042866,-8.352633277734201,-30.446595085446226,120,0.0363
-0.05562363064857276,-0.12670413121938734,-0.09960512740134689,-0.06455694613786073,-0.11795892655001938,-8.133102670144437,-7.725542946499408,-32.16879412416819,123,0.0437
-0.046929149707333306,-0.08427699810456271,-0.0647498013793277,-0.06265287781081443,-0.09421872286727748,-7.878757438957979,-8.020088750102712,-31.243562275495158,203,0.0363
-0.09781990141599385,-0.3444100924910168,-0.27124566292145624,-0.2884478124573287,-0.33093947357374626,-10.693804503129412,-9.455487539231315,-16.30728877783675,186,0.1585
-0.09749693576331848,-0.3098759238191776,-0.24621027172045007,-0.26904180206677086,-0.2878588501538195,-11.63185604005489,-10.512047048144307,-19.871736314892267,201,0.1318
-0.0345419733153445,-0.06112733151157368,-0.04702565967396848,-0.034153621182725885,-0.1038507709726728,-5.098027351470478,-4.871118637481608,-25.958975889282755,118,0.0251
-0.013822329937270702,-0.031159860329530997,-0.025563223126365407,-0.013995391621052384,-0.2014313714381392,-2.3897127562646503,-2.2806875904631307,-14.99747596964848,33,0.0120
-0.08170038090687337,-0.13920473401734895,-0.10042537730407772,-0.07750127820729295,-0.1139408724404826,-10.084246826025462,-10.788520822737237,-31.651329030820982,96,0.0631
-0.025412379516405757,-0.042925706833476546,-0.031733060524119935,-0.029267566937538802,-0.06065429730215752,-3.4398021581612928,-3.2891592907147507,-21.42992469928798,141,0.0174
-0.08658482758626251,-0.47252702847370825,-0.38460346480599494,-0.44111378157378706,-0.4893635889698652,-7.764054466345129,-6.231745933626678,-8.54074244308285,101,0.2291
-0.09090610402135112,-0.42897428916017877,-0.334836797089248,-0.4421546728895136,-0.45973246887857383,-6.411086437523812,-4.794325909117519,-5.362829057780612,23,0.2754
-0.059909437903688155,-0.12132863202660109,-0.09311041105186517,-0.06953433419652437,-0.1502248034866469,-9.389663501113318,-9.186369742733747,-32.18009099541513,66,0.0525
-0.11580757044692512,-0.39321597816712195,-0.29889189706121116,-0.27395048882256284,-0.357367638820988,-9.26239469739887,-7.862844533805571,-12.46815931785852,137,0.1905
-0.062251567691237686,-0.1429099587606625,-0.11064639749909663,-0.07064773655626812,-0.15299846162626612,-8.81708455806269,-8.35073710869207,-33.71350204606932,67,0.0525
-0.05960694634117967,-0.5693809344417795,-0.44902935722817394,-0.6855839447460205,-0.6366583730434934,-3.7051127628574623,-1.884088196744915,-1.2089732539857434,30,0.4786
-0.07453908127941869,-0.127822213002809,-0.09060854675480719,-0.0651084614462634,-0.12006034650992893,-9.091881093569173,-8.611059713574035,-32.7609619459386,73,0.0525
-0.05786275086024277,-0.5981595198531784,-0.4605667962650372,-0.7183565985019625,-0.6897187790962668,-3.574984105309127,-1.6737869604586173,-0.6811021782602472,118,0.6918
-0.08303279591468025,-0.18965295635736323,-0.1449930892427929,-0.12327470050317697,-0.3232939894571616,-10.768637804691854,-11.47722268108433,-30.87514826737798,153,0.0759
-0.08816942543327891,-0.25883954290804523,-0.20586678300438513,-0.22117816923026903,-0.2511704867155507,-11.749289652883682,-10.830006699522547,-24.358800615469594,206,0.1096
-0.0152061202429525,-0.02790863966975658,-0.02112134798238734,-0.017044311626321685,-0.20215581998187773,-1.9465732223962267,-1.8560128576094344,-12.436682262729883,132,0.0100
-0.06087428565095942,-0.10263473108737435,-0.07036906853808556,-0.03249151071044592,-0.1173836686102745,-7.84783014318628,-7.470308059217697,-32.78566984154503,128,0.0437
-0.07574452967172267,-0.6076304312120038,-0.4860670663045792,-0.6107034337374988,-0.6380828454453543,-4.224493584157006,-2.389027893585102,-2.065343827181458,90,0.3981
-0.09771746696208183,-0.5416297474713355,-0.4288116099977504,-0.5553117462761775,-0.5640607728755773,-5.545867930540204,-3.913705078335514,-3.6972394693078483,51,0.3311
-0.042571700716218755,-0.6101092310312578,-0.49759470617770024,-0.8184443937805679,-0.7688799919757271,-3.6679000521736973,-1.7618760438425103,-0.7380959808271432,60,0.6918
-0.09224277525135406,-0.2171087333975541,-0.16632647842398102,-0.14031204793682267,-0.21510807090140902,-11.230224693038899,-10.426513265737112,-28.63267965172584,41,0.0912
-0.08684082388221817,-0.2994865042774469,-0.23995639251760356,-0.22973956426338454,-0.30562621703104287,-11.390000261142433,-10.333317572459302,-20.258959252566893,234,0.1318
-0.0504232761103896,-0.09633148025336054,-0.0681983042745239,-0.020978111414843854,-0.07384437860313144,-7.156224417199036,-6.840140600622413,-30.822151706946652,231,0.0363
-0.08034038994593572,-0.5384904116860054,-0.42502246112378556,-0.5335139680910942,-0.5726306223794086,-5.237933995749576,-3.5064415969391485,-3.1417744982836706,97,0.3311
-0.03574995606827462,-0.06170663078619043,-0.04503206105603658,-0.03134726481236778,-0.11588324420372162,-4.983676755023552,-4.782606709940898,-27.08960167251125,56,0.0251
-0.08703479648015938,-0.1842843832881642,-0.13227693642108737,-0.10764820833920496,-0.14451412569594216,-11.132517453099934,-10.499673879261644,-30.520477329317988,157,0.0759
-0.04868573909473345,-0.06372567875440109,-0.041503607237357715,-0.05024653926131169,-0.10879178873044193,-5.976501443596933,-5.721577021804877,-29.957531367141794,244,0.0302
-0.07439871659199838,-0.5590228298637695,-0.44338488100346346,-0.6587593395740937,-0.6415991774315445,-3.937839490433307,-2.059673692505195,-1.379887524331371,165,0.4786
-0.1004842590566281,-0.2808463660912568,-0.2140595988946079,-0.19570162853685352,-0.23774027561645425,-11.721949160651008,-10.778988416092302,-24.950752483183784,239,0.1096
