HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
0.530843,0.530843,0.530843,0.530843,1000,2782,2,0,3
0.717245,0.452,0.707912,0.447792,1000,1000,6,0,0
0.690358,0.522951,0.687491,0.522907,1000,1668,4,0,1
0.826078,0.537842,0.815123,0.531836,1000,1668,8,0,2
0.915952,0.672633,0.90613,0.6599,1000,4641,10,0,4
0.700068,0.538122,0.693149,0.537998,1000,1668,4,0,4
0.455103,0.455119,0.455115,0.455119,1000,1668,2,0,0
0.350551,0.350603,0.350482,0.350454,1000,1000,2,0,0
0.907479,0.766863,0.898378,0.759367,1000,7742,6,0,3
0.833365,0.529201,0.817666,0.519808,1000,1668,8,0,0
0.905834,0.689898,0.895604,0.681962,1000,4641,8,0,1
0.786707,0.46034,0.767892,0.456969,1000,1000,8,0,3
0.711508,0.711508,0.711508,0.711508,1000,7742,2,0,3
0.786154,0.56243,0.777778,0.560192,1000,1668,6,0,2
0.770398,0.641045,0.764909,0.633053,1000,2782,4,0,4
0.770951,0.639864,0.766827,0.638058,1000,2782,4,0,2
0.36842,0.368553,0.368444,0.368569,1000,1000,2,0,4
0.87041,0.696488,0.863387,0.687291,1000,4641,6,0,3
0.620332,0.620332,0.620332,0.620332,1000,4641,2,0,4
0.833217,0.719311,0.824521,0.708376,1000,4641,4,0,0
0.870559,0.618218,0.859323,0.612228,1000,2782,8,0,0
0.831471,0.619295,0.823752,0.612585,1000,2782,6,0,3
0.824893,0.450759,0.807339,0.44358,1000,1000,10,0,0
0.76818,0.622859,0.761562,0.618675,1000,2782,4,0,3
0.871848,0.688172,0.86193,0.678154,1000,4641,6,0,4
0.915972,0.687495,0.906587,0.684565,1000,4641,10,0,2
0.540044,0.540048,0.540052,0.540052,1000,2782,2,0,2
0.871628,0.708288,0.864629,0.700216,1000,4641,6,0,1
0.850482,0.632116,0.834891,0.626018,1000,2782,6,0,4
0.902899,0.695207,0.894715,0.686895,1000,4641,8,0,0
0.78794,0.556645,0.778871,0.550551,1000,1668,6,0,4
