HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-0.416667,-0.416667,-0.416667,-0.416667,1000,61584,2,1,33
-0.647872,-0.647872,-0.647872,-0.647872,1000,1000,2,1,1
-1.94688,-1.50063,-1.87293,-1.50504,1000,37926,10,1,41
-1.40591,-1.18576,-1.35304,-1.20423,1000,5455,6,1,31
-1.40413,-1.49299,-1.40502,-1.53309,1000,5455,10,0,8
-0.415635,-0.415635,-0.415635,-0.415635,1000,61584,2,1,18
-1.45266,-1.2259,-1.39836,-1.24157,1000,6951,6,1,33
-0.932375,-1.00751,-0.934911,-1.02192,1000,2069,4,0,47
-0.996363,-0.836595,-0.962427,-0.837178,1000,61584,4,1,24
-0.514919,-0.514919,-0.514919,-0.514919,1000,3359,2,1,10
-0.832548,-0.854324,-0.83251,-0.854998,1000,14384,4,0,39
-1.93349,-1.47417,-1.85497,-1.48404,1000,14384,10,1,30
-0.41636,-0.41636,-0.41636,-0.41636,1000,29763,2,1,7
-0.491583,-0.491583,-0.491583,-0.491583,1000,5455,2,1,25
-1.02255,-0.884894,-0.988584,-0.887454,1000,18329,4,1,6
-1.7703,-1.63426,-1.73976,-1.73498,1000,1000,8,1,36
-1.21803,-1.22374,-1.21842,-1.22523,1000,78475,8,0,14
-1.29114,-1.362,-1.2932,-1.38844,1000,4281,8,0,14
-0.582291,-0.582291,-0.582291,-0.582291,1000,1623,2,1,26
-0.417981,-0.417981,-0.417981,-0.417981,1000,78475,2,0,7
-0.541453,-0.541453,-0.541453,-0.541453,1000,3359,2,0,30
-1.062,-1.08881,-1.06239,-1.09819,1000,11288,6,0,1
-1.68619,-1.27253,-1.61123,-1.2841,1000,18329,8,1,27
-1.31819,-1.37983,-1.32159,-1.41422,1000,5455,8,0,26
-0.417163,-0.417163,-0.417163,-0.417163,1000,78475,2,0,40
-0.415644,-0.415644,-0.415644,-0.415644,1000,100000,2,1,40
-1.10405,-1.15669,-1.10372,-1.17384,1000,5455,6,0,22
-1.06668,-1.07435,-1.06695,-1.07509,1000,61584,6,0,44
-0.518309,-0.518309,-0.518309,-0.518309,1000,6951,2,0,46
-0.49149,-0.49149,-0.49149,-0.49149,1000,5455,2,1,13
-1.4681,-1.51295,-1.46976,-1.53408,1000,11288,10,0,24
-1.41547,-1.16441,-1.36085,-1.18579,1000,6951,6,1,36
-1.76115,-1.495,-1.69178,-1.53254,1000,1623,8,1,24
