HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
0.72841,0.72841,0.72841,0.72841,1000,2782,2,0,3
0.891717,0.631439,0.885617,0.627386,1000,1000,6,0,0
0.871627,0.718165,0.867899,0.717679,1000,1668,4,0,1
0.957347,0.724296,0.952491,0.718803,1000,1668,8,0,2
0.990048,0.854372,0.987626,0.843537,1000,4641,10,0,4
0.879942,0.73293,0.875479,0.732339,1000,1668,4,0,4
0.642892,0.642911,0.642915,0.642922,1000,1668,2,0,0
0.516054,0.516122,0.515954,0.515935,1000,1000,2,0,0
0.987589,0.925137,0.98509,0.920595,1000,7742,6,0,3
0.962523,0.717778,0.955196,0.70544,1000,1668,8,0,0
0.987585,0.868903,0.984913,0.862151,1000,4641,8,0,1
0.9381,0.641471,0.926895,0.636983,1000,1000,8,0,3
0.891143,0.891143,0.891143,0.891143,1000,7742,2,0,3
0.937312,0.756204,0.932441,0.753079,1000,1668,6,0,2
0.929052,0.835036,0.926204,0.828065,1000,2782,4,0,4
0.929013,0.830747,0.925872,0.829125,1000,2782,4,0,2
0.54964,0.549885,0.549583,0.549903,1000,1000,2,0,4
0.976475,0.877813,0.973756,0.869908,1000,4641,6,0,3
0.81073,0.81073,0.81073,0.81073,1000,4641,2,0,4
0.962599,0.896328,0.958962,0.888063,1000,4641,4,0,0
0.976659,0.805064,0.97201,0.800726,1000,2782,8,0,0
0.960082,0.811682,0.956718,0.805775,1000,2782,6,0,3
0.956996,0.627652,0.948617,0.621719,1000,1000,10,0,0
0.927813,0.817118,0.923045,0.812654,1000,2782,4,0,3
0.977601,0.87112,0.974581,0.863163,1000,4641,6,0,4
0.990079,0.869815,0.987704,0.866931,1000,4641,10,0,2
0.734482,0.734485,0.73449,0.734525,1000,2782,2,0,2
0.97717,0.883744,0.974928,0.877731,1000,4641,6,0,1
0.969321,0.819311,0.962579,0.813444,1000,2782,6,0,4
0.986697,0.872131,0.984493,0.865806,1000,4641,8,0,0
0.938411,0.753723,0.932864,0.747104,1000,1668,6,0,4
