HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-0.416667,-0.416667,-0.416667,-0.416667,1000,61584,2,1,33
-0.647872,-0.647872,-0.647872,-0.647872,1000,1000,2,1,1
-14.8925,-19.6758,-14.9164,-21.0745,1000,37926,10,1,41
-6.44893,-7.66474,-6.48544,-8.67146,1000,5455,6,1,31
-10.8668,-12.213,-10.8897,-13.0725,1000,5455,10,0,8
-0.415635,-0.415635,-0.415635,-0.415635,1000,61584,2,1,18
-6.46433,-7.77597,-6.49139,-8.66972,1000,6951,6,1,33
-2.28124,-2.50633,-2.29197,-2.56091,1000,2069,4,0,47
-2.91344,-3.59677,-2.92102,-3.68429,1000,61584,4,1,24
-0.514919,-0.514919,-0.514919,-0.514919,1000,3359,2,1,10
-2.09345,-2.17373,-2.0977,-2.19654,1000,14384,4,0,39
-14.9205,-18.8689,-14.9442,-21.0159,1000,14384,10,1,30
-0.41636,-0.41636,-0.41636,-0.41636,1000,29763,2,1,7
-0.491583,-0.491583,-0.491583,-0.491583,1000,5455,2,1,25
-2.94956,-3.4647,-2.95532,-3.63766,1000,18329,4,1,6
-11.1765,-11.6404,-11.3975,-13.4135,1000,1000,8,1,36
-7.28275,-7.42401,-7.28494,-7.46223,1000,78475,8,0,14
-7.63672,-8.49297,-7.66743,-8.97401,1000,4281,8,0,14
-0.582291,-0.582291,-0.582291,-0.582291,1000,1623,2,1,26
-0.417981,-0.417981,-0.417981,-0.417981,1000,78475,2,0,7
-0.541453,-0.541453,-0.541453,-0.541453,1000,3359,2,0,30
-4.40167,-4.73849,-4.41112,-4.86662,1000,11288,6,0,1
-10.3791,-13.4881,-10.4,-14.8621,1000,18329,8,1,27
-7.54986,-8.33118,-7.57985,-8.79357,1000,5455,8,0,26
-0.417163,-0.417163,-0.417163,-0.417163,1000,78475,2,0,40
-0.415644,-0.415644,-0.415644,-0.415644,1000,100000,2,1,40
-4.50456,-4.97252,-4.51118,-5.16516,1000,5455,6,0,22
-4.35099,-4.45071,-4.35258,-4.47623,1000,61584,6,0,44
-0.518309,-0.518309,-0.518309,-0.518309,1000,6951,2,0,46
-0.49149,-0.49149,-0.49149,-0.49149,1000,5455,2,1,13
-11.0817,-11.8977,-11.0933,-12.4761,1000,11288,10,0,24
-6.42023,-7.69175,-6.43366,-8.68203,1000,6951,6,1,36
-10.9802,-12.1659,-11.1461,-14.0666,1000,1623,8,1,24
