newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
1.2532458608903344e-10,1.2993016943904265e-10,1.26927840102009e-10,-0.011278111114288359,-0.011278111114288359,-1.6465917646519848,-1.6465917646519848,-5.22988451126716,158,0.1905
-3.168102269597705e-11,-4.440360610355721e-11,-7.946771077346797e-11,-0.04820312001943052,-0.04820312001943052,-0.5732472237023134,-0.5732472237023134,-0.8907664826201509,189,0.8318
-2.6954620457635822e-11,-2.2263523562526422e-11,4.990646005418635e-11,-0.0027529094662114596,-0.0027529094662114596,-1.4141829744972616,-1.4141829744972616,-4.695227296352047,168,0.1096
-5.265259776591102e-11,-7.892237940916977e-11,-3.376842606411114e-11,-0.005513925580340472,-0.005513925580340472,-1.5575328485998312,-1.5575328485998312,-5.094283840041827,156,0.1318
1.2002918635121394e-10,-1.0898387362733451e-10,-9.615543772308478e-11,-0.05791884833072777,-0.05791884833072777,-0.6239975303070995,-0.6239975303070995,-0.7490385043184511,81,0.8318
-1.5234203706424356e-12,-6.91608551348838e-11,-6.438952803293979e-11,-0.043816403537794694,-0.043816403537794694,-1.0393087233356502,-1.0393087233356502,-3.392106808378571,54,0.0631
-7.01301455349053e-12,1.1259082136317999e-10,2.383961393988236e-11,-0.030067901198498982,-0.030067901198498982,-0.8579509958039016,-0.8579509958039016,-2.836092110081225,57,0.0525
4.030609893589889e-11,2.193497844956574e-11,-3.652290596840432e-12,-0.006043597844756646,-0.006043597844756646,-1.4150341411257423,-1.4150341411257423,-4.5082938442149,27,0.1096
2.233515859127205e-12,1.3560854585348449e-11,5.655021965340301e-12,-0.010266378278751606,-0.010266378278751606,-0.4611295462926082,-0.4611295462926082,-1.2361382536833292,232,0.0251
-8.803546727523765e-11,4.072488682131443e-11,-8.191907630626887e-11,-0.008267606226364717,-0.008267606226364717,-1.7217710378879745,-1.7217710378879745,-4.948143919562001,84,0.1585
-2.4101960195039724e-11,-2.3186810540994147e-11,-2.2408265204827964e-12,-0.0016729525809378693,-0.0016729525809378693,-1.4504650287635565,-1.4504650287635565,-4.563432557403497,226,0.1096
-9.764023801726205e-11,-1.0813714697611143e-10,-1.0526422768461508e-10,-0.011765732569483295,-0.011765732569483295,-1.681251698275178,-1.681251698275178,-4.884632241480032,116,0.2291
