newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,dataset
4.763724323514322,4.714145793454405,4.771630809734944,4.721966157731242,1.7097053496764951,1.6481758297742728,2.8076385836692426,2.565287316920919,4.842157908496757,K-4
1.6413448307004934,1.3792226536851608,1.6885032675520917,1.3770536344950532,1.734440296908378,1.5212060227747106,2.032611447889844,1.8866780306638036,1.876514084470965,K-10
4.98989945297768,4.9443639298432025,4.998075346677808,4.95271578081022,1.737857424771278,1.6524063128869009,2.8622941974045784,2.6137954403825034,5.066958008331497,K-4
10.340296535977952,10.340296535977952,10.340296535977952,10.340296535977952,1.699644375134261,1.699644375134261,3.8887980695541264,3.8887980695541264,10.36375460445173,K-2
1.6794079785452096,1.411455932956555,1.730481890331111,1.395514225048305,1.76231706607405,1.53358963371973,2.024607158287976,1.8985197817355344,1.914443832252504,K-12
10.38543621988214,10.38543621988214,10.38543621988214,10.38543621988214,1.7609492077856763,1.7609492077856763,3.984509891278052,3.984509891278052,10.40987191489677,K-2
10.4270258327877,10.4270258327877,10.4270258327877,10.4270258327877,1.737274955275286,1.737274955275286,3.9334870511610713,3.9334870511610713,10.450294508134157,K-2
1.6600199175446688,1.3913160949262744,1.7075134408799668,1.3496623449269065,1.7552691687461135,1.5074851534641625,1.9571988339255293,1.86184688022318,1.8751361926615957,K-16
1.6574479932739703,1.3710776010672954,1.7082470858185934,1.3354494529503682,1.7423664059184898,1.4847269464424082,1.955132795820674,1.8622370972013456,1.875610686706284,K-16
1.8629145840544448,1.6441491265682655,1.905627831314504,1.655989789700902,1.7531337055985503,1.581362840876443,2.132928023303473,1.949645537008293,2.079860907413285,K-8
2.507984503347441,2.375637782230236,2.529419106277794,2.3889296144425827,1.7327674784909026,1.5956402956248528,2.264118021700224,2.0344809612082235,2.666402001744716,K-6
1.6660253620338548,1.3651979243586925,1.7142879937731157,1.3358280922872978,1.7615657065080517,1.4818672317919446,1.956935691847416,1.863550930397933,1.87892501328169,K-16
1.634621591411633,1.365169744903714,1.684950711180214,1.368012028707054,1.7252568706319655,1.5102395276208982,2.0359395313470694,1.888285463207856,1.873014566348084,K-10
4.856121155345982,4.812852185204054,4.865393802132173,4.820630412104671,1.725543436111378,1.66919586673458,2.826898721497634,2.5839292107880603,4.9373048424299695,K-4
1.6884646207358756,1.4370066317452943,1.7358493537468855,1.4361601485699873,1.7740617750417766,1.5497921292839996,2.062062464162113,1.9151194381918129,1.9238308538914497,K-10
1.6640481288381914,1.3799457232964334,1.7063168352213498,1.3416655324156024,1.763582768547843,1.4936924167659582,1.949989325275155,1.8596836163875,1.8783173401043936,K-16
1.6639415883739712,1.380060533129325,1.7107723892936215,1.3391950034467106,1.7562705632270637,1.4843455671717782,1.958461483123638,1.8627119292437464,1.877549116131724,K-16
10.3849111691418,10.3849111691418,10.3849111691418,10.3849111691418,1.7548069135346722,1.7548069135346722,3.9699884911138303,3.9699884911138303,10.40883886498917,K-2
5.214726920361808,5.168949109319454,5.2226515696246345,5.17598172598781,1.7173649980248298,1.63770677714623,2.868096449773056,2.637559184157668,5.284734121011856,K-4
1.650677163530064,1.375297321864894,1.6971622123546768,1.3778000339072574,1.7444316039145802,1.5322502691604636,2.0352967844251206,1.8893727311439623,1.8798525230478345,K-10
2.7229811415720477,2.6054856342620303,2.746462807253058,2.6180563563122257,1.749338513023211,1.6112730000242408,2.3385914618419683,2.110355312044794,2.8801391075985348,K-6
1.6992508382106917,1.403952207327817,1.7453882078287175,1.3592344188194607,1.779283919443645,1.490417534052652,1.9613236068937363,1.881944023455542,1.906864344565244,K-18
1.9079033754979748,1.6905676051322187,1.9526819842871592,1.7055367077119723,1.751286989500729,1.5646282854987184,2.139046208341913,1.9613938835694504,2.1231829005960567,K-8
1.758144172340634,1.5363622956456735,1.8011936777726958,1.5519124639207886,1.755996934165679,1.57193489402179,2.1202745680692328,1.9388161001071789,1.991593731726856,K-8
5.062196059482263,5.019344801686609,5.070650125780314,5.027212786190479,1.747413068637213,1.671542810928196,2.872958739773401,2.626908250525326,5.139637392447493,K-4
2.771980396710213,2.646288844813337,2.793550319976306,2.660738527828275,1.7304534075818228,1.6072084688285078,2.3420047085869045,2.1177663617418774,2.923869008127672,K-6
1.8645895461114987,1.6530897140076872,1.907652016175248,1.6668971126433048,1.7219414519630172,1.5447240028007918,2.109501061507988,1.9282888601853891,2.080610666262928,K-8
2.458836529254332,2.3224690257270515,2.4807237507073903,2.335189529089678,1.7358845992479204,1.5914557893848078,2.2703536256719605,2.0391555117641937,2.619914099775034,K-6
1.6870359853501742,1.3956937719050344,1.7311012312813066,1.3642729032876688,1.778542983473389,1.512558007126486,1.974838454972456,1.883051819105008,1.9020594702921565,K-16
1.7158966481913154,1.459810745552183,1.765658032292212,1.4605962553262914,1.7335915939877449,1.5138729099870205,2.031383439324807,1.8927162739636327,1.937720119900303,K-10
1.7057268571705924,1.4263634134354275,1.747126194580734,1.3711586823577342,1.7908899393893338,1.515970000584297,1.956901008261661,1.8801690057856475,1.9105119549264848,K-18
1.6856428158759182,1.3849221164589152,1.7307380091894695,1.3438249652713772,1.7601112947405346,1.496473671502286,1.9332110222208356,1.8569076851002264,1.886573972838828,K-18
2.671832511373073,2.5409824794015647,2.692822267514793,2.55435505881632,1.7515864877767198,1.6436734853327122,2.330083317857716,2.118178816096842,2.820355015913153,K-6
