BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,ratio,rep
1.796516464597234,1.775762873279621,1.793999225237394,1.777852974038724,1.8022685611879403,1.8039946392449808,3.59517870412295,3.538403493705666,20.70757182482682,0.06812920690579612,96
1.8044313392453737,1.800882177132492,1.80422394199801,1.8013235520593809,1.818857403596192,1.8257332275776537,2.087320847253248,2.074164859167707,22.73143397273448,0.01,40
1.839042210046792,1.837739333288988,1.838954618843924,1.8379376472967168,1.844058955069377,1.8454170380410917,1.9356761685421155,1.9299284221136208,22.93676561236391,0.004641588833612777,22
1.3796745728466462,1.1598388463449842,1.4442111004955904,1.1896340187891692,1.677108452932207,1.545489278833834,2.282194961175406,2.082428100037318,1.9956063757160047,2.154434690031882,14
1.6154791047191177,1.4883440843294478,1.6227723679916437,1.5093814907421683,1.7301202138350584,1.6653895396269172,3.620133193314471,3.4143745886170573,7.811585012046796,0.6812920690579608,78
1.8012768724664132,1.801279021988183,1.8013270600625406,1.801372945754694,1.8350789645218355,1.892748028906584,1.811004161336271,1.8097298086009723,23.061188082678083,0.001,90
1.348529562655771,1.1315967276002932,1.4126751936229114,1.1585561112260312,1.643660210495374,1.5383009066493962,2.2182546697043466,2.0245064159126334,1.891523797448065,2.154434690031882,67
1.7769843513044323,1.7200561801452414,1.7730391358035216,1.7287297437635067,1.8099746595432384,1.7699289577460204,4.791224681155605,4.6721842002302,16.424911336266128,0.21544346900318823,22
1.744905102993001,1.6855088534367817,1.7414103143267683,1.6947489928119914,1.7736407273752617,1.737234013715211,4.759802725016652,4.637982748846486,16.40239516779383,0.21544346900318823,75
1.8103029716287609,1.809641344453317,1.810363037149576,1.8099074872418883,1.9830802547500723,2.227113759509884,1.913197756023246,1.906948057463992,22.931581217402503,0.004641588833612777,65
1.7946791339265833,1.761525227116757,1.7917965627694314,1.7672849856725594,1.815857177082557,1.8009737664207297,4.501893861210832,4.404962299377721,18.283797865263573,0.1467799267622069,1
1.80405607811326,1.8002553986744676,1.803818296148379,1.8008139643932808,1.8128156121271888,1.8147826184477436,2.089308693748612,2.0761380992570344,22.72914064964271,0.01,42
1.8364586977171025,1.8357157870607128,1.8365825856718143,1.836123700292464,2.0802941870800797,1.839389379491981,2.001814720529083,1.9924417974103847,22.853908455286803,0.006812920690579608,24
1.8392612754727948,1.838622748586465,1.839266679420268,1.8387608244385236,1.9580087916056383,2.122901185359215,1.8962584077173283,1.89249057184889,22.98951137556457,0.0031622776601683794,8
1.753627509382155,1.6912940194311203,1.7499888891545834,1.6997620249429564,1.7793736737294907,1.7502571847441777,4.767731374422328,4.648491376412848,16.383156362903957,0.21544346900318823,79
1.2791296128445149,1.0130243439915636,1.350666770014252,1.0332232050292545,1.6025033956306094,1.4975420083313855,2.187368219573918,2.057256037582327,1.728519317189508,3.1622776601683795,54
1.741789760510766,1.6905624299672082,1.7380267219930097,1.698582986155668,1.781024561108231,1.7358391449962354,4.758050336922243,4.641484040733691,16.37201348776534,0.21544346900318823,66
1.2204087119300604,0.6984203393489132,1.3046474061334523,0.7124993931916992,1.5007224265927852,1.3616442220683438,2.185093806541447,2.1957132629179195,1.7579246242222284,10.0,12
1.7755845953823362,1.7500277785125444,1.7745811715476667,1.7548976229647877,1.7954817280326656,1.7794784653596456,4.055371031247479,3.977074136782224,19.696028538884494,0.1,86
1.8016150126388288,1.800923230480926,1.801573039880396,1.801002182833744,1.8859781513171157,2.0024144787434346,1.835256460582852,1.83294071525086,23.022613238280822,0.0021544346900318843,72
1.6794367853534296,1.5772287241211953,1.6754127932978906,1.592331849864422,1.7610986169358012,1.7069204929446884,4.403552777640245,4.229305066962011,11.124295428786084,0.46415888336127775,84
1.784640737013681,1.7689728354173084,1.784399042415883,1.7726168668717848,1.8018015432325687,1.7871773568001352,3.584427656680672,3.5243720294691205,20.728756598159464,0.06812920690579612,36
1.8397630807005696,1.8391147729190085,1.839789301109268,1.839258401192412,1.89409385628132,1.9691195315406589,1.8578218929950256,1.856324275693972,23.04942477518576,0.0014677992676220691,3
1.7225093722870737,1.6399195656827534,1.719416744182678,1.6535592998187107,1.771209773028965,1.7270885936526017,4.761218260509953,4.610651673765246,13.92411875567426,0.31622776601683794,69
1.426595027030141,1.258167363987383,1.471154696654699,1.2823282568029335,1.6496430475990669,1.5528214174875246,2.3789439194813986,2.1418797598802177,2.763895756882048,1.467799267622069,54
1.2948435313747302,1.0284497006428373,1.3670473314900773,1.0486216148347278,1.6220623618430003,1.4608935195627235,2.1870141508218386,2.0575686309098984,1.7479146114810586,3.1622776601683795,80
1.1994654628234862,0.781144382276151,1.282273042667646,0.7945901219320682,1.494879788942957,1.4144204708827894,2.1368202450963043,2.1104745383195502,1.710592232051815,6.812920690579608,91
1.8370474114249435,1.8340766938508248,1.8368808169595732,1.8345899439357165,1.8440989880009464,1.8647293162560172,2.107711357063492,2.094342736507533,22.738166052117798,0.01,18
1.840950052873941,1.840071324367888,1.8408268798429543,1.840061781272696,1.9042560706945015,1.9844496530966216,1.8601928163727688,1.859035083456753,23.048109145037955,0.0014677992676220691,9
1.5753417322036651,1.418754646838482,1.597991557653932,1.4425024363046002,1.733933399965934,1.6916253871495577,2.8829220920741774,2.6542303512114267,4.833951940387192,1.0,28
1.5215273248194825,1.3806675812496254,1.5464105214795991,1.4028402809888951,1.7015264818140654,1.6269958242552762,2.855122980091232,2.6205782839911342,4.872274615820809,1.0,95
