BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,ratio,rep
-1.3992059087801458,-1.406733153224219,-1.3891319188661169,-1.397083089989782,-1.3794097988139702,-1.3843226879554833,-2.4219834909052618,-2.380038086731734,-9.578832255453593,0.06812920690579612,96
-1.348544057210527,-1.3496309839224674,-1.3534935653548867,-1.3547251248640635,-1.3669040616377472,-1.356401709448258,-1.691495066296221,-1.6692803003859775,0.0,0.01,40
-1.3862943610448908,-1.386294361044861,-1.386294361044895,-1.3862943610448732,-1.3862943610484857,-1.386294361054475,-1.386294361050181,-1.3862943610500762,0.0,0.004641588833612777,22
-1.1152065477075466,-1.0509863910272257,-1.1418434311678685,-1.0386544317169144,-1.249987073648959,-1.1833523724476165,-1.8774798246789115,-1.6315830803900138,-1.2865887104951486,2.154434690031882,14
-1.2993841558622232,-1.2256863069152424,-1.2836614314773285,-1.2097077278988608,-1.3417239649551185,-1.2679879451532703,-3.7933692890716735,-3.4592205682520376,-3.497369047191865,0.6812920690579608,78
-1.3862943610448906,-1.386294361044884,-1.3862943610448917,-1.3862943610448866,-1.3862943610457048,-1.3862943610471352,-1.386294361045744,-1.3862943610457192,0.0,0.001,90
-1.114307028053488,-1.0607465567416003,-1.138090661998847,-1.0443461086962431,-1.2576697950560969,-1.197672028408667,-1.8681948859927904,-1.6266392011345483,-1.2896041952310997,2.154434690031882,67
-1.3343169794004763,-1.2948673988699408,-1.3264101586963584,-1.294402110280117,-1.3491600251806113,-1.322752557269632,-4.44283368254701,-4.289412736609425,-10.092434859001571,0.21544346900318823,22
-1.3563825945169707,-1.321627220203233,-1.343871349963473,-1.3179404797751868,-1.3517053973701871,-1.3318861193149207,-4.475980358411068,-4.339636303433802,-10.798529697695209,0.21544346900318823,75
-1.3862943610448908,-1.386294361044861,-1.386294361044895,-1.3862943610448732,-1.386294361048486,-1.386294361054475,-1.386294361050181,-1.3862943610500762,0.0,0.004641588833612777,65
-1.3693032044776037,-1.3444962530730142,-1.3583101391011672,-1.3395541913502094,-1.361419549241981,-1.3482842081775583,-4.025330810376414,-3.924295629498534,-10.447734431046287,0.1467799267622069,1
-1.3862943610448903,-1.386294361044826,-1.3862943610449003,-1.3862943610448537,-1.386294361050216,-1.3862943610457632,-1.386294361057586,-1.3862943610573746,0.0,0.01,42
-1.3862943610448926,-1.386294361044847,-1.386294361044898,-1.3862943610448648,-1.3862943610454388,-1.3862943610456375,-1.386294361053158,-1.3862943610529932,0.0,0.006812920690579608,24
-1.3862943610448908,-1.3862943610448706,-1.3862943610448937,-1.386294361044879,-1.386294361047307,-1.386294361051425,-1.3862943610481815,-1.3862943610481098,0.0,0.0031622776601683794,8
-1.4210527089087646,-1.3691360014831786,-1.3962405907275282,-1.354336674133002,-1.3657331240624222,-1.352220209849963,-4.707818394698743,-4.565106417869643,-9.846742962464669,0.21544346900318823,79
-1.0738633779827969,-1.0165403243434163,-1.1039862009183143,-1.0009747094235395,-1.216668795935577,-1.1712923545985077,-1.80332649555186,-1.6464605469823217,-1.2693079868494086,3.1622776601683795,54
-1.3430124155024643,-1.297712076468932,-1.3293361329056157,-1.295488133006917,-1.341158816448012,-1.3203666274059795,-4.73488122933233,-4.5858605317624335,-10.211211299960247,0.21544346900318823,66
-0.9949156825107353,-0.8966681195499306,-1.0290867991142847,-0.8913663797305511,-1.12966604582087,-1.061547184188533,-1.7581892842319518,-1.771236793528737,-1.259045648406005,10.0,12
-1.3676090646471442,-1.3336555924002154,-1.362098328690745,-1.3347568969504373,-1.3663329557933006,-1.3411962790823708,-3.052579583577519,-2.9824454871630848,-9.746024982556824,0.1,86
-1.3862943610448906,-1.3862943610448777,-1.3862943610448926,-1.3862943610448828,-1.3862943610465104,-1.3862943610493126,-1.3862943610469118,-1.386294361046863,0.0,0.0021544346900318843,72
-1.338476471615692,-1.2511024015400314,-1.3160504499263592,-1.240186910390538,-1.3235400603740175,-1.2821853754030283,-4.746788235114691,-4.482695515233892,-5.613439974125743,0.46415888336127775,84
-1.426279095866272,-1.3653870508168855,-1.411651103667629,-1.3634402721071732,-1.4034020575220676,-1.3773223500025202,-3.559509911142058,-3.5202952678360613,-5.712649747831883,0.06812920690579612,36
-1.3862943610448906,-1.3862943610448817,-1.386294361044892,-1.3862943610448852,-1.386294361046007,-1.3862943610450795,-1.3862943610461282,-1.3862943610460958,0.0,0.0014677992676220691,3
-1.30626929140071,-1.2730350632021228,-1.2937957417976174,-1.2665630286106502,-1.317087763313057,-1.3042466797725234,-5.055598141658921,-4.81253091151778,-8.454021439994035,0.31622776601683794,69
-1.1840891002361007,-1.1041079226207895,-1.2045456854772694,-1.0926304614655062,-1.2694260556644592,-1.2212786370929691,-2.032579257067775,-1.7303534661106328,-1.437784207836907,1.467799267622069,54
-1.0761538107521298,-1.0254450974738354,-1.1062282292055523,-1.009511297561191,-1.218423864289106,-1.1711258325131182,-1.790661035131422,-1.6325105486428724,-1.265536200457657,3.1622776601683795,80
-1.0051350544623614,-0.922060397211829,-1.040495660554452,-0.9136634879754698,-1.1808963697982118,-1.0812959546235292,-1.7733121715491096,-1.733463454010249,-1.259836943850046,6.812920690579608,91
-1.3917340725056684,-1.3823878406835886,-1.3911460472419577,-1.3828953664867254,-1.3902962375561632,-1.3796176200447283,-1.371946168143748,-1.371966033899612,-1.1369084428811005,0.01,18
-1.3862943610448906,-1.3862943610448817,-1.386294361044892,-1.3862943610448852,-1.386294361046008,-1.3862943610479592,-1.3862943610461649,-1.386294361046131,0.0,0.0014677992676220691,9
