tested_parameter,M,N,K1,K2,train_size,std_bt_likelihood,ho_bt_likelihood,repetition
games,500,1000,2,6,0.01,0.7141498152623958,0.7090878961658502,0
games,500,1000,2,6,0.012022644346174132,0.7218478290607779,0.7150032576076821,0
games,500,1000,2,6,0.014454397707459272,0.7211354363452009,0.7142804982175993,0
games,500,1000,2,6,0.017378008287493755,0.7208396409505995,0.7144268723956523,0
games,500,1000,2,6,0.020892961308540396,0.7230718627472352,0.7162882614313044,0
games,500,1000,2,6,0.025118864315095794,0.7238943637440595,0.7172449354328416,0
games,500,1000,2,6,0.030199517204020164,0.7327560038769233,0.7259655073139134,0
games,500,1000,2,6,0.03630780547701014,0.7488322695622291,0.741365675993319,0
games,500,1000,2,6,0.043651583224016605,0.7613201656891763,0.7526340861282362,0
games,500,1000,2,6,0.05248074602497726,0.7728489356130767,0.7629384023905237,0
games,500,1000,2,6,0.06309573444801933,0.7884275858464088,0.7766195622982786,0
games,500,1000,2,6,0.07585775750291836,0.7903880544606308,0.7772797019062188,0
games,500,1000,2,6,0.09120108393559097,0.7755172226580693,0.7645354988821257,0
games,500,1000,2,6,0.1096478196143185,0.7884361952942356,0.7751856505923815,0
games,500,1000,2,6,0.13182567385564073,0.7897129530958658,0.777611383668321,0
games,500,1000,2,6,0.15848931924611132,0.7748400299651284,0.7690425267722266,0
games,500,1000,2,6,0.19054607179632474,0.7766351164495041,0.7705836902302733,0
games,500,1000,2,6,0.22908676527677735,0.7523377584542404,0.7487452652912644,0
games,500,1000,2,6,0.2754228703338166,0.7868943508788357,0.7771714300947861,0
games,500,1000,2,6,0.3311311214825911,0.7896909751041914,0.774495610016921,0
games,500,1000,2,6,0.3981071705534973,0.8032012077903287,0.7828394445412583,0
games,500,1000,2,6,0.47863009232263826,0.866900591976915,0.8568851573806439,0
games,500,1000,2,6,0.5754399373371569,0.8106316442318359,0.7937949132663035,0
games,500,1000,2,6,0.6918309709189365,0.8207531738804492,0.7991043070109073,0
games,500,1000,2,6,0.8317637711026709,0.8710103734592876,0.8438646926581677,0
games,500,1000,2,6,0.01,2.05662006926273,2.0519976393676256,1
games,500,1000,2,6,0.012022644346174132,2.0603757365701396,2.0562380784027736,1
games,500,1000,2,6,0.014454397707459272,2.0601919155318664,2.05604587569386,1
games,500,1000,2,6,0.017378008287493755,2.063018717282208,2.0588761553235484,1
games,500,1000,2,6,0.020892961308540396,2.071094019730932,2.0666994801986966,1
games,500,1000,2,6,0.025118864315095794,2.1052055852309866,2.095605168169018,1
games,500,1000,2,6,0.030199517204020164,2.2049731822615337,2.1927612354080286,1
games,500,1000,2,6,0.03630780547701014,2.221452582228077,2.210017088714629,1
games,500,1000,2,6,0.043651583224016605,2.2346151973647546,2.223028208906967,1
games,500,1000,2,6,0.05248074602497726,2.207465839874802,2.204749435693583,1
games,500,1000,2,6,0.06309573444801933,2.210105872491491,2.209066815995407,1
games,500,1000,2,6,0.07585775750291836,2.2297907418982446,2.2347206819288536,1
games,500,1000,2,6,0.09120108393559097,2.273324316582821,2.279462436180298,1
games,500,1000,2,6,0.1096478196143185,2.245343184325064,2.2496536510566494,1
games,500,1000,2,6,0.13182567385564073,2.2690432107596585,2.2701377385804524,1
games,500,1000,2,6,0.15848931924611132,2.347307637623501,2.342599839650121,1
games,500,1000,2,6,0.19054607179632474,1.1523639183840118,1.2297606918677115,1
games,500,1000,2,6,0.22908676527677735,1.1867795307397477,1.269366661310849,1
games,500,1000,2,6,0.2754228703338166,1.2467333914618175,1.3325942434682239,1
games,500,1000,2,6,0.3311311214825911,2.84876197021362,2.2641384165701095,1
games,500,1000,2,6,0.3981071705534973,2.412181763776015,1.967394820587441,1
games,500,1000,2,6,0.47863009232263826,2.5542908301236844,2.157430245716489,1
games,500,1000,2,6,0.5754399373371569,1.0255181432424694,1.115202385497024,1
games,500,1000,2,6,0.6918309709189365,1.3042737949727443,1.414320321548877,1
games,500,1000,2,6,0.8317637711026709,0.9696558937706291,1.0985319684839299,1
games,500,1000,2,6,0.01,0.8705666697440416,0.8692730120764081,2
games,500,1000,2,6,0.012022644346174132,0.8650077731854623,0.8637999459282992,2
games,500,1000,2,6,0.014454397707459272,0.8678844375581435,0.8666805867110902,2
games,500,1000,2,6,0.017378008287493755,0.8787628787634232,0.8769863928270115,2
games,500,1000,2,6,0.020892961308540396,0.8833113064164025,0.881617799188579,2
games,500,1000,2,6,0.025118864315095794,0.8810214808225447,0.8793211747871554,2
games,500,1000,2,6,0.030199517204020164,0.8935989433242135,0.8892772579269836,2
