BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,dataset,rep
-2.6170661293745856,-2.399730631657724,-2.665461166469909,-2.397801123287748,-3.4217023185620588,-3.2360266235082973,-2.7760613498913864,-2.7080502009916643,-2.655064907996955,35,16
-0.928578891648408,-0.9272305502097358,-0.9293117860318424,-0.927246116462666,-1.456012193273708,-1.63648777039227,-0.9933121001878004,-0.9821992570970286,-0.9656110126268438,18,35
-2.448853638805129,-2.086346155309281,-2.5661012559813345,-2.0980841011518363,-2.580524413239461,-2.3057662195495188,-3.161997632814485,-3.0734061502500767,-2.723461823682785,52,34
-1.272993172252641,-1.2739901741915134,-1.274925092851224,-1.2728959392862615,-1.8476804034129408,-1.8479073060681428,-1.3114731027824045,-1.3051193649519814,-1.3227083848441938,24,42
-1.1458492027717149,-1.1167022549410373,-1.1472699700680489,-1.1147508145996328,-1.1619957212962917,-1.1503477215585514,-1.2293853201553135,-1.1951299306051262,-1.1751771688523225,8,9
-1.3948262209811428,-0.8241969390982712,-1.5551339963201454,-0.8529567756972234,-2.114397013126668,-1.4284664049679658,-3.485915967304137,-2.670564022018436,-2.2137244449223856,42,7
-2.40785025253037,-1.520575089467672,-2.642495017529224,-1.532052004044329,-3.747438142486122,-2.150147538860277,-5.559391978764009,-4.337798219424699,-3.803335374973587,45,4
-1.2510121245327823,-1.2298833594228624,-1.2621793853896373,-1.228052651035887,-1.387496102116038,-1.301222559408748,-1.993293935885181,-1.713361252932231,-1.3990314668060992,2,7
-2.4444435469320043,-2.341116591298452,-2.508953135516755,-2.339623864847895,-2.611847786308995,-2.480872774749817,-2.8257262397930023,-2.6297700185036743,-2.6458087824346914,53,38
-2.10117028075473,-2.063164221541403,-2.1351106198371284,-2.0568649044742227,-2.1472331773115814,-2.118880690382453,-2.3275234359267247,-2.240876916383606,-2.201272042213984,14,40
-1.388641035602222,-0.7734456702400763,-1.563950404442227,-0.8038783908835319,-2.105669001779182,-1.4125149210254329,-3.4532062791163467,-2.6707070486728486,-2.2117737371198887,42,15
-2.4919241351750685,-2.0839107570089848,-2.616183898129009,-2.0922059457469584,-2.625269384825011,-2.405373531328912,-3.1647450859549413,-3.074589230096202,-2.766327925439053,52,39
-2.4139017830167435,-1.5055995538145954,-2.6513254416045133,-1.5145650743205297,-3.7654149170883344,-2.1576832006362934,-5.569899867927516,-4.35472536623042,-3.8165028239475385,45,23
-1.521179306861143,-1.5192588836380716,-1.522164381240065,-1.5180928968367515,-1.535728327029367,-1.558312254509495,-1.534642446393631,-1.536911988907148,-1.524950670783671,7,36
-0.6983385622943453,-0.6582091477819909,-0.7981808368169437,-0.7913949440503245,-2.554258979349065,-1.2084695929395022,-4.387732924680548,-3.051439690012556,-2.41694508774924,6,10
-1.4010201588568216,-0.7817338779258242,-1.5804364251761056,-0.8010114816166705,-2.123526194351184,-1.4255610636365026,-3.469731511629016,-2.6800483814544305,-2.217346423293299,42,45
-0.9585993000100757,-0.9450632189951906,-0.9656886828455874,-0.944916589291214,-1.0131948058992493,-0.9979877643839284,-1.5102982186741358,-1.3996456768135437,-1.0949108388380566,4,42
-1.1497424379734114,-1.1205338046281368,-1.1504662025319423,-1.118215017169876,-1.1618166378163135,-1.1493103399498326,-1.2332183986616123,-1.1999344702929726,-1.1780922100519429,8,33
-0.8119831905983845,-1.6723729364670306,-0.8889782213624795,-0.8370888445772408,-1.3733891461941714,-0.2970383734035299,-3.0364504742250515,-2.2089774308592256,-1.674553810967711,9,33
-2.639167924709627,-2.630587872177028,-2.668284006052587,-2.619068098597209,-3.4474852852398543,-3.412422948735515,-2.7714555548752418,-2.7080502009916643,-2.6631454693648475,35,29
-1.393160244264418,-1.3907436153536266,-1.394416169332498,-1.3907275606993248,-5.372017429454411,-4.875401265445824,-1.3924898460026391,-1.3924310009366716,-1.3921557928054151,28,30
-1.143462124994157,-1.113794580617296,-1.1452599210771104,-1.111998468066457,-1.160980953792034,-1.1309876134515722,-1.2262833002293383,-1.1928001128793797,-1.1722731616888848,8,29
-0.9272869482140682,-0.925547630534856,-0.9280882337371352,-0.925475135669794,-1.404067902901048,-1.617404829054179,-0.992672898485604,-0.978710564370454,-0.9708412879897388,18,10
-2.389200639579213,-1.5601028189702315,-2.606808602356129,-1.5639177080508269,-3.7683282993137937,-2.17564596972694,-5.612148188482565,-4.351043843547748,-3.813592159632411,45,16
-1.2252115082172867,-1.2159383435125046,-1.2288104106750102,-1.216072169448968,-2.1611420627519413,-2.2086483546379494,-1.562505424412408,-1.490881583515434,-1.3159529561145162,25,35
-1.4138307299381048,-1.3983809149236048,-1.4150482945858711,-1.3964085337887682,-1.436690004414848,-1.423460512891529,-1.469651053346545,-1.4394243699859282,-1.4312100546549806,1,36
-0.9593101757876564,-0.9462613138357272,-0.966534680810714,-0.9463781973174752,-1.0122822058521683,-0.999265967466106,-1.5189734371234958,-1.4081421229439737,-1.0957882511574828,4,8
-2.098303278420225,-2.063314604971767,-2.132192441330163,-2.0555114455127126,-2.142310230933345,-2.0933734285430523,-2.338247816152476,-2.253849894351617,-2.2003080119877594,14,48
