Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Moscow,1980,100m,Backstroke,0,Men,SWE,Bengt Baron,56.530,1
Moscow,1980,100m,Backstroke,0,Men,URS,Viktor Kuznetsov,56.990,2
Moscow,1980,100m,Backstroke,0,Men,URS,Vladimir Dolgov,57.630,3
Moscow,1980,100m,Backstroke,0,Men,TCH,Miloslav Rolko,57.740,4
Moscow,1980,100m,Backstroke,0,Men,HUN,Sandor Wladar,57.840,4
Moscow,1980,100m,Backstroke,0,Men,NED,Fred Eefting,57.950,4
Moscow,1980,100m,Backstroke,0,Men,AUS,Mark Tonelli,57.980,4
Moscow,1980,100m,Backstroke,0,Men,GBR,Gary Abraham,58.380,4
Moscow,1980,100m,Backstroke,0,Women,GDR,Rica Reinisch,00:01:00.860000,1
Moscow,1980,100m,Backstroke,0,Women,GDR,Ina Kleber,00:01:02.070000,2
Moscow,1980,100m,Backstroke,0,Women,GDR,Petra Riedel,00:01:02.640000,3
Moscow,1980,100m,Backstroke,0,Women,ROU,Carmen Bunaciu,00:01:03.810000,4
Moscow,1980,100m,Backstroke,0,Women,BEL,Carine Verbauwen,00:01:03.820000,4
Moscow,1980,100m,Backstroke,0,Women,URS,Larisa Gorchakova,00:01:03.870000,4
Moscow,1980,100m,Backstroke,0,Women,NED,Monique Bosga,00:01:04.470000,4
Moscow,1980,100m,Backstroke,0,Women,ITA,Manuela Carosi,00:01:05.100000,4
Moscow,1980,100m,Breaststroke,0,Men,GBR,Duncan Goodhew,00:01:03.340000,2
Moscow,1980,100m,Breaststroke,0,Men,URS,Arsens Miskarovs,00:01:03.820000,3
Moscow,1980,100m,Breaststroke,0,Men,AUS,Peter Evans,00:01:03.960000,4
Moscow,1980,100m,Breaststroke,0,Men,URS,Aleksandr Fedorovski,00:01:04.000000,4
Moscow,1980,100m,Breaststroke,0,Men,HUN,Janos Dzvonyar,00:01:04.670000,4
Moscow,1980,100m,Breaststroke,0,Men,AUS,Lindsay Spencer,00:01:05.040000,4
Moscow,1980,100m,Breaststroke,0,Men,COL,Pablo Restrepo,00:01:05.910000,4
Moscow,1980,100m,Breaststroke,0,Men,SWE,Peter Berggren,,5
Moscow,1980,100m,Breaststroke,0,Women,GDR,Ute Geweniger,00:01:10.220000,1
Moscow,1980,100m,Breaststroke,0,Women,URS,Elvira Vasilkova,00:01:10.410000,2
Moscow,1980,100m,Breaststroke,0,Women,DEN,Susanne Schultz Nielsson,00:01:11.160000,3
Moscow,1980,100m,Breaststroke,0,Women,GBR,Margaret Kelly-Hohmann,00:01:11.480000,4
Moscow,1980,100m,Breaststroke,0,Women,SWE,Eva-Marie Hakansson,00:01:11.720000,4
Moscow,1980,100m,Breaststroke,0,Women,GBR,Susannah Brownsdon,00:01:12.110000,4
Moscow,1980,100m,Breaststroke,0,Women,URS,Lina Kachushite,00:01:12.210000,4
Moscow,1980,100m,Breaststroke,0,Women,ITA,Monica Bonon,00:01:12.510000,4
Moscow,1980,100m,Butterfly,0,Men,SWE,Pär Arvidsson,54.920,1
Moscow,1980,100m,Butterfly,0,Men,GDR,Roger Pyttel,54.940,2
Moscow,1980,100m,Butterfly,0,Men,ESP,David Lopez-Zubero Purcell,55.130,3
Moscow,1980,100m,Butterfly,0,Men,NED,Kees Vervoorn,55.250,4
Moscow,1980,100m,Butterfly,0,Men,URS,Evgeni Seredin,55.350,4
