Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Amsterdam,1928,100m,Backstroke,0,Men,USA,George Harold Kojac,00:01:08.200000,1
Amsterdam,1928,100m,Backstroke,0,Men,USA,Walter Laufer,00:01:10.000000,2
Amsterdam,1928,100m,Backstroke,0,Men,USA,Paul Wyatt,00:01:12.000000,3
Amsterdam,1928,100m,Backstroke,0,Men,JPN,Toshio Iriye,00:01:13.600000,4
Amsterdam,1928,100m,Backstroke,0,Men,GER,Ernst Kuppers,00:01:13.800000,4
Amsterdam,1928,100m,Backstroke,0,Men,GBR,John Charles Preston Besford,00:01:15.400000,4
Amsterdam,1928,100m,Backstroke,0,Men,ITA,Sante Omero,Did not start,0
Amsterdam,1928,100m,Backstroke,0,Men,BEL,Émile Thienpondt,Did not start,0
Amsterdam,1928,100m,Backstroke,0,Women,NED,Maria Johanna Philipsen-Braun,00:01:22.000000,1
Amsterdam,1928,100m,Backstroke,0,Women,GBR,Ellen Elizabeth King,00:01:22.200000,2
Amsterdam,1928,100m,Backstroke,0,Women,GBR,Margaret Joyce Cooper,00:01:22.800000,3
Amsterdam,1928,100m,Backstroke,0,Women,USA,Marion Ulmer Gilman,00:01:24.200000,4
Amsterdam,1928,100m,Backstroke,0,Women,USA,Eleanor Holm,00:01:24.400000,4
Amsterdam,1928,100m,Backstroke,0,Women,USA,Lisa A. Lindstrom,00:01:24.400000,4
Amsterdam,1928,100m,Backstroke,0,Women,NZL,Ena Stockley,00:01:25.800000,4
Amsterdam,1928,100m,Backstroke,0,Women,NED,Willy Den Turk,Did not start,0
Amsterdam,1928,100m,Freestyle,0,Men,USA,Johnny Weissmuller,58.600,4
Amsterdam,1928,100m,Freestyle,0,Men,HUN,Istvan Barany,59.800,4
Amsterdam,1928,100m,Freestyle,0,Men,JPN,Katsuo Takaishi,00:01:00.000000,1
Amsterdam,1928,100m,Freestyle,0,Men,USA,George Harold Kojac,00:01:00.800000,2
Amsterdam,1928,100m,Freestyle,0,Men,USA,Walter Laufer,00:01:01.000000,3
Amsterdam,1928,100m,Freestyle,0,Men,CAN,Walter Spence,00:01:01.400000,4
Amsterdam,1928,100m,Freestyle,0,Men,ARG,Alberto Zorrilla,00:01:01.600000,4
