Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Stockholm,1912,100m,Backstroke,0,Men,USA,Harry J. Hebner,00:01:21.200000,1
Stockholm,1912,100m,Backstroke,0,Men,GER,Otto Fahr,00:01:22.400000,2
Stockholm,1912,100m,Backstroke,0,Men,GER,Paul Kellner,00:01:24.000000,3
Stockholm,1912,100m,Backstroke,0,Men,HUN,András Baronyi,00:01:25.200000,4
Stockholm,1912,100m,Backstroke,0,Men,GER,Otto Gross,00:01:25.800000,4
Stockholm,1912,100m,Backstroke,0,Men,GER,Oscar Schiele,Disqualified,0
Stockholm,1912,100m,Backstroke,0,Men,HUN,János Wenk,Disqualified,0
Stockholm,1912,100m,Backstroke,0,Men,BEL,Oscar Gregoire,Disqualified,0
Stockholm,1912,100m,Freestyle,0,Men,USA,Duke Paoa Kahanamoku,00:01:03.400000,1
Stockholm,1912,100m,Freestyle,0,Men,ANZ,Cecil Healy,00:01:04.600000,2
Stockholm,1912,100m,Freestyle,0,Men,USA,Kenneth Huszagh,00:01:05.600000,3
Stockholm,1912,100m,Freestyle,0,Men,GER,Kurt Bretting,00:01:05.800000,4
Stockholm,1912,100m,Freestyle,0,Men,GER,Walther Ramme,00:01:06.400000,4
Stockholm,1912,100m,Freestyle,0,Men,ITA,Mario Massa,Did not finish,0
Stockholm,1912,100m,Freestyle,0,Men,GER,Walther Binner,Did not start,0
Stockholm,1912,100m,Freestyle,0,Men,HUN,Alois Ferenc Kenyery,Did not start,0
Stockholm,1912,100m,Freestyle,0,Women,ANZ,Fanny Durack,00:01:22.200000,1
Stockholm,1912,100m,Freestyle,0,Women,ANZ,Mina Wylie,00:01:25.400000,2
Stockholm,1912,100m,Freestyle,0,Women,GBR,Jennie Fletcher,00:01:27.000000,3
Stockholm,1912,100m,Freestyle,0,Women,GER,Grete Rosenberg,00:01:27.200000,4
Stockholm,1912,100m,Freestyle,0,Women,GBR,Annie Speirs,00:01:27.400000,4
Stockholm,1912,100m,Freestyle,0,Women,GBR,Irene Steer,Disqualified,0
Stockholm,1912,100m,Freestyle,0,Women,NOR,Aagot Normann,Did not finish,0
Stockholm,1912,1500m,Freestyle,0,Men,CAN,George Ritchie Hodgson,00:22:00.000000,1
Stockholm,1912,1500m,Freestyle,0,Men,GBR,John Gatenby Hatfield,00:22:39.000000,2
Stockholm,1912,1500m,Freestyle,0,Men,ANZ,Harold H. Hardwick,00:23:15.400000,3
Stockholm,1912,1500m,Freestyle,0,Men,ANZ,Malcolm Champion,Did not finish,0
Stockholm,1912,1500m,Freestyle,0,Men,HUN,Béla Las Torres,Did not finish,0
Stockholm,1912,1500m,Freestyle,0,Men,GBR,Henry Taylor,Did not finish,0
Stockholm,1912,1500m,Freestyle,0,Men,NOR,Herbert Mauritz Wetter,Did not finish,0
Stockholm,1912,1500m,Freestyle,0,Men,FRA,Auguste Caby,Did not finish,0
Stockholm,1912,200m,Breaststroke,0,Men,GER,Walter Bathe,00:03:01.800000,1
Stockholm,1912,200m,Breaststroke,0,Men,GER,Willy Lützow,00:03:05.000000,2
Stockholm,1912,200m,Breaststroke,0,Men,GER,Kurt Paul Malisch,00:03:08.000000,3
Stockholm,1912,200m,Breaststroke,0,Men,GBR,Percy Courtman,00:03:08.800000,4
Stockholm,1912,200m,Breaststroke,0,Men,SWE,Tor Henning,Did not finish,0
Stockholm,1912,200m,Breaststroke,0,Men,SWE,Pontus Hansson,Did not finish,0
Stockholm,1912,200m,Breaststroke,0,Men,USA,Mike Mcdermott,Disqualified,0
Stockholm,1912,200m,Breaststroke,0,Men,GBR,George Innocent,Disqualified,0
Stockholm,1912,400m,Breaststroke,0,Men,GER,Walter Bathe,00:06:29.600000,1
Stockholm,1912,400m,Breaststroke,0,Men,SWE,Tor Henning,00:06:35.600000,2
Stockholm,1912,400m,Breaststroke,0,Men,GBR,Percy Courtman,00:06:36.400000,3
Stockholm,1912,400m,Breaststroke,0,Men,GER,Kurt Paul Malisch,00:06:37.000000,4
Stockholm,1912,400m,Breaststroke,0,Men,GER,Willy Lützow,Did not finish,0
Stockholm,1912,400m,Breaststroke,0,Men,AUT,Zeno Von Siengalewicz,Did not finish,0
Stockholm,1912,400m,Breaststroke,0,Men,GBR,George Innocent,Did not finish,0
Stockholm,1912,400m,Breaststroke,0,Men,AUT,Josef Wastl,Did not finish,0
Stockholm,1912,400m,Freestyle,0,Men,CAN,George Ritchie Hodgson,00:05:24.400000,1
Stockholm,1912,400m,Freestyle,0,Men,GBR,John Gatenby Hatfield,00:05:25.800000,2
