Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Barcelona,1992,100m,Backstroke,0,Men,CAN,Mark Tewksbury,53.980,1
Barcelona,1992,100m,Backstroke,0,Men,USA,Jeff Norman Rouse,54.040,2
Barcelona,1992,100m,Backstroke,0,Men,USA,David Charles Berkoff,54.780,3
Barcelona,1992,100m,Backstroke,0,Men,ESP,Martin Lopez Zubero,54.960,4
Barcelona,1992,100m,Backstroke,0,Men,EUN,Vladimir Selkov,55.490,4
Barcelona,1992,100m,Backstroke,0,Men,FRA,Franck Schott,55.720,4
Barcelona,1992,100m,Backstroke,0,Men,CUB,Rodolfo Falcon Cabrera,55.760,4
Barcelona,1992,100m,Backstroke,0,Men,GER,Dirk Richter,56.260,4
Barcelona,1992,100m,Backstroke,0,Women,HUN,Krisztina Egerszegi,00:01:00.680000,1
Barcelona,1992,100m,Backstroke,0,Women,HUN,Tunde Szabo,00:01:01.140000,2
Barcelona,1992,100m,Backstroke,0,Women,USA,Lea Loveless,00:01:01.430000,3
Barcelona,1992,100m,Backstroke,0,Women,AUS,Nicole Livingstone,00:01:01.780000,4
Barcelona,1992,100m,Backstroke,0,Women,USA,Elizabeth Wagstaff,00:01:01.810000,4
Barcelona,1992,100m,Backstroke,0,Women,AUS,Joanne Marie Meehan,00:01:02.070000,4
Barcelona,1992,100m,Backstroke,0,Women,EUN,Nina Alexandrovna Zhivanevskaya,00:01:02.360000,4
Barcelona,1992,100m,Backstroke,0,Women,JPN,Yoko Koikawa,00:01:03.230000,4
Barcelona,1992,100m,Breaststroke,0,Men,USA,Nelson Diebel,00:01:01.500000,1
Barcelona,1992,100m,Breaststroke,0,Men,HUN,Norbert Rozsa,00:01:01.680000,2
Barcelona,1992,100m,Breaststroke,0,Men,AUS,Philip John Rogers,00:01:01.760000,3
Barcelona,1992,100m,Breaststroke,0,Men,JPN,Akira Hayashi,00:01:01.860000,4
Barcelona,1992,100m,Breaststroke,0,Men,EUN,Vassili Ivanov,00:01:01.870000,4
Barcelona,1992,100m,Breaststroke,0,Men,EUN,Dmitri Volkov,00:01:02.070000,4
Barcelona,1992,100m,Breaststroke,0,Men,GBR,Nick Gillingham,00:01:02.320000,4
Barcelona,1992,100m,Breaststroke,0,Men,GBR,Adrian David Moorhouse,00:01:02.330000,4
Barcelona,1992,100m,Breaststroke,0,Women,EUN,Elena Rudkovskaya,00:01:08.000000,1
Barcelona,1992,100m,Breaststroke,0,Women,USA,Anita Nall,00:01:08.170000,2
Barcelona,1992,100m,Breaststroke,0,Women,AUS,Samantha Linette Riley,00:01:09.250000,3
Barcelona,1992,100m,Breaststroke,0,Women,CAN,Guylaine Cloutier,00:01:09.710000,4
Barcelona,1992,100m,Breaststroke,0,Women,GER,Jana Dörris,00:01:09.770000,4
Barcelona,1992,100m,Breaststroke,0,Women,HUN,Gabriella Csepe,00:01:10.190000,4
Barcelona,1992,100m,Breaststroke,0,Women,ITA,Manuela Dalla Valle,00:01:10.390000,4
Barcelona,1992,100m,Breaststroke,0,Women,GER,Daniela Brendel,00:01:11.050000,4
Barcelona,1992,100m,Butterfly,0,Men,USA,Pablo Morales,53.320,1
Barcelona,1992,100m,Butterfly,0,Men,POL,Rafal Szukala,53.350,2
Barcelona,1992,100m,Butterfly,0,Men,SUR,Anthony Conrad Nesty,53.410,3
Barcelona,1992,100m,Butterfly,0,Men,EUN,Pavlo Khnykin,53.810,4
Barcelona,1992,100m,Butterfly,0,Men,USA,Melvin Stewart,54.040,4
Barcelona,1992,100m,Butterfly,0,Men,CAN,Marcel Gery,54.180,4
Barcelona,1992,100m,Butterfly,0,Men,ESP,Martin Lopez Zubero,54.190,4
Barcelona,1992,100m,Butterfly,0,Men,EUN,Vladislav Kulikov,54.260,4
Barcelona,1992,100m,Butterfly,0,Women,CHN,Hong Qian,58.620,3
Barcelona,1992,100m,Butterfly,0,Women,USA,Christine Ahmann-Leighton,58.740,4
Barcelona,1992,100m,Butterfly,0,Women,FRA,Catherine Plewinski,59.010,4
Barcelona,1992,100m,Butterfly,0,Women,CHN,Xiaohong Wang,59.100,4
