std_model,old_newman,parrallel,numpy,m
0.3514848640188575,0.5852665668353438,6.1358054568991065,0.362975203897804,100
0.9910997501574457,0.9800382368266582,8.518122446257621,0.07647399371489882,278
2.9222933962009847,2.0385037660598755,11.240276591386646,0.20178052596747875,774
5.694676767569035,3.349872977938503,11.514245097059757,17.998823286034167,2154
14.800704196095467,7.8662164141424,17.40941175026819,46.91935952426866,5994
36.818974906113,19.272719780914485,25.048368097282946,124.9309586151503,16681
103.00183893134817,57.29341710731387,69.41950134467334,348.6170526430942,46415
259.04293333087116,171.95691403374076,219.68389559583738,829.6031852546148,129154
590.4413048955612,498.16878774389625,654.3699469938874,1902.1331571950577,359381
1297.4378980663605,1439.7358537460677,1801.9043767843395,4264.496845387854,1000000
