ho_likelihood,hol_likelihood,std_likelihood
-3.7143973065015286,-2.288386728303259,-2.4864826276646546
0.7136200469863564,0.3530806157719902,0.6872174294971627
-0.9064772485776127,-0.9497218728371206,-0.7167394368005107
-1.7767389772027136,-2.2988237233958593,-2.356903222760833
-3.19702547326127,-2.646639020603429,-2.962603637520412
-1.4944779834185098,-1.8153930050165301,-1.779900779090082
-2.2172131247942284,-1.9785832929041383,-1.9454305029252998
-1.7983486297431166,-2.1280956624187946,-2.3147773286009765
-2.7827791418614485,-2.147664526409053,-2.1816412210289893
-1.9553683994053295,-1.8617875890173539,-1.8443075448461757
-2.2105274421360304,-2.1411970963537303,-2.1621360832470873
-2.0034186948800397,-2.464551291049064,-2.7239239101616324
-2.58464122707038,-2.317230691996276,-2.4097436927376106
-2.3251903974735084,-1.6253828302857851,-1.2723862764229337
-2.894134605295369,-2.2563725315252,-2.3045921923919135
-1.9240733048962388,-2.5028557273482797,-2.781321467942157
-2.527960269308882,-2.329170961095276,-2.526610465409865
-2.068373494029376,-0.6461759410470521,-0.5331678690881516
-2.1381815681332124,-1.9180553096450152,-1.9043284730090557
-0.763418830379519,-0.905680132068393,-0.6363296614182508
-2.1557313646199154,-2.0346436591008996,-2.0168059612802134
-0.2670223629236871,-0.1757027021021132,1.0369254234211414
-1.9460995469112952,-2.1573577937286883,-2.251278853314013
-1.1448758080757424,-1.1041782645081564,-0.5183387167641302
-1.6846792279234282,-2.164086288736792,-2.13260742807777
-2.336394914402662,-2.520781052387013,-2.906401187190838
-2.0497940359584526,-1.8692516111131516,-1.8501460324880947
-1.0845477364094465,-2.01411305780783,-2.113715640271186
-1.9401878224140434,-2.1706043897972864,-2.2969959956199792
