BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,ratio,rep
1.775896979875452,1.7629697847848282,1.774733760014272,1.7655346413461546,1.7906110498187249,1.7778675407902718,3.5414511491199714,3.4787553309390025,20.749930596039643,0.06812920690579612,96
1.8299007917796863,1.8268275181157407,1.8300289333669704,1.827565579590675,1.8383488688427392,1.843503568414224,2.105233393518866,2.0919883016707206,22.735151820360564,0.01,40
1.8010292109984256,1.799778358644124,1.8008865454770653,1.7999254223843382,1.982543477375682,2.235359667175925,1.909170239779752,1.9032447669189263,22.9283625687974,0.004641588833612777,22
1.3473328188361613,1.1367942015451633,1.407994762340444,1.1630062293018792,1.6393092959700164,1.5368282915260871,2.2344035667778823,2.0325873829913585,1.877966650401665,2.154434690031882,14
1.6019417894762171,1.471169948115043,1.6071259899661676,1.4894805546571137,1.718418758195463,1.641084569095815,3.6560760768334712,3.45362725969271,7.948855787187302,0.6812920690579608,78
1.792295962315074,1.7921490088152536,1.7922751636565035,1.7921676442071468,1.835658612782105,1.901590302625798,1.8062295414953824,1.8050485825606848,23.057935439707357,0.001,90
1.3591455388633222,1.1456100510294909,1.4190686749672468,1.1701790520051274,1.657427470561864,1.56487746757529,2.2294025247221065,2.030555495122185,1.8534346436198796,2.154434690031882,67
1.7339009673134913,1.6789414524100614,1.7296109532773227,1.6874691616861417,1.7689693433328657,1.7422238924102331,4.802469960711484,4.670205987356045,16.464844916025122,0.21544346900318823,22
1.7207147818707795,1.6651156459483252,1.716618422068729,1.6734641806468071,1.7556061375519665,1.712453042863224,4.76604709860336,4.640737561753161,16.387366405046993,0.21544346900318823,75
1.7914662192964677,1.7901489708501794,1.79132840427979,1.7903327916610894,1.963899389220921,2.2079396040429136,1.889795822636109,1.8839564073305293,22.93153318173321,0.004641588833612777,65
1.7672051019964852,1.7271730154180054,1.762133209796336,1.7315320735953366,1.77988867993483,1.7714205214188892,4.476733945097459,4.381750689379241,18.29666466252359,0.1467799267622069,1
1.8284322603844947,1.8283387176272223,1.828669490319188,1.8288693943111447,2.002414242247316,1.8389405720785528,2.11492285832076,2.1004488993255794,22.731142482374413,0.01,42
1.7976937323035067,1.7980271063464868,1.7978580663392258,1.7983452151364072,1.808152788174539,1.8121408848892688,1.9847869063537131,1.973656917440555,22.84646382145474,0.006812920690579608,24
1.801211862141327,1.8005893256323418,1.8011586700622209,1.800681140668246,1.925108589458418,2.101409719141706,1.8637792337808223,1.859878427188746,22.98461684780773,0.0031622776601683794,8
1.7349805054527538,1.6726670760842863,1.7292663057262714,1.6800125828086454,1.7536795204571676,1.7170235444445754,4.78590242760222,4.662251027753984,16.376291571500992,0.21544346900318823,79
1.3261922065258471,1.0416630725667273,1.400735115347519,1.0710887155128028,1.6265452359125,1.5544818110917356,2.2148728092668004,2.087623122111724,1.783273780847729,3.1622776601683795,54
1.7062970000011757,1.6652326049521091,1.7040278034224212,1.674261641275373,1.7467881769474285,1.7217557776341266,4.774806290061108,4.643334169231044,16.45460622006652,0.21544346900318823,66
1.1781833123682417,0.6794533033931128,1.2623847354291045,0.6854837242295303,1.456629584240779,1.31534084210798,2.148457128505356,2.1601161299111484,1.7213015044038775,10.0,12
1.7768450869200914,1.748934032531769,1.7737916352334626,1.751917265881657,1.7895789443302144,1.7660191027567786,4.023485104099216,3.946145558911093,19.737533334242205,0.1,86
1.8053209592286312,1.8049142867831147,1.805257057309732,1.80495053872854,1.8803153092366405,1.9911304445502624,1.831354129618428,1.829089008974756,23.02614890415528,0.0021544346900318843,72
1.7094398091960603,1.6037138933562205,1.7085783394710063,1.6213410575253522,1.7796614506091497,1.7180971202845392,4.35654578891736,4.187209975060076,11.03227598412738,0.46415888336127775,84
1.811803430862282,1.790293816520654,1.8104589103614803,1.79331362554101,1.845449345147239,1.81502692508064,3.615331442807083,3.5537614661889463,20.713943603340937,0.06812920690579612,36
1.801598027822895,1.8015745516673325,1.8015760871362945,1.8015934360790893,1.8602455158360267,1.8061660280131544,1.8250328575937376,1.8233033858478185,23.0448722964055,0.0014677992676220691,3
1.7433747416312504,1.6716553116409056,1.7397702076860972,1.6827124395799071,1.7918640944691135,1.752553822783258,4.787718607806094,4.639851586616784,13.993919120363252,0.31622776601683794,69
1.426082684588634,1.2520101816698264,1.4728505612295582,1.2801472140655137,1.6638314481858514,1.5941085041344767,2.382551773063782,2.140690310269344,2.7496441433544243,1.467799267622069,54
1.2887264876755966,1.0314721064365835,1.3582788536244532,1.052260404217625,1.5814455624050363,1.505857135194615,2.1668827632908787,2.0380019624155787,1.737421793976342,3.1622776601683795,80
1.2197986666195582,0.7830031290140819,1.304284975233623,0.8027213977513907,1.5647224849747876,1.3757103637009391,2.186781576044976,2.1559333908415077,1.747087907851684,6.812920690579608,91
1.7980450372352437,1.796269189313537,1.797888899417639,1.7966717587601548,1.9617552912568064,1.8068475567611075,2.0715161154173414,2.05830951291943,22.733455243126315,0.01,18
1.801565264632434,1.801075438159725,1.8015689039045373,1.8011682297525948,1.8574820164382928,1.9357525737355996,1.819619929227075,1.818095693591357,23.046482751271043,0.0014677992676220691,9
1.52957089408807,1.3755570888938882,1.5513310480611355,1.398217353658071,1.702020750455557,1.6175516387857387,2.902159685299844,2.668356424248943,5.049591810784933,1.0,28
1.5416047086586235,1.3879252177342725,1.5673784644390876,1.4151200891944584,1.721039148369052,1.6644849910387678,2.8650676312958843,2.6256782996105628,4.810553949716636,1.0,95
