newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,dataset
0.4957050279691826,0.3670037003159302,0.4995075869062136,0.3681408778783727,0.6391474769861866,0.4894375104223203,-0.4209546160892831,-0.25989108997823,0.4709899061192552,M-2580
0.9338705936748236,0.8372593457143737,0.9380240358569611,0.8425047225641888,0.9106709000282384,0.8241927603873037,-0.8456285365270418,-0.595467905814696,0.9174841659854024,M-16384
0.1566890338466869,0.1032998494816841,0.1573004736288729,0.1041492247690737,0.4256482324667924,0.3158054655209097,-0.1438956437089205,-0.0869787599142562,0.1496676470965958,M-1024
0.996238329321533,0.988231353577254,0.996578550647142,0.9889777615751104,0.9939203092928124,0.9840427722257108,-0.9845252393490094,-0.8755754556310181,0.9951092584340598,M-262144
0.99621075101643,0.9879178393567136,0.9965348948373955,0.9886544636101784,0.9937725603909024,0.9828534208821368,-0.9843320406129056,-0.882359483987556,0.9950921643246065,M-262144
0.9906390633375624,0.9722221802968872,0.99134200618168,0.9734964592918582,0.9843244093569762,0.9622864419794576,-0.965700816307569,-0.8065953740269807,0.987338044215506,M-104031
0.4731664140509105,0.3460075568713336,0.4768430188456471,0.3488834962612209,0.6410064864043191,0.4932792950349036,-0.397516285826299,-0.2322497357805938,0.4450674877209885,M-2580
0.8159311723163697,0.668541619580291,0.8222796304790946,0.6734324014967284,0.8122269559265313,0.6830440769578295,-0.6845283299464293,-0.4263756663172108,0.7874228562889686,M-6501
0.0372839607647982,0.0206427131854943,0.0372184422175296,0.0204634182495741,0.26992313339009,0.2042407450758696,-0.035586256135569,-0.0172143345933641,0.0365064912015775,M-406
0.976471603378864,0.9308327095533082,0.9781338301973532,0.9343360409574416,0.9632516922174976,0.9170329985956056,-0.9277080897544172,-0.7017671833350377,0.9696568786906796,M-41285
0.996329551213182,0.9886062170802484,0.996554178070167,0.9893696645027864,0.9938455461218216,0.9838390223935608,-0.984970556870822,-0.8865353732534149,0.9950755241882836,M-262144
0.0561088030606565,0.0404632647476995,0.0563367360958067,0.0409715734124851,0.2649814472926849,0.1812417407651414,-0.0537946975896984,-0.0380989636781066,0.0548931906800127,M-406
0.93440199670408,0.8427777138391084,0.9388010419360416,0.8471958565438342,0.9089961826130242,0.8261334247130216,-0.8408679894755401,-0.5783366490255013,0.9203917338073414,M-16384
0.4887305055466159,0.3674181096242355,0.4897176187041556,0.3679399527578786,0.6519063464447328,0.5074452879799163,-0.4122994741418077,-0.2503914387784393,0.465171838803146,M-2580
0.9762189719767588,0.9274069592082782,0.9781471924378876,0.9313433626617345,0.9621426062888296,0.9146965753474752,-0.9265586235865744,-0.7061005467882326,0.9689939696130854,M-41285
0.4943186113512413,0.3713948947536306,0.4969594703479065,0.3729642195942617,0.6481543017278775,0.5026429763042313,-0.4253113171838295,-0.2737961242796595,0.4712776761176908,M-2580
-0.0175703216887774,-0.0185720445062017,-0.0175679462511593,-0.0185714111639194,0.1055926173962815,0.0910850453246557,0.0175334626017494,0.0186776931796984,-0.0175813665693839,M-64
0.019502809061491,0.0184283746828669,0.0195025486328019,0.0184252933326001,0.1091356675760472,0.0757140561303253,-0.0194670772132425,-0.0183166652527229,0.0195096487060496,M-64
0.0362598033112558,0.0194484994749943,0.0365210858707831,0.0193602651031378,0.263062107890413,0.1895619788998828,-0.0346650805792511,-0.0177747892643899,0.0353297103041156,M-406
0.9962942146677684,0.9878091858803671,0.99659825416793,0.9885837373353492,0.9937816164552646,0.9839062341082492,-0.9857209977328398,-0.8843116297404651,0.9950413017806806,M-262144
0.936615480504619,0.8421523806620951,0.940145076837803,0.8488221484488859,0.9109211192065214,0.8270910467503639,-0.8427648113305671,-0.568758589621068,0.919052071293494,M-16384
0.9751009125400364,0.92916450193458,0.9768450808338032,0.9329702463108096,0.9616730341132496,0.9161340049155378,-0.9256935735650648,-0.7039643035078523,0.9677486365946996,M-41285
0.9964339435373576,0.98870700249228,0.9966961396118456,0.9893129142925164,0.9940440384177616,0.9841868286794732,-0.9828944611701362,-0.8860589355914191,0.9952806212181384,M-262144
0.1515718590196263,0.0996335095657108,0.1518430981584503,0.0979266038460941,0.4229051352371769,0.3151354942652944,-0.1381710059611695,-0.0803289995313687,0.1449752092247315,M-1024
0.9750432713537308,0.9303643278385728,0.9768872232034888,0.9327883976315358,0.9617637168015828,0.9163696035968448,-0.9256703447404682,-0.712848493209928,0.9677155605085582,M-41285
0.9962154865046192,0.9878790870351634,0.9965063862922554,0.9885916600236662,0.9937534448701376,0.9834051787922072,-0.9852361932250936,-0.8855004384172696,0.9949872961339192,M-262144
0.0009576904879497,-0.0001407156093273,0.0009577353810387,-0.0001363890482451,0.0981779744843533,0.0774528672282447,-0.0007465495329783,0.0002574564612816,0.0008355559117399,M-64
0.9375398233575928,0.842949076725963,0.940965426150617,0.8474425099297003,0.9131945452915337,0.8287296655791854,-0.8452016979059478,-0.5939187764507151,0.9225962021674434,M-16384
0.8218721136940734,0.6598682834519162,0.8285544002155972,0.6649629804860827,0.815412011517751,0.6729929288215275,-0.6846476254339698,-0.4208015285761041,0.7919030370048946,M-6501
0.9901872335594892,0.9705988339599532,0.9908890292035608,0.9720733388189337,0.9838575856263032,0.9616661349786454,-0.9662504445499788,-0.8124911658336289,0.9869485650523048,M-104031
0.0051478404246649,0.0040171923842314,0.0051494177006903,0.0040171827937669,0.1158490456532851,0.0852815885170475,-0.0051780865408821,-0.0040878313477237,0.0051042116161356,M-64
