newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,ratio,rep
-0.8839809885383504,-0.8959046971313286,-0.8837756419974184,-0.8950626753885377,-1.1087905154286637,-1.0136202532668346,-2.144543322669742,-1.791355390756203,-1.1967911535436742,25,5
-0.9118148070694452,-1.005797080356395,-0.9089494457926326,-0.9881083990009693,-1.1624528211679706,-1.1109846323171175,-2.1253677300090104,-1.7054644703436403,-1.201979224587145,5,73
-1.0141533157870262,-1.148020739189684,-0.997769269708962,-1.1137048562420615,-1.203739715158695,-1.1864652158036826,-2.1042811085569,-1.6019395153554918,-1.2070628575162623,2,39
-0.8507010966708797,-0.8619666201518292,-0.8501505982080407,-0.8589500052644818,-1.1027147028269126,-0.994355304333321,-2.187640485826686,-1.8504095523525783,-1.191875809747118,25,82
-0.9895592529490018,-1.102164310266586,-0.998239352565274,-1.1107126664185163,-1.2315770730045017,-1.2181137231168622,-2.6534717334347437,-2.1793370764377844,-1.8159556562097603,1,38
-0.9014007284008444,-0.9510213205521144,-0.9017665439019148,-0.9474809204828988,-1.182628247741096,-1.097231096555012,-2.1743819144708536,-1.7238950914301556,-1.1975232976038563,5,64
-1.2373332565452198,-1.3203013569406452,-1.2367256268530646,-1.3123684123142405,-1.3060028124320764,-1.3155489895239767,-3.9883767675042474,-3.719101306159163,-8.682073997914477,0.25,38
-1.0066382189150966,-1.108020447786326,-0.9946696016113044,-1.0885685445666644,-1.2139477537094154,-1.1728016371921748,-2.077724271910666,-1.6033537414090335,-1.2604811722059872,2,14
-1.191597254873055,-1.3293010920346062,-1.1686282473410647,-1.2948044147170856,-1.2725440847468426,-1.293948242373184,-3.817612453409029,-3.481615194540181,-3.722080544880949,0.5,90
-0.860507745606344,-0.8745665796707403,-0.8607313847062269,-0.8747563299404377,-1.118409528660426,-1.0060623839820613,-2.1618579265258817,-1.7953677281597646,-1.1948264816901102,25,44
-1.228518316167457,-1.3286973220439062,-1.222740416619503,-1.3201566240252465,-1.2934944035463902,-1.3295314848170197,-4.326582226009812,-4.072608190128848,-9.082001309195997,0.25,32
-1.233444674890058,-1.263529265103294,-1.2130146712024048,-1.2503556582429678,-1.2821670806516725,-1.276389954056678,-3.448060216700868,-3.123717392884457,-4.661627114566298,0.5,27
-0.9054669692917688,-0.9417982544151272,-0.9042616982030176,-0.9379299447601384,-1.1477610310447897,-1.066391243104403,-2.168448117516671,-1.726751752774951,-1.1961119075180613,10,11
-1.0946275495950082,-1.233162769718502,-1.1039505032128567,-1.2204198383735427,-1.280363052205118,-1.2668662840583216,-3.653518133444737,-3.287990642019759,-5.715290347011074,0.5,63
-0.9918956870897568,-1.1037333050860565,-0.9918717992766104,-1.102834136652212,-1.2260845419949806,-1.2045311811211914,-2.611142887101231,-2.154242530858824,-1.3739139639958022,1,73
-0.9074860997815718,-0.9528355075567188,-0.9038188401185776,-0.9423012994917602,-1.1682751032970389,-1.0825289712020765,-2.17162304738047,-1.7398688710109032,-1.199678811790663,10,23
-0.98236263705363,-1.0772070458578482,-0.9772546002938152,-1.0599352541910896,-1.1824454592174352,-1.178585592142413,-2.116487353885927,-1.6189485303456457,-1.1933486686017345,2,61
-0.8620860236581342,-0.8786725690368027,-0.8613724206826684,-0.8765838596462643,-1.1091704022916389,-1.0093379072133863,-2.158113329788092,-1.7919695126314814,-1.1938047118836368,25,17
-1.1022037724165958,-1.224150186464852,-1.0739197749865574,-1.1910831891439102,-1.226803986770578,-1.1967822023348047,-2.6762487509097594,-2.226916875831479,-2.272548225901916,1,51
-0.8347632623947009,-0.8507402232105146,-0.8335687235817301,-0.8479744974320622,-1.0966389124534026,-0.995605523945152,-2.178388993809528,-1.8371537066171453,-1.1916979420307845,25,64
-1.087975803730434,-1.114918593525084,-1.081432825947884,-1.1064888387972882,-1.2432414337564175,-1.183251542801426,-2.9494648016496323,-2.5131775534086898,-2.1397299978631223,1,27
-0.8446191240753571,-0.8581554960090196,-0.8441618487376334,-0.8569923664653463,-1.1053334194682989,-0.990811615599752,-2.193289007149534,-1.867610366791732,-1.1925973214137051,25,79
