std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,rep
-1.098029869229269,-1.0980201520031505,-1.0980314143626257,-1.0980229601363491,-1.7179002884292705,-1.107568606385826,1000,64,2,3,2
-4.131366600519379,-3.9565118620541315,-4.101575819651284,-3.9721239205250543,-17.441166724442862,-4.123645182998427,1000,64,4,5,9
-11.169084963433566,-11.842405204753176,-11.088382752352345,-11.779642023394397,-81.22310089533372,-11.47058853461806,1000,64,8,9,13
-7.0980480219509055,-7.128684653130374,-6.959274259259643,-7.047681018266008,-52.862588609443605,-6.866324817659807,1000,64,6,7,17
-9.936667230816163,-10.97197334182185,-9.928809700534138,-10.496696210160021,-11.980868352192182,-11.65386916964442,1000,16384,9,10,19
-3.533529113295458,-3.647214434261544,-3.5499436191753215,-3.646718985961667,-18.88147150148739,-3.625715520591654,1000,64,4,5,14
-1.1239613068474972,-1.1119390402569662,-1.1271819744396334,-1.1166403183951172,-6.9379893242751836,-1.083324049303267,1000,64,2,3,4
-16.487612856818465,-16.416132536668115,-15.93470042377606,-16.384717462404303,-110.48392950083176,-16.259910835502243,1000,64,10,11,12
-12.172894822621073,-12.225734649853297,-11.375530069680563,-11.829573556514815,-91.9667582576408,-11.32582280651377,1000,64,8,9,8
-11.61515546943286,-12.212692120517856,-11.073388570701546,-11.901596880704066,-99.52110268771645,-11.413828516264998,1000,64,8,9,0
-10.016905569664132,-10.92519152106082,-10.010699261477075,-10.513040006294025,-12.017559145380305,-11.68957371875784,1000,16384,9,10,14
-3.9686427611091384,-4.12498127364221,-3.966934300307888,-4.107287872431915,-21.32876668553689,-4.062046818311066,1000,64,4,5,1
-7.031822317840187,-7.491198809599539,-7.057772666369255,-7.483196858092509,-55.46660894125811,-7.265906404029744,1000,64,6,7,15
-7.893533392984518,-7.932297046992921,-7.6977831052840235,-7.825861506839538,-45.178451539721124,-7.648008364663633,1000,64,6,7,9
-16.50762336693177,-15.581477983463088,-15.522047858764447,-15.49276509334952,-82.98267804911183,-15.77872141845514,1000,64,10,11,8
-11.697220630753007,-13.017934709178972,-11.687867142358101,-12.475489760632101,-13.992754882096941,-13.54058737802235,1000,16384,10,11,18
-9.924883729400252,-10.980541675261271,-9.915431143004465,-10.477154352061463,-11.96481858726022,-11.510857885538327,1000,16384,9,10,8
-11.68277703288924,-12.994305084639294,-11.67722241872089,-12.480977146472034,-13.973063045733223,-13.55336917666885,1000,16384,10,11,5
-1.3302096130151086,-1.3291715078897657,-1.3327786658274512,-1.3320344563783348,-0.053319013885380406,-1.3496408605598116,1000,64,2,3,13
-1.1434936375944071,-1.1194027135014595,-1.1424405671755866,-1.1194187819304835,-1.802408926008869,-1.1248039768857365,1000,64,2,3,18
-6.9978562249871965,-7.234825055862742,-6.893326040531433,-7.177309327736011,-52.84525732699023,-6.978714494247641,1000,64,6,7,3
-9.977423437785605,-11.057743216036798,-9.966206044978142,-10.57159924264912,-12.002602939923033,-11.620361189974561,1000,16384,9,10,2
-11.661804704141165,-12.970647399590097,-11.653368310642728,-12.43764869511828,-13.955306840601981,-13.533248037756053,1000,16384,10,11,0
-3.853036936347538,-3.750769726382091,-3.848737401011583,-3.762120125125285,-10.619574631661388,-3.8677670758021145,1000,64,4,5,10
-11.537702336192373,-11.659430294257563,-11.175889603401291,-11.464916065401914,-73.73980548125091,-11.295503741720541,1000,64,8,9,17
-11.739217807255196,-13.04560862415941,-11.728818900015023,-12.503390163968541,-13.956438700273079,-13.585842300156779,1000,16384,10,11,17
-11.665991512953847,-13.073121007038646,-11.657726810216863,-12.486798856580961,-13.975730207572338,-13.67746782085188,1000,16384,10,11,8
-11.717041291228185,-13.019848850122175,-11.703607842641125,-12.490920144661143,-13.939387610883983,-13.636033470194809,1000,16384,10,11,16
-7.774065011555046,-7.905653690202694,-7.635936128991274,-7.821158912973663,-50.01697153069843,-7.754577636782324,1000,64,6,7,19
-11.728788557576163,-13.024074864646403,-11.720837700131579,-12.47756182129418,-13.990738734758159,-13.664332708544002,1000,16384,10,11,15
-11.706655784334407,-12.985135358039294,-11.697908848693752,-12.493332539783685,-13.965028286415677,-13.566575523392812,1000,16384,10,11,10
-7.206721644519788,-7.566905862053087,-7.188203468497102,-7.573323074613786,-56.33434770366398,-7.5042587044470785,1000,64,6,7,7
-9.996827618545986,-10.979972667552447,-9.988768801763984,-10.539482063774813,-12.006299159955141,-11.695907974601363,1000,16384,9,10,1
-11.165277954307975,-11.583424723643137,-10.813152886692723,-11.503635737871544,-90.22271302883338,-11.029338298553036,1000,64,8,9,14
-9.912975290040162,-10.94011975332471,-9.90409378818708,-10.475780255982327,-11.984534834345732,-11.697680914950297,1000,16384,9,10,17
-1.0299085553276388,-1.042518491724829,-1.032931790363033,-1.0470683235063558,-1.6867106647363346,-1.0364800594586479,1000,64,2,3,8
-11.650286082339903,-11.392135091929704,-11.232590642495346,-11.374504282772692,-77.18928273289949,-11.246951431873699,1000,64,8,9,4
-15.614789329052057,-15.410229677994343,-15.039421265434559,-15.481310840721887,-108.68312990365267,-15.543077800228465,1000,64,10,11,16
-15.805748693294005,-15.802453005781176,-15.599134115898153,-15.904972976405803,-108.06779255667358,-16.14214191127783,1000,64,10,11,1
-16.165103923530417,-15.447231339672438,-15.505693587305968,-15.45487281902307,-91.40567870125982,-15.424333611805325,1000,64,10,11,6
-16.500372223946904,-16.51541850672165,-15.856634773736488,-16.39105664634977,-109.89071792076285,-16.21740322120582,1000,64,10,11,5
-11.694877079726028,-13.044938526255681,-11.684150080783697,-12.468230621687024,-13.98539797489172,-13.627227323222247,1000,16384,10,11,11
-1.3096180256862415,-1.2689585794784743,-1.3097272755017149,-1.2715182809557204,-1.6867106647363346,-1.2989732222558474,1000,64,2,3,1
-12.540223488207566,-12.282449539496241,-11.802277858010617,-11.992116131056681,-73.59946580892768,-11.594438825588885,1000,64,8,9,15
-11.24745027333479,-11.173739479800865,-10.724228715400276,-11.031630576761968,-80.15466793483913,-10.637082156316582,1000,64,8,9,9
-16.319123220836712,-15.99385713698484,-15.730000455392858,-15.935950834973982,-127.18856445052498,-15.96889875899408,1000,64,10,11,15
-1.2021657950222966,-1.1879464404231448,-1.2047158392216661,-1.1908564333258977,-5.282468283235631,-1.1931806269622205,1000,64,2,3,19
-3.5634218403018254,-3.7114242538318427,-3.5602022986795783,-3.683023816579794,-22.521962688327108,-3.522475631456739,1000,64,4,5,16
-9.963252935147949,-10.954453686311082,-9.95587280058181,-10.495709499681796,-11.985225058018923,-11.638134635657375,1000,16384,9,10,6
-1.2751283035167258,-1.2589800360900223,-1.2780589690383704,-1.2635170035317027,-3.4579299670471384,-1.2750632075562756,1000,64,2,3,3
-10.7582409429468,-11.586214284469785,-10.776455973761413,-11.515310334433241,-73.51979042792281,-11.151425479885994,1000,64,8,9,3
-7.275686995471956,-7.6500881086697365,-7.2168648737386185,-7.578816066075637,-47.272763097908296,-7.397946926334852,1000,64,6,7,6
-3.781041807306175,-3.7818482456292326,-3.770408437890225,-3.7780299350028126,-25.578821782609733,-3.8171359512981002,1000,64,4,5,7
-3.5836764165876622,-3.6501375390819324,-3.5941090710059465,-3.65535674217941,-10.627679975876529,-3.7368790916264802,1000,64,4,5,2
-10.03131102267162,-11.085371769540114,-10.023606821841646,-10.575666371043162,-12.010166793542254,-11.630664079908259,1000,16384,9,10,7
-6.863351061346592,-7.230541324683701,-6.9043458108960625,-7.237775208618344,-47.08914326952359,-7.167246616263608,1000,64,6,7,1
-9.957672696340351,-10.935037636280663,-9.952253680311191,-10.508625874577481,-12.003741681788393,-11.672076182556697,1000,16384,9,10,10
-7.956595067913994,-7.941329568016321,-7.780951930389379,-7.8810952404699695,-59.62319755549962,-7.6733436916706825,1000,64,6,7,5
-17.055696126138063,-16.36569523224699,-16.261115390119308,-16.296110061826354,-88.69676399414438,-16.409456914265924,1000,64,10,11,4
-3.2612374323355833,-3.2551880790908636,-3.275065933348258,-3.265488000340201,-27.485255663668074,-3.2976501760403467,1000,64,4,5,18
-6.930993924745382,-7.299502523558834,-6.804375714606147,-7.244395791433736,-62.285815483218705,-7.012235014478709,1000,64,6,7,16
-7.96975003833976,-7.999437478822532,-7.823015680226744,-7.924534624171158,-47.080646749979074,-7.720414889274669,1000,64,6,7,0
-11.299541904282679,-11.282773463809379,-10.873290326681657,-11.130183752594109,-83.43494512658536,-11.066460240475525,1000,64,8,9,2
-0.9483479688452825,-0.9251906449220008,-0.9592007908702557,-0.937560212906936,-7.000368571666183,-0.9903929304476932,1000,64,2,3,0
-7.26344375232165,-7.260057025205308,-7.212911101332422,-7.275611403024746,-47.83259864925093,-7.221112977513386,1000,64,6,7,13
