newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-1.3952918367028497,-1.2845028215462848,-1.378978964045851,-1.2682066347687262,-1.385726002441013,-1.2969267246376268,-4.19716010587718,-3.9390704718410197,-4.868256093628429,2580,88
-1.0709839704475326,-0.9944798030391959,-1.105940337394441,-0.9820121394741845,-1.2149575563817305,-1.1312574727731954,-1.786733088036549,-1.6433855868566956,-1.2659990515995263,16384,73
-1.3806054568624726,-1.3383265198326741,-1.367617273689772,-1.335027327499647,-1.3538688130685903,-1.3352256009541692,-4.544978994459519,-4.383702010195788,-9.87356395428032,1024,72
-0.9850864405250125,-0.87023759096213,-1.0182821025021196,-0.869569116838424,-1.0304671950744062,-0.9999565267286226,-1.7213981287545803,-1.8253380490931448,-1.2607761743688812,262144,1
-0.9769579658928013,-0.8618335653592106,-1.0104692496579777,-0.8606926359697594,-1.0241919292766806,-0.9924173237661076,-1.731491888316436,-1.8359034630335649,-1.2586841193072262,262144,60
-0.986813548476354,-0.8814052192580623,-1.0197490263887197,-0.8788160790339993,-1.0831928692908026,-1.0295215824864263,-1.7408194752011066,-1.8011269796248714,-1.259999097875618,104031,18
-1.3083028172373417,-1.230735341460998,-1.2981411704418033,-1.219027847467613,-1.3285308780360732,-1.2731116928459612,-4.198012460063729,-3.9038216389187776,-5.346826002672314,2580,82
-1.1530614604855096,-1.0817417720121032,-1.1652509983094312,-1.071738763169208,-1.2795917830031556,-1.1936967837120915,-2.3274697795190615,-1.9483607684489659,-1.5029794258498612,6501,28
-1.426644865972313,-1.364723149371759,-1.4134830236478975,-1.3615111876139383,-1.379117032152931,-1.3527531535841897,-2.568092272999545,-2.5464865624750623,-11.094286987909202,406,4
-0.9943125365412229,-0.9059354548214869,-1.028700727074146,-0.9001746246408134,-1.1528425378017184,-1.0904692686964568,-1.7678764973643475,-1.768085964506021,-1.2578534596130877,41285,21
-0.9819620585090421,-0.8636308725932178,-1.0161792074878486,-0.8622766279689321,-1.0429351299998095,-0.988730777398971,-1.723546503514141,-1.8274638203662206,-1.2602114917886174,262144,66
-1.409842960765784,-1.371889901985719,-1.4013763727339812,-1.3700988275067334,-1.3908719785394774,-1.3831476294172815,-2.8342808715365635,-2.7956300056328462,-7.526176254862282,406,48
-1.071032704568506,-1.001858656852254,-1.1055386814023471,-0.9920967528960765,-1.2200956212156693,-1.1411560957762652,-1.8043080168533328,-1.6436560553954542,-1.2643562288749783,16384,56
-1.348579494086825,-1.280633385013607,-1.3259367460748555,-1.2673294292627209,-1.3268388421744455,-1.2904943741358725,-4.250383975161804,-3.971619883186166,-5.875539918877349,2580,42
-1.0143651358060888,-0.9350704582693814,-1.0490840799923784,-0.9258723527325757,-1.15702210367848,-1.0721928541318948,-1.753984641526762,-1.7447651736145935,-1.2632154201258365,41285,85
-1.303566956026731,-1.2243727488262095,-1.293440395487061,-1.21871289628192,-1.3056753331142503,-1.2816545544129778,-4.088677431439688,-3.826141077321417,-5.625462648914099,2580,70
-1.3302773989457808,-1.3178728899101584,-1.3384271833806347,-1.3272703082960495,-1.3640261045504753,-1.3197589192999357,-1.7758022450004787,-1.7421858189966093,-3.466990200554041,64,58
-1.3953093845030604,-1.390458380797433,-1.3878391978367632,-1.3895856480324187,-1.3726936915481416,-1.3985300722906755,-1.7068598764972431,-1.7020954618945892,-5.078252461235627,64,96
-1.3715530319631881,-1.33781607145914,-1.372028921074488,-1.3410121938624264,-1.3740997525266336,-1.3501432136228382,-2.992181233340822,-2.930861403215435,-8.941565753845532,406,100
-0.97027165234892,-0.8479252838039701,-1.0041228965324553,-0.847390134949831,-1.0209843675514438,-0.9807187135538925,-1.7364936213719964,-1.840145118188472,-1.2580860903544808,262144,73
-1.0853120356356276,-1.033764884059539,-1.1157393121638186,-1.014521675910566,-1.214705140162798,-1.161359628984768,-1.7941933515290596,-1.6514461492914094,-1.2706004394704031,16384,17
-1.017625553358008,-0.9388210478587268,-1.0514791130140688,-0.9317022102506055,-1.162837228970378,-1.0678251845978846,-1.7515619249676113,-1.7503127988123255,-1.2633110661765967,41285,72
-0.9643570564887334,-0.8443147990368756,-0.9984625219472213,-0.843013290539144,-1.0225398679329505,-0.9862749068143338,-1.7439131043935787,-1.869316808065461,-1.2563481636170022,262144,48
-1.363191942947537,-1.345124696895381,-1.3466620437472407,-1.3333763722748866,-1.3433960858880671,-1.3349453609385458,-4.3068803493508625,-4.150425021164968,-11.08814580579811,1024,91
-1.0098392464425208,-0.9155738037942706,-1.0467955045051158,-0.9094103904042197,-1.1470367244690782,-1.088661259722512,-1.7499257255333946,-1.7543161356674115,-1.2615194320969954,41285,83
-0.9687389646956852,-0.8461548505869666,-1.0034453209778837,-0.845222034437294,-1.0127639280822482,-0.9804191405241327,-1.7369613893373002,-1.85384505697271,-1.2566336173465533,262144,63
-1.372181257806396,-1.3769313594258388,-1.3733946257917113,-1.378029996106157,-1.3641649772727154,-1.364164983685473,-1.3644435540525026,-1.3643314219835578,-1.6957708982458,64,60
-1.0566924131461244,-0.9819840018639597,-1.0886005831504528,-0.968750692330247,-1.1897944950257278,-1.1224160874955413,-1.8181517848485098,-1.6576930862817443,-1.262300528065361,16384,14
-1.2486314588561924,-1.174560359390113,-1.2524870131928398,-1.1553558711802001,-1.2801076558314692,-1.2276427335117985,-2.129178344639349,-1.809596497640436,-1.609937654570919,6501,98
-0.9965476656246466,-0.8900395409157653,-1.0306367932314615,-0.8874036571733513,-1.1122987015729657,-1.038676104477294,-1.7293494555531765,-1.800334450465897,-1.262013504254262,104031,46
-1.4090866362115386,-1.4077944660828452,-1.403077657767484,-1.4045293861474148,-1.4107876467791003,-1.4293482865087244,-1.7756508761779948,-1.7674063974622234,0.0,64,52
-1.0538033799505866,-1.0002827782021797,-1.0886094223715788,-0.9864965673992325,-1.2153738862012555,-1.1304420936072785,-1.7971563511879012,-1.6546106052064928,-1.262821421805097,16384,63
-0.9707790416496793,-0.8553791181197904,-1.0037811898302353,-0.8544404354560852,-1.0437111269979584,-0.9827372954429585,-1.7396327542867203,-1.8523206650384816,-1.2580415023411136,262144,20
-1.4569918205081465,-1.4039668358109083,-1.438737848791991,-1.3938839428250407,-1.5207281596286033,-1.4923709970899,-2.473194850428918,-2.4217022021397927,-10.33432644347416,406,64
-1.3880524883830352,-1.3880392996434088,-1.3849989408405619,-1.3867756353718725,-1.3713490337928838,-1.379142291168372,-1.7013302026420878,-1.6845498893146884,-4.10250051086827,161,100
-1.328796369922724,-1.26232959979614,-1.3122765584915208,-1.24811409955028,-1.3221638396509605,-1.2918116173353078,-4.015976754725715,-3.738717320262367,-6.155250709245829,2580,8
-1.0189612430108834,-0.9380242456799954,-1.0522615301448672,-0.928598370961638,-1.148458974393778,-1.0787056252610472,-1.7493254446496602,-1.7399885796404106,-1.2630132992920808,41285,4
-1.2178916962824466,-1.1439179098925565,-1.2236626638600976,-1.125147947741285,-1.2735457369791328,-1.2146395345177576,-2.179415732525381,-1.8525535691124244,-1.7510948985895463,6501,12
-1.323969410685778,-1.311861334415652,-1.333559325590684,-1.3220402448709967,-1.3511927163947806,-1.309486179149611,-1.7556316221050798,-1.7206248655158989,-5.184890488983312,64,1
-1.3799860452025012,-1.3802834068101804,-1.3814263234994988,-1.381064728508961,-1.3796014135099353,-1.3760216223298796,-1.3642899166741824,-1.3643000722387444,-1.7179002884292705,64,33
-1.3141218168846804,-1.320896173183515,-1.3220590239426666,-1.329708637497141,-1.331493765072037,-1.33381966055356,-1.702386892256212,-1.6740270777628525,-5.3632622292032055,161,20
-1.0719090771049882,-1.0073958667868517,-1.103807326954217,-0.9969774207655835,-1.227547081627494,-1.1425453120222822,-1.8159834496854612,-1.664804915573564,-1.2648085541453207,16384,53
-1.3333094927625668,-1.2650598260609696,-1.3174705528610684,-1.2499711376994307,-1.3272193802892176,-1.2922574509961688,-4.102952464966593,-3.8423717444088616,-5.817293875258296,2580,77
-0.9916163363281697,-0.8877122764350067,-1.0251489277589287,-0.8843689067989507,-1.0749609880826112,-1.036173240578199,-1.7323803827946564,-1.8029327246380928,-1.2615547682072106,104031,65
-1.3039037267725362,-1.242391337669592,-1.2857563284976496,-1.2303104345742344,-1.309758228289789,-1.2990307420767786,-4.333860240073731,-4.061099394004502,-5.653072476439012,2580,86
-1.0604650597723262,-0.9989779030060202,-1.0917655341059131,-0.9852074105326052,-1.212195423118505,-1.1380064097498537,-1.8256375895013637,-1.6502243417718634,-1.2617946450894546,16384,45
-0.9988176983307935,-0.9065730320509406,-1.0347185718636625,-0.9005612513440436,-1.1489661435450795,-1.0971624325152771,-1.7699705450846324,-1.754554856330676,-1.2583151238664605,41285,52
-1.3170629274072088,-1.2467031833956934,-1.3015978910411854,-1.2378566591703974,-1.3073540981645202,-1.2807009695624558,-4.286139977232827,-3.970809688371157,-5.03557613075006,2580,15
-1.3464088684942446,-1.3541593482103673,-1.3486999737896954,-1.3561098083429444,-1.362974772325499,-1.3694066644201919,-2.038307848507964,-1.9924018107297636,-6.824192690540584,161,48
-1.239786546368412,-1.1513257512410249,-1.2443306317032108,-1.130151140890126,-1.2929742430414308,-1.2178019806822311,-2.174610670197118,-1.863329242185826,-1.4821612586566928,6501,91
-1.3533469179249038,-1.3531146071761915,-1.3576111856886577,-1.357475899694865,-1.372098593770016,-1.3508089697863648,-1.8447063346075332,-1.8226140818633165,-6.082019747700186,161,32
-0.9768856540902471,-0.8604354217383631,-1.0100717127365968,-0.8593281942814627,-1.0340236711042103,-0.9944192099289303,-1.7320548565688803,-1.8367999026306305,-1.2595565524734487,262144,12
-0.9964508624033158,-0.8990858912236859,-1.0330279416968404,-0.8921024306880018,-1.1400918374262907,-1.0670648886207663,-1.7616145443582414,-1.7559137682152146,-1.2587340644195812,41285,35
-0.9645343883130015,-0.8455105368940508,-0.9979393153561302,-0.8447758418973628,-1.0258313986359637,-0.988342106823999,-1.7478820990116952,-1.8581296964446343,-1.2571790575164201,262144,24
-1.05837591836764,-0.9972801234649947,-1.0914105227249205,-0.9818419108954819,-1.2171407513984005,-1.1399479543355744,-1.8036704134860402,-1.6543641163149378,-1.2628575052931372,16384,66
-1.0502053985079467,-0.9777412169134198,-1.0814196838686971,-0.9679226734581627,-1.198115631133108,-1.1616946609931282,-1.8183570720093383,-1.6390752365088592,-1.2577877571527705,16384,76
-1.0854762109973402,-1.0340841311387232,-1.1166153010468687,-1.01539600322579,-1.2156505724158624,-1.1511973160294993,-1.7840014253683294,-1.6509841096705726,-1.2672914649411138,16384,72
-1.0627377861710052,-1.003582872635204,-1.0946275410740836,-0.9875448523753406,-1.2256711217230138,-1.1509599468722542,-1.808859053117377,-1.6569527042410794,-1.2637300727461893,16384,61
-1.0561050594940353,-0.9827676444266885,-1.0923679578352667,-0.9708356218321288,-1.1947077124296566,-1.1316429199100189,-1.8033933231117667,-1.6586408239991128,-1.2602124708421636,16384,78
-1.0124841310122974,-0.9278990617547018,-1.0476147117136159,-0.9194700519451834,-1.1637623822371388,-1.0638454431401956,-1.7471234722977207,-1.7531458155339152,-1.2620821124539596,41285,27
-1.3211858501059852,-1.3043491771855145,-1.3261903106226056,-1.3128795767915376,-1.3473440366783944,-1.292573532793391,-2.080759843265214,-2.023253021970709,-6.16556036481318,161,12
-0.9820469811045784,-0.8737995433963404,-1.0161303878489996,-0.8708176475617879,-1.0806650146787444,-1.0111862836773582,-1.7438435542182111,-1.8218269973936347,-1.2590101942915835,104031,14
-1.356269862274706,-1.2442413955410914,-1.334988572771248,-1.236882588985653,-1.3310848352604001,-1.2819018568513818,-4.244146226200776,-3.977108663855644,-5.5312224897140725,2580,65
