newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.4,0.118,0.145,0.136,0.115,0.017,0.065,0.171,10,58
0.514,0.541,0.504,0.346,0.346,0.364,0.364,0.427,2,15
0.422,0.116,0.125,0.096,0.101,0.009,0.05,0.153,10,71
0.382,0.081,0.099,0.09,0.081,0.002,0.036,0.125,12,26
0.39,0.03,0.04,0.045,0.033,0.0,0.008,0.069,18,84
0.511,0.341,0.347,0.288,0.294,0.161,0.21,0.322,4,89
0.456,0.255,0.26,0.213,0.218,0.07,0.137,0.229,6,62
0.368,0.049,0.058,0.07,0.052,0.003,0.024,0.104,14,27
0.474,0.324,0.328,0.296,0.302,0.162,0.206,0.298,4,51
0.386,0.033,0.048,0.059,0.044,0.001,0.013,0.089,16,44
0.528,0.316,0.313,0.265,0.271,0.133,0.202,0.286,4,22
0.368,0.042,0.064,0.046,0.042,0.0,0.015,0.073,16,59
0.422,0.157,0.169,0.158,0.161,0.032,0.096,0.199,8,34
0.327,0.038,0.049,0.06,0.042,0.0,0.027,0.086,16,36
0.401,0.156,0.166,0.174,0.158,0.021,0.095,0.204,8,58
0.374,0.053,0.066,0.061,0.053,0.001,0.023,0.075,14,28
0.359,0.042,0.066,0.047,0.052,0.0,0.016,0.085,16,48
0.387,0.037,0.063,0.062,0.057,0.001,0.021,0.1,14,100
0.381,0.023,0.044,0.044,0.038,0.001,0.015,0.073,18,95
0.42,0.153,0.173,0.158,0.161,0.025,0.101,0.186,8,78
0.423,0.134,0.154,0.117,0.139,0.02,0.067,0.162,10,6
0.441,0.082,0.111,0.099,0.099,0.005,0.043,0.138,12,79
0.493,0.448,0.54,0.317,0.317,0.346,0.346,0.435,2,17
0.398,0.086,0.109,0.106,0.096,0.007,0.04,0.148,12,2
0.419,0.059,0.071,0.05,0.06,0.001,0.019,0.101,14,5
0.385,0.025,0.034,0.034,0.03,0.001,0.013,0.061,18,33
0.421,0.109,0.132,0.106,0.107,0.011,0.058,0.15,10,56
0.384,0.064,0.076,0.048,0.056,0.001,0.017,0.073,14,14
0.396,0.12,0.131,0.117,0.112,0.01,0.058,0.167,10,41
0.432,0.177,0.181,0.132,0.14,0.033,0.089,0.177,8,91
0.396,0.03,0.044,0.033,0.034,0.0,0.011,0.057,16,98
0.358,0.089,0.111,0.108,0.109,0.008,0.05,0.15,12,33
0.368,0.081,0.096,0.092,0.075,0.006,0.046,0.121,12,13
0.478,0.258,0.253,0.22,0.22,0.06,0.14,0.255,6,84
0.397,0.086,0.108,0.099,0.097,0.002,0.045,0.13,12,22
