HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-0.00821752,-0.0109525,-0.00815048,-0.01085,00005,19
-1.24593,-0.760842,-1.1611,-0.737953,00008,8
-1.19366,-1.18461,-1.19193,-1.18507,00006,33
-2.07272,-1.89337,-2.01931,-1.89329,00003,42
-0.00821797,-0.0109525,-0.00815148,-0.01085,00005,21
-0.782217,-0.804688,-0.779687,-0.807346,00002,29
-0.805104,-0.815519,-0.808485,-0.833206,00002,22
-2.03571,-1.54221,-1.84147,-1.44814,00010,47
-1.19042,-1.18301,-1.18902,-1.18329,00006,21
-2.07111,-1.96978,-2.03175,-1.96998,00003,40
-1.0043,-0.593034,-0.902917,-0.569528,00008,19
-0.00821649,-0.0109525,-0.00815191,-0.01085,00005,23
-2.0848,-1.96538,-2.04072,-1.96532,00003,29
-0.744502,-0.735829,-0.740434,-0.73582,00002,7
-0.809937,-0.819365,-0.80697,-0.817932,00002,45
-2.06274,-1.9664,-2.02866,-1.97363,00004,25
-0.668708,-0.673648,-0.674488,-0.676133,00001,28
-2.06757,-1.95656,-2.0255,-1.95671,00003,33
-0.939149,-0.579956,-0.871722,-0.559318,00008,15
-0.701342,-0.410872,-0.623932,-0.38878,00008,22
-0.00821724,-0.0109525,-0.00815124,-0.01085,00005,48
-0.953564,-0.575418,-0.860113,-0.55687,00008,33
-1.19051,-1.18177,-1.18895,-1.18207,00006,7
-2.094,-1.94422,-2.04508,-1.94415,00003,16
-1.04837,-1.03594,-1.05523,-1.05042,00001,35
-2.06297,-1.95412,-2.02629,-1.95829,00004,15
-0.814186,-0.827486,-0.821045,-0.848028,00002,31
-0.974767,-0.950523,-0.970908,-0.949706,00001,20
-0.00821693,-0.0109525,-0.00815046,-0.01085,00005,16
-2.04237,-1.93249,-2.00775,-1.93653,00004,19
-0.893629,-0.447731,-0.753435,-0.41004,00008,38
-2.92398,-1.9741,-2.61396,-1.8225,00010,21
-0.736459,-0.403731,-0.646122,-0.383618,00008,31
-0.0526457,-0.0526457,-0.0526457,-0.0526457,00009,40
-0.804169,-0.816502,-0.825372,-0.846368,00001,24
-2.06685,-1.94495,-2.0231,-1.94488,00003,20
-0.75069,-0.43433,-0.663296,-0.405459,00008,44
-0.00821625,-0.0109525,-0.008152,-0.01085,00005,26
-0.0524656,-0.0524656,-0.0524656,-0.0524656,00009,14
-1.18859,-1.17647,-1.18668,-1.17725,00006,2
-0.00821701,-0.0109525,-0.00815161,-0.01085,00005,4
-1.9304,-1.63692,-1.78864,-1.53278,00010,17
-0.00821802,-0.0109525,-0.00815172,-0.01085,00005,15
-0.857714,-0.926975,-0.872268,-0.962566,00001,7
-2.06486,-1.92526,-2.01812,-1.92516,00003,34
-0.82528,-0.815758,-0.830324,-0.821659,00002,37
-0.971506,-0.589805,-0.878796,-0.567502,00008,14
-0.766516,-0.758979,-0.758763,-0.756698,00002,19
-0.443597,-0.241483,-0.388404,-0.216407,00008,10
-0.00821596,-0.0109525,-0.00815232,-0.01085,00005,40
-2.02806,-1.54221,-1.84564,-1.44814,00010,19
-0.856018,-0.929787,-0.879634,-0.971718,00001,14
-0.845678,-0.899055,-0.844508,-0.909362,00002,3
-0.782179,-0.810483,-0.770317,-0.802256,00001,44
-0.847784,-0.429273,-0.742469,-0.401093,00008,18
-2.5539,-1.5332,-2.23953,-1.43896,00010,49
-2.04111,-1.91445,-2.00275,-1.9173,00004,36
-0.0458515,-0.0458515,-0.0458515,-0.0458515,00009,17
-0.951934,-0.576587,-0.876023,-0.557076,00008,23
-0.754111,-0.418582,-0.664371,-0.39329,00008,29
-2.02741,-1.93014,-1.99272,-1.93235,00004,28
-2.05494,-1.95912,-2.02064,-1.96396,00004,6
-0.0516886,-0.0516886,-0.0516886,-0.0516886,00009,6
-2.61519,-1.48232,-2.29464,-1.39395,00010,14
-2.05358,-1.57637,-1.8712,-1.47896,00010,38
-2.28424,-1.83827,-2.06567,-1.70867,00010,26
-0.776409,-0.426837,-0.687993,-0.399426,00008,3
-2.04576,-1.93195,-2.00989,-1.93306,00004,38
-2.06823,-1.95897,-2.0285,-1.95901,00003,25
-2.0626,-1.97798,-2.03104,-1.97943,00004,42
-0.00821704,-0.0109525,-0.00815162,-0.01085,00005,36
-0.00821739,-0.0109525,-0.00815157,-0.01085,00005,28
-2.10193,-1.99497,-2.06009,-1.99512,00003,28
-0.742804,-0.751283,-0.745283,-0.752458,00002,38
-0.7439,-0.73171,-0.732867,-0.709923,00001,33
-1.182,-1.17091,-1.18047,-1.17226,00006,40
-0.00821716,-0.0109525,-0.00815302,-0.01085,00005,30
-1.16653,-1.16052,-1.16479,-1.15991,00006,0
-2.30862,-1.65505,-2.06199,-1.54518,00010,41
-0.871019,-0.890457,-0.880056,-0.902927,00002,49
-2.05178,-1.93314,-2.00987,-1.93308,00003,11
-0.0488744,-0.0488744,-0.0488744,-0.0488744,00009,19
-0.00821692,-0.0109525,-0.0081519,-0.01085,00005,7
-0.843494,-0.556651,-0.785148,-0.543598,00008,5
-2.05409,-1.94683,-2.01903,-1.94868,00004,49
-0.0454515,-0.0454515,-0.0454515,-0.0454515,00009,32
-1.19769,-1.18406,-1.19565,-1.1855,00006,9
-1.16533,-1.16196,-1.16373,-1.16085,00006,31
-2.75555,-1.74849,-2.45852,-1.63488,00010,32
-0.0417943,-0.0417943,-0.0417943,-0.0417944,00009,12
-0.877681,-0.896697,-0.879323,-0.908832,00002,48
-1.14148,-0.60816,-1.03063,-0.578476,00008,39
-0.701924,-0.664556,-0.718183,-0.680742,00001,36
-0.00821727,-0.0109525,-0.00815131,-0.0108501,00005,0
-0.846241,-0.841806,-0.849141,-0.845099,00001,9
-1.19431,-1.1867,-1.19311,-1.18702,00006,44
-1.9856,-1.64967,-1.83096,-1.54174,00010,13
-2.07463,-1.9507,-2.03065,-1.95064,00003,26
-2.54753,-1.5332,-2.23825,-1.43896,00010,4
-0.85016,-0.885344,-0.853728,-0.912184,00002,2
-0.0290172,-0.0290172,-0.0290172,-0.0290172,00009,37
-0.044929,-0.044929,-0.044929,-0.044929,00009,26
-0.775823,-0.805775,-0.748083,-0.77746,00001,17
-2.07411,-1.94124,-2.02824,-1.94123,00003,21
-1.00932,-0.572877,-0.932418,-0.554112,00008,24
-0.762702,-0.798777,-0.762559,-0.800497,00002,4
-2.08759,-1.92067,-2.03501,-1.92063,00003,27
-2.04994,-1.91553,-2.00504,-1.91544,00003,2
-0.858,-0.85128,-0.851059,-0.84819,00001,8
-1.16787,-1.16338,-1.16649,-1.16271,00006,38
-1.17286,-1.15885,-1.1706,-1.15981,00006,8
-0.75756,-0.773157,-0.757715,-0.773572,00001,45
-2.03381,-1.91456,-1.99613,-1.91331,00004,40
-0.0743928,-0.0743927,-0.0743928,-0.0743928,00009,20
-1.19717,-0.612943,-1.08001,-0.581316,00008,34
-0.881853,-0.886268,-0.880583,-0.892909,00001,38
-1.18914,-1.18041,-1.18728,-1.18013,00006,23
-0.836725,-0.881775,-0.841239,-0.883943,00001,42
-2.05648,-1.97331,-2.02395,-1.98719,00004,39
-0.790213,-0.801817,-0.795326,-0.821529,00002,26
-0.0082167,-0.0109525,-0.00815081,-0.01085,00005,2
-2.04728,-1.95435,-2.0137,-1.95798,00004,26
-2.03704,-1.94308,-2.00382,-1.94496,00004,48
-1.2008,-0.757433,-1.11012,-0.736205,00008,0
-0.743781,-0.771906,-0.738727,-0.754718,00001,25
-0.0648544,-0.0648544,-0.0648544,-0.0648544,00009,49
-2.08166,-1.94125,-2.03554,-1.94117,00003,43
-0.850004,-0.828806,-0.843502,-0.824196,00001,29
