newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.031773626317970746,-0.2926484529187841,-0.2378738287561995,-0.39713519818952825,-0.3598602398511211,-3.2480209020027058,-2.1914885949347593,-3.0546059158017362,4,90
-0.24392952677457663,-3.0093527091257943,-2.0642801597912617,-2.2638099864745254,-2.352564274395193,-9.854961616295432,-4.051997122335657,-1.733466884203645,10,51
-0.037840728808534015,-0.2792381170159779,-0.23579935156865467,-0.381560713221534,-0.34551155226514835,-3.427795265488055,-2.4150720919761146,-2.664183666626508,4,28
-1.6695407219213808e-10,-3.4359856367072174e-10,-3.005359043989353e-10,-0.026562191465448862,-0.026562191465448862,-1.3400083260837405,-1.3400083260837405,-3.1264651498445426,2,98
-0.2626491098449444,-4.407299493789727,-2.9747751022237106,-2.814659704862238,-3.278882259224907,-12.45423882683134,-5.057372891734376,-2.0843123131320125,12,35
2.3274439001075287e-11,2.2861220891345902e-10,7.225622916384733e-10,-0.004981925893793005,-0.004981925893793005,-1.137133545347664,-1.137133545347664,-3.6375070490692814,2,24
8.048813128699873e-10,4.0065955803081366e-11,-4.178050249659115e-10,-0.01420810598983508,-0.01420810598983508,-1.2226961797049338,-1.2226961797049338,-3.479148381734678,2,66
-0.2731683400871738,-6.890136979171288,-4.372806542042328,-4.334746332259378,-4.922622100028301,-17.463442352899076,-7.251680049552544,-2.952531963509028,16,66
-0.31040014743725963,-6.922325401921654,-4.581284354405516,-4.607781108327632,-5.108547521597299,-18.40909443444648,-7.687840604750208,-3.270347868098758,16,67
-0.15993892491347894,-2.0332423175073013,-1.50655747092249,-1.652121101887508,-1.710197318607769,-7.378271092625687,-3.0851777554848248,-1.2762891131355172,8,17
-0.11830651324795745,-0.8834351510524066,-0.68309563273245,-0.838606676802278,-0.8615968080998424,-5.318904227202456,-2.7010189839967533,-1.7166690791119752,6,63
-0.2789245488295396,-6.725331884609431,-4.2455926671444555,-4.3982559392483385,-4.877824509744687,-17.40477106319812,-7.2820527678920834,-2.971260085722563,16,57
-0.17230938330844167,-2.89388550256299,-2.054707571458713,-2.3934186364667878,-2.423927903127128,-10.156867347561478,-4.190391184863616,-1.7389969782313495,10,82
-0.029391941270949608,-0.3171134682589288,-0.26421053955231394,-0.3483962860222383,-0.3631799539565716,-3.1803603627272232,-2.135683757652686,-2.35864396484519,4,18
-0.20405240808084893,-3.0416094032321626,-2.1850776086726893,-2.2955292675846275,-2.507887755696289,-9.97582154694184,-4.027385633667721,-1.6133580539715418,10,17
-0.28926545785574614,-6.87263577216617,-4.37546359025815,-4.36683966338026,-4.958953829631247,-18.18448130628928,-7.488631887030335,-3.0925007432008846,16,71
-0.2417890350811561,-6.7642395459520355,-4.246005385646615,-4.330697376928942,-4.871267653873669,-17.362572042753534,-7.293453829673137,-3.007439238183183,16,55
3.7305271802234864e-11,-2.459025464224274e-10,-2.8372448876434752e-11,-0.0258417770231681,-0.0258417770231681,-1.4482244538840174,-1.4482244538840174,-3.3217288993891096,2,25
-0.041780655609279224,-0.265082910909763,-0.20961140753188046,-0.2908463125621408,-0.2962608642443839,-3.52862198850752,-2.483809009482382,-2.542263621045403,4,74
-0.2247017316234696,-2.7346908929562104,-2.007526875159592,-2.4578778489889745,-2.3837595621434127,-9.840310820760488,-4.102899659603064,-1.6255105122303948,10,88
-0.10961161159194467,-0.8516013364756263,-0.6901242488246528,-0.9230021540829271,-0.9572344915481943,-5.166436974839829,-2.4936497828083337,-1.507721936279924,6,22
-0.28137469024098033,-8.143026110213848,-5.1413609688622435,-4.928236724554357,-5.78886744600271,-20.494102192459273,-8.611455549602844,-3.5826792920418105,18,46
-0.15352997194658793,-1.8979824606157853,-1.3801791914483887,-1.6275116633000826,-1.6459157549938295,-7.226697921740231,-3.019652798429058,-1.351932940990564,8,13
-0.17740114802569862,-1.8516346178226493,-1.361476726158314,-1.5185295482718977,-1.6199959801605965,-7.179125601471689,-3.020992237766337,-1.2742485607176344,8,39
-0.03434997982565869,-0.2728393250054938,-0.22629420190860666,-0.3324223765603809,-0.3539018044983257,-3.2966081920117167,-2.278640852034889,-2.864925618304683,4,39
-0.11810183573091633,-1.0232841860434516,-0.7889258312835647,-0.9528367828844093,-0.9377150235700698,-5.153228230814479,-2.4394013417290443,-1.1895366795958755,6,3
-0.18567812484889892,-1.8876805764047062,-1.3318971240798596,-1.5910643527198662,-1.6068666068372444,-7.410263422047521,-3.101998326917211,-1.3261938314019877,8,55
-0.13784458204021013,-0.9072095962715705,-0.6720310367913708,-0.8305206947442877,-0.8446777943764879,-4.9777619286596435,-2.2068851969801293,-1.3264007941513234,6,58
-0.2409412614493234,-6.6505436623369,-4.173596496811276,-4.011377971951495,-4.816902419658167,-17.562634419161956,-7.30802013237843,-3.051176206186922,16,7
-0.20211460198825013,-3.010877583518769,-2.1969592214265004,-2.6689716511514145,-2.516649607251933,-10.09576057500438,-4.061531486455983,-1.6385912371068758,10,96
-0.26569620658708865,-8.352329436058689,-5.13413512653389,-4.81626503282528,-5.662947382464179,-19.914675199557546,-8.370198591214864,-3.461909547843189,18,27
-0.2739120637672599,-8.117308499936211,-5.011856795825307,-4.720273608639058,-5.614307485003334,-20.206038417358585,-8.519245287154156,-3.554293358621327,18,69
-0.1123974313023145,-0.9808879549311966,-0.7570152762692185,-0.9674860674858287,-0.9331391902648604,-5.239796657401661,-2.655352227554948,-1.5230932477993642,6,20
-0.10925942304703518,-1.0136438797842808,-0.7845480353691328,-0.9187627155371567,-0.9959281696434317,-5.2877379675430385,-2.5810266682010665,-1.3553162004174952,6,48
-0.231699554874098,-6.528119379082451,-4.286356960182425,-4.536551632345481,-4.893174036817701,-18.140565206121273,-7.588126973357994,-3.200801068599843,16,96
-0.11013654681180393,-1.0017560924515212,-0.7806442659929612,-0.8939853883905025,-1.0031362085756008,-5.030530227713225,-2.4834139080625848,-1.5846424240200714,6,59
-0.10986542995370055,-0.9162466272854027,-0.6960055745237129,-0.8491962213210047,-0.8945192990390342,-5.074933361289567,-2.539113150687791,-1.648082425695446,6,11
-7.788805095332307e-11,-5.960478968725091e-11,2.215147199974288e-10,-0.016384927853059138,-0.016384927853059138,-1.201500932487629,-1.201500932487629,-3.3794720696222216,2,41
-0.11668207572059879,-0.9439634603891716,-0.7278372426118799,-0.8759824929773719,-0.9382116786999177,-4.493822583674396,-2.0734970524400396,-1.2412318508280182,6,90
-0.24888029994960145,-7.172857481191715,-4.558000750263204,-4.448887948008752,-5.057145982527809,-18.43219704442587,-7.556888446719148,-3.1313488931084494,16,17
-0.21400189082250023,-7.887791464751799,-5.119647722356407,-5.33887705791682,-5.669172632442434,-20.6195524023445,-8.718123583332828,-3.651156187060157,18,96
-0.03482986382238086,-0.30021302833207963,-0.258845470587492,-0.4019974159425059,-0.38994417990033936,-3.789829803740487,-2.737263905426783,-2.7597640336982687,4,20
-0.2207955416080443,-6.792682985411515,-4.236200728008103,-4.702878813121675,-4.7761519358817495,-16.99750123506163,-7.236406706781664,-2.974357791536326,16,76
-0.2816500548469272,-6.954152608178633,-4.37538335917497,-4.2911864526655865,-4.852673461072025,-17.719012661587147,-7.30912096873431,-3.034365165263938,16,84
-0.25567464492957387,-5.5087165030910965,-3.597800771439451,-3.6159342766279488,-4.069634687947141,-14.870805130461923,-6.135688844786473,-2.5090949076484628,14,64
-0.18045689564661255,-1.9505448633923632,-1.403495145645969,-1.5703516560802855,-1.6637582688774748,-7.624781293976542,-3.331061584661009,-1.494817255073628,8,77
-0.1518692539252142,-1.9082757878661705,-1.4062973625631952,-1.641723536166555,-1.678914675066986,-7.33097484205672,-3.0455691879809477,-1.168721012193104,8,59
-0.24202264728633108,-4.349064823634997,-2.8815885503069927,-2.8975034388075693,-3.232087250165322,-12.38198226738982,-5.098052967335034,-2.0602763648555156,12,88
-0.11338516162412435,-0.9859443952218935,-0.7755453986734822,-0.9746966444339163,-1.0028450631940606,-5.108707043393353,-2.524146206662947,-1.554875660897463,6,72
-0.11410793446375009,-0.9157356970933306,-0.7008580045307771,-0.9525813741175061,-0.9308170537281867,-5.307577500873556,-2.7436001497236076,-1.4753742593655577,6,57
-0.18388275654940717,-1.9152729416364456,-1.398324680177787,-1.5801598582694718,-1.6429535212680202,-7.080846013394763,-2.8073172546985057,-1.187764369621416,8,100
-0.24774307423420225,-4.31008192462049,-2.9356608961435233,-2.7922700778492398,-3.3049461065158123,-12.491833969169173,-5.070740139377229,-2.030064912883704,12,57
-0.2842922216339765,-8.548995708865586,-5.324607656329307,-4.96874732405441,-5.9102242972042704,-20.374223533262352,-8.68617439126344,-3.691267134181426,18,22
-0.1755017900147924,-1.7188710224285817,-1.2951137645337574,-1.442885450198359,-1.5775999199172295,-7.369050205237472,-3.173500582868227,-1.4103713902751924,8,72
-0.21709186604329284,-2.924603475379408,-2.0721250096798234,-2.558648360123449,-2.461355910380875,-10.08384906497703,-4.136228179788938,-1.6296572694363127,10,61
-0.25339866498334707,-4.079444948946122,-2.7899886032949643,-3.1055214349878195,-3.20395386260164,-12.599129708517102,-5.1173373184522095,-2.1227171488158056,12,56
1.5085101254252997e-10,-1.7049766756760398e-10,-8.277992213923114e-11,-0.015084863222792165,-0.015084863222792165,-1.391646437526715,-1.391646437526715,-3.6032038257036447,2,3
-0.0464282793565266,-0.2669499425432959,-0.20281109768041222,-0.27993548270926194,-0.31124943770714136,-3.396076801191098,-2.403484801502665,-2.919118639801503,4,87
-0.21359917348839938,-1.7787341987533583,-1.325614125956469,-1.6197499073322665,-1.6576004109108624,-7.166534784896941,-2.9941810870456105,-1.3235721567667351,8,18
-0.1908985804331627,-2.9168385870936047,-2.108985460007384,-2.489056543227264,-2.4665381676316227,-9.553561500965074,-4.014881263633019,-1.6415284875846086,10,97
-0.11837929705389622,-0.9209991073834992,-0.7342122013004,-0.8952979149465554,-0.9211826390752818,-5.258065120672167,-2.6973106183336815,-1.7589947570872246,6,40
-0.22073382620658424,-4.201426008702527,-2.9019057283533094,-3.1390184310855567,-3.298220645720254,-12.633765250320332,-5.210166817240588,-2.1208667728973287,12,7
-0.04085429050615323,-0.26771913737784603,-0.22906555750613988,-0.3408042397686693,-0.35281536462924934,-3.573029750439776,-2.550606139733024,-2.5254839702796907,4,43
-0.2593789959886245,-2.853551930510569,-2.0219044952843497,-2.201397194396613,-2.378819819337609,-9.579806016839486,-3.858027048501721,-1.5215587376990785,10,54
3.0060189754044233e-11,-2.405486984324856e-10,7.081971169220491e-12,-0.015405777411148503,-0.015405777411148503,-1.217941489265653,-1.217941489265653,-3.5361146274498823,2,57
1.8571392454425074e-10,2.6403365245564193e-10,5.669256791795974e-11,-0.013031869326138253,-0.013031869326138253,-1.3375740362194715,-1.3375740362194715,-3.278328364371526,2,36
-0.2587901333027071,-6.772299734350761,-4.427924679113859,-4.75829500123043,-4.88619468076857,-17.932377300936455,-7.470334979287932,-3.08887076270062,16,70
-0.22584200064122473,-2.9564146582829793,-2.1010409654153173,-2.4653279240311203,-2.5046341764134086,-10.005898770639911,-4.068862967877061,-1.65599062320416,10,42
-0.1830856664311831,-2.750675373265093,-2.043548039462281,-2.2250584409605443,-2.427472184444281,-10.04769065254537,-4.092376855857735,-1.6230533709747388,10,16
-0.042169311390564186,-0.2678841658991257,-0.21859284633634757,-0.3429863123720147,-0.3020278697008931,-3.12009675524958,-2.097340025514943,-2.6880930745625866,4,68
-0.17576371081542458,-1.736344623200737,-1.288956544261052,-1.6053358983005186,-1.5875521923078504,-7.203195540616505,-3.0193045283500477,-1.2596952756235278,8,56
-0.2984502030695839,-6.937845535222302,-4.3489529858292935,-4.277838023116739,-4.963206855432515,-17.732218278865904,-7.313442521140123,-2.982534930115701,16,95
-0.2420171650740938,-2.9914219456490785,-1.9902623929575907,-2.1307225044177844,-2.2534461633369802,-9.11067083073309,-3.7312718684546997,-1.4170876217622381,10,81
-0.19752436572725537,-4.062005596146269,-2.8139610397201174,-2.9141980008271124,-3.3448156205294146,-12.471976916735574,-5.147146769753779,-2.11731943294406,12,34
-0.26118352796565564,-8.328691727380477,-5.149586588813494,-4.9241518766333305,-5.812932303794302,-20.807020156944542,-8.707702821775674,-3.623889901836751,18,7
-0.32164559473259247,-7.943426169893801,-5.003546282143514,-5.064129072003207,-5.5919825562321,-20.63861092294135,-8.647199407805303,-3.636949975505982,18,5
