newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-0.12708520193412337,-0.016296186777558685,-0.11077232927712478,-0.11751936767228671,-0.02872008986890074,-2.9289534711084535,-2.6708638370722935,-3.600049458859704,2580,88
-0.08897183097334808,-0.012467663565011349,-0.12392819792025642,-0.23294541690754597,-0.14924533329901082,-0.8047209485623646,-0.6613734473825109,-0.28398691212534166,16384,73
-0.04557812936282551,-0.0032991923330273837,-0.032589946190125015,-0.018841485568943054,-0.00019827345452245304,-3.2099516669598724,-3.04867468269614,-8.53853662678067,1024,72
-0.11551732368658847,-0.0006684741237059449,-0.14871298566369556,-0.16089807823598198,-0.13038740989019845,-0.8518290119161558,-0.9557689322547207,-0.39120705753045726,262144,1
-0.11626532992304174,-0.0011409293894509745,-0.14977661368821804,-0.163499293306921,-0.13172468779634802,-0.8707992523466769,-0.9752108270638052,-0.3979914833374666,262144,60
-0.10799746944235478,-0.002589140224063003,-0.1409329473547204,-0.20437679025680336,-0.15070550345242723,-0.8620033961671073,-0.9223109005908724,-0.38118301884161865,104031,18
-0.08927496976972865,-0.011707493993384667,-0.07911332297419008,-0.10950303056846007,-0.05408384537834807,-2.978984612596117,-2.6847937914511646,-4.127798155204702,2580,82
-0.08132269731630143,-0.01000300884289526,-0.09351223514022342,-0.20785301983394772,-0.12195802054288356,-1.2557310163498536,-0.8766220052797576,-0.43124066268065336,6501,28
-0.06513367835837447,-0.0032119617578207746,-0.05197183603395888,-0.017605844538992537,0.008758034029748507,-1.2065810853856065,-1.1849753748611238,-9.732775800295261,406,4
-0.09413791190040931,-0.005760830180673375,-0.12852610243333262,-0.252667913160905,-0.19029464405564334,-0.867701872723534,-0.8679113398652075,-0.3576788349722741,41285,21
-0.1196854305401098,-0.0013542446242856298,-0.15390257951891653,-0.18065850203087738,-0.12645414943003908,-0.8612698755452087,-0.9651871923972883,-0.3979348638196852,262144,66
-0.03974413325905073,-0.0017910744789854471,-0.03127754522724769,-0.02077315103274387,-0.013048801910548073,-1.46418204402983,-1.4255311781261122,-6.156077427355549,406,48
-0.07893595167242957,-0.009761903956177464,-0.11344192850627051,-0.22799886831959262,-0.14905934288018854,-0.8122112639572562,-0.6515593024993775,-0.2722594759789016,16384,56
-0.08125006482410417,-0.013303955750886134,-0.058607316812134456,-0.059509412911724666,-0.023164944873151842,-2.9830545458990834,-2.704290453923445,-4.6082104896146285,2580,42
-0.08849278307351294,-0.009198105536805584,-0.12321172725980253,-0.23114975094590426,-0.14632050139931932,-0.8281122887941861,-0.8188928208820179,-0.3373430673932607,41285,85
-0.08485405974481101,-0.005659852544289382,-0.07472749920514096,-0.08696243683233008,-0.06294165813105743,-2.869964535157768,-2.6074281810394977,-4.406749752632179,2580,70
-0.0030070906497309,0.009397418385891126,-0.011156875084585098,-0.036755796254425425,0.007511388996114006,-0.4485319367044291,-0.41491551070056004,-2.1397198922579923,64,58
-0.005723736470642086,-0.0008727327650143424,0.0017464501956552076,0.0168919564842769,-0.008944424258256777,-0.31727422846482456,-0.3125098138621708,-3.6886668132032083,64,96
-0.030540838100761816,0.0031961224032864737,-0.031016727212061508,-0.03308755866420718,-0.009131019760411483,-1.6511690394783949,-1.589849209353009,-7.600553559983106,406,100
-0.122881517399089,-0.0005351488541391463,-0.15673276158262434,-0.17359423260161286,-0.1333285786040615,-0.8891034864221654,-0.9927549832386412,-0.41069595540464976,262144,73
-0.07079035972506151,-0.019243208148973057,-0.10121763625325247,-0.20018346425223188,-0.14683795307420192,-0.7796716756184934,-0.6369244733808432,-0.25607876355983705,16384,17
-0.08592334310740254,-0.007118837608121312,-0.1197769027634633,-0.23113501871977254,-0.136122974347279,-0.8198597147170057,-0.81861058856172,-0.331608855925991,41285,72
-0.1213437659495893,-0.0013015084977315572,-0.1554492314080773,-0.1795265773938065,-0.1432616162751898,-0.9008998138544347,-1.026303517526317,-0.4133348730778582,262144,48
-0.029815570672650376,-0.011748324620494442,-0.013285671472354012,-0.010019713613180466,-0.00156898866365943,-2.973503977075977,-2.81704864889008,-9.754769433523224,1024,91
-0.10042885603830087,-0.006163413390050907,-0.13738511410089618,-0.2376263340648584,-0.1792508693182924,-0.8405153351291751,-0.8449057452631917,-0.35210904169277596,41285,83
-0.12351693025839129,-0.0009328161496726084,-0.1582232865405898,-0.1675418936449543,-0.1351971060868386,-0.8917393549000062,-1.008623022535416,-0.41141158290925944,262144,63
0.00584873829976142,0.0010986366803190223,0.004635370314446044,0.013865018833441899,0.01386501242068443,0.013586442053654823,0.013698574122599654,-0.31774090213964307,64,60
-0.08794172081587744,-0.013233309533712727,-0.11984989082020582,-0.22104380269548068,-0.15366539516529432,-0.8494010925182627,-0.688942393951497,-0.29354983573511395,16384,14
-0.0932755876759919,-0.01920448820991268,-0.09713114201263973,-0.12475178465126878,-0.07228686233159815,-0.9738224734591489,-0.6542406264602358,-0.4545817833907187,6501,98
-0.10914400845129538,-0.002635883742414083,-0.14323313605811022,-0.22489504439961439,-0.15127244730394274,-0.8419457983798253,-0.9129307932925456,-0.3746098470809108,104031,46
-0.004557250064124014,-0.003265079935430075,0.00145172837993082,-0.0062582606316860055,-0.02481890036130955,-0.3711214900305799,-0.36287701131480926,1.4045293861474148,64,52
-0.06730681255135379,-0.013786210802947108,-0.1021128549723461,-0.2288773188020229,-0.14394552620804588,-0.8106597837886685,-0.6681140378072603,-0.2763248544058647,16384,63
-0.11633860619359428,-0.0009386826637053347,-0.14934075437415056,-0.1892706915418733,-0.12829685998687343,-0.8851923188306355,-0.9978802295823964,-0.4036010668850284,262144,20
-0.063107877683106,-0.010082892985867703,-0.044853905966950554,-0.12684421680356303,-0.09848705426485921,-1.0793109076038772,-1.0278182593147513,-8.940442500649118,406,64
-0.0012768530111628605,-0.0012636642715365383,0.0017766945313105102,0.015426601578988567,0.007633344203500178,-0.3145545672702156,-0.29777425394281615,-2.715724875496399,161,100
-0.08068227037244396,-0.014215500245859844,-0.06416245894124076,-0.07404974010068054,-0.04369751778502762,-2.767862655175435,-2.4906032207120874,-4.907136609695549,2580,8
-0.09036287204924519,-0.009425874718357357,-0.12366315918322925,-0.21986060343213992,-0.15010725429940927,-0.820727073688022,-0.8113902086787727,-0.3344149283304428,41285,4
-0.09274374854116187,-0.018769962151271823,-0.09851471611881284,-0.14839778923784797,-0.08949158677647269,-1.0542677847840958,-0.7274056213711398,-0.6259469508482611,6501,12
-0.001929165814781223,0.010178910455344777,-0.011519080719686907,-0.02915247152378357,0.012554065721385945,-0.43359137723408314,-0.39858462064490163,-3.8628502441123134,64,1
0.0010786833064596686,0.0007813216987807655,-0.00036159499053778354,0.0014633149990253857,0.005043106179081214,0.01677481183477829,0.01676465627021658,-0.3368355599203096,64,33
0.015586820612460552,0.008812464313626124,0.007649613554474358,-0.001785127574896246,-0.004111023056418902,-0.3726782547590709,-0.3443184402657115,-4.033553591706064,161,20
-0.07493165633940485,-0.01041844602126816,-0.10682990618863343,-0.23056966086191039,-0.1455678912566986,-0.8190060289198774,-0.6678274948079804,-0.26783113337973713,16384,53
-0.08333835506313624,-0.015088688361538987,-0.06749941516163796,-0.07724824258978687,-0.042286313296738404,-2.8529813272671625,-2.592400606709431,-4.567322737558866,2580,77
-0.10724742952921881,-0.003343369636056055,-0.14078002095997807,-0.19059208128366065,-0.1518043337792483,-0.8480114759957058,-0.918563817839142,-0.3771858614082598,104031,65
