newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-0.040441438348393054,-0.20423651492023856,-0.16288269492553847,-0.19496938225391752,-0.1932502239131056,-6.650113866970292,-5.883795400100442,-11.604461202605654,2580,88
-0.012757584538820284,-0.25605183515253643,-0.2073601188434279,-0.559392280988171,-0.4597116538188703,-2.5302802873400743,-1.462088365922289,-0.5140543987632541,16384,73
-0.03201041990376724,-0.0869518347860407,-0.06648176378462506,-0.0493805164933517,-0.07483969187726056,-6.727389849640937,-6.364883738101466,-22.809445677380943,1024,72
-0.001200702955967487,-0.042239333569589886,-0.03591468254150894,-0.4963283250892904,-0.29069821053377465,-2.8503106599754395,-1.9768467248540564,-0.7028761814982064,262144,1
-0.001306237194941385,-0.04114691543568504,-0.03396999877396058,-0.5576473759872473,-0.3543849160196217,-2.767570500384736,-1.9073244463494263,-0.6758044072962289,262144,60
-0.0033297023192609757,-0.09969103866971274,-0.0816417788187651,-0.5052734979493264,-0.36002568003662533,-2.757137907960913,-1.8767978678472725,-0.6699128909260929,104031,18
-0.0427993467327642,-0.19988009321818173,-0.16294002348963468,-0.17280951757291593,-0.2554939537946097,-6.541478941318153,-5.784451560391171,-11.93563710612703,2580,82
-0.020346932771066372,-0.2881755411468293,-0.24448663210925262,-0.42212439327425627,-0.42740045351464,-2.766092394950059,-1.7072699110774412,-1.1842165110611174,6501,28
-0.016926138479862872,-0.012035466517954388,-0.0017406856203173646,0.00027596188993040923,0.009064967638438502,-3.455424595193047,-3.361037629209947,-18.58611711457941,406,4
-0.007183472018326394,-0.17803990900316144,-0.1423387329850798,-0.5479174173716274,-0.448700181478153,-2.7229711932489584,-1.714738310680661,-0.626011325277143,41285,21
-0.0008752640551001907,-0.03605182555081672,-0.030155833426633437,-0.48573328752889583,-0.2791008433501617,-2.7311975880056827,-1.9360728251555077,-0.680442652229193,262144,66
-0.0196424895920488,-0.00961833125242267,0.0030704175179427783,0.016434095144663843,-0.01445370893183329,-4.160607989037538,-4.016242591171393,-16.72149021769842,406,48
-0.020925053755904297,-0.291610040944552,-0.22998065371456017,-0.5717870114677103,-0.4980544886836546,-2.5560202366928313,-1.468191691404222,-0.5367089075133107,16384,56
-0.03751312216909707,-0.1956921769529682,-0.155706212416031,-0.20052301201766015,-0.18580899182555907,-6.832338313918651,-6.071222688676231,-11.193495949653698,2580,42
-0.00847231611052453,-0.18388980287767787,-0.15364371545426658,-0.5637148123704231,-0.42120408253478037,-2.664604928909775,-1.696083686934659,-0.6156176444949639,41285,85
-0.04290951004521445,-0.20368173455586983,-0.16829767236337076,-0.1995036055969484,-0.21903449674429595,-6.387969356972254,-5.595038825270346,-11.846273463641628,2580,70
3.5083047578154947e-14,2.3225865675158275e-13,1.474376176702208e-13,-2.255529096828468e-12,-3.254729818991109e-12,-3.708677809299843e-11,-3.643130241925974e-11,3.1780538301562937,64,58
3.6415315207705135e-14,2.3359092438113294e-13,1.4654943925052066e-13,-2.247091401841317e-12,-2.7005064850982308e-12,-3.707256723828323e-11,-3.6425529259531686e-11,3.1780538301563004,64,96
