HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-4.18094,-6.81036,-4.34441,-7.58851,00008,8
-3.14289,-3.17327,-3.14275,-3.16471,00006,33
-14.2455,-15.5029,-14.2914,-15.5172,00003,42
-5.98519,-6.58258,-6.0339,-6.58226,00005,21
-1.40817,-1.43234,-1.4175,-1.4671,00002,29
-1.38567,-1.43108,-1.40098,-1.46801,00002,22
-35.8843,-44.8725,-37.0735,-49.9793,00010,47
-3.14056,-3.17617,-3.1414,-3.16711,00006,21
-14.2332,-15.8346,-14.2995,-15.8533,00003,40
-3.4589,-5.39963,-3.53619,-5.95539,00008,19
-5.8731,-6.56616,-5.9027,-6.56579,00005,23
-14.2868,-15.6845,-14.3375,-15.6986,00003,29
-1.23377,-1.25226,-1.22493,-1.23521,00002,7
-1.49708,-1.55409,-1.49654,-1.56495,00002,45
-14.1908,-15.3166,-14.2357,-15.5956,00004,25
-1.21793,-1.20514,-1.24205,-1.23031,00001,28
-14.1658,-15.5587,-14.1881,-15.5752,00003,33
-2.50328,-4.40147,-2.49731,-4.92008,00008,15
-1.52847,-2.14507,-1.53242,-2.33865,00008,22
-5.77753,-6.58211,-5.81664,-6.58176,00005,48
-2.27118,-3.88916,-2.21414,-4.30045,00008,33
-3.1494,-3.18549,-3.15097,-3.17689,00006,7
-14.2042,-15.4942,-14.2388,-15.5079,00003,16
-1.86038,-1.86188,-1.88454,-1.90401,00001,35
-14.2239,-15.2135,-14.2437,-15.5208,00004,15
-1.39551,-1.44662,-1.40446,-1.4784,00002,31
-1.64383,-1.58116,-1.66919,-1.63072,00001,20
-5.78023,-6.56952,-5.73929,-6.5691,00005,16
-14.1824,-15.1998,-14.2217,-15.407,00004,19
-2.97948,-3.66629,-3.27544,-4.08438,00008,38
-36.0887,-39.6413,-35.6922,-41.1806,00010,21
-1.34671,-1.35637,-1.28973,-1.45015,00008,31
-0.0526457,-0.0526457,-0.0526457,-0.0526457,00009,40
-1.28614,-1.37019,-1.31458,-1.42969,00001,24
-14.2111,-15.621,-14.2665,-15.6352,00003,20
-2.61463,-3.92112,-2.68868,-4.30246,00008,44
-5.99481,-6.6052,-5.94403,-6.60508,00005,26
-0.0524656,-0.0524656,-0.0524656,-0.0524656,00009,14
-3.12411,-3.15321,-3.12449,-3.14419,00006,2
-5.98886,-6.59365,-5.97147,-6.59346,00005,4
-36.3503,-46.7172,-38.3961,-52.8233,00010,17
-5.78519,-6.59285,-5.89168,-6.5927,00005,15
-1.30716,-1.37659,-1.31725,-1.41191,00001,7
-14.22,-15.5657,-14.2698,-15.579,00003,34
-1.64396,-1.60247,-1.64843,-1.62414,00002,37
-2.79707,-4.70199,-2.7266,-5.18428,00008,14
-1.33984,-1.3365,-1.34631,-1.34787,00002,19
-1.31331,-1.18777,-1.42823,-1.27993,00008,10
-6.0795,-6.5786,-5.99314,-6.57814,00005,40
-35.7727,-45.8217,-36.6348,-52.1734,00010,19
-1.41965,-1.46617,-1.47929,-1.5465,00001,14
-1.38887,-1.468,-1.40099,-1.48461,00002,3
-1.39707,-1.38255,-1.37503,-1.35551,00001,44
-2.153,-3.1059,-2.10073,-3.39723,00008,18
-35.8417,-41.4622,-35.5788,-44.5955,00010,49
-14.1534,-15.0174,-14.1672,-15.2346,00004,36
-0.0458515,-0.0458515,-0.0458515,-0.0458515,00009,17
-2.15479,-3.72385,-2.18954,-4.13762,00008,23
-2.82858,-3.6393,-3.09971,-4.03916,00008,29
-14.1541,-15.1659,-14.1798,-15.4072,00004,28
-14.2252,-15.2357,-14.2519,-15.4385,00004,6
-0.0516886,-0.0516886,-0.0516886,-0.0516886,00009,6
-35.6754,-41.5753,-35.9015,-45.9642,00010,14
-36.3902,-42.7782,-36.9355,-46.9908,00010,38
-36.4408,-43.4748,-36.8007,-48.461,00010,26
-2.39062,-3.14519,-2.46447,-3.43049,00008,3
-14.2198,-15.1804,-14.239,-15.3989,00004,38
-14.2539,-15.8354,-14.3394,-15.8518,00003,25
-14.176,-15.2738,-14.2092,-15.4806,00004,42
-5.90832,-6.58062,-5.92009,-6.58033,00005,36
-5.89016,-6.59038,-5.93106,-6.5901,00005,28
-14.2673,-15.8455,-14.3291,-15.8629,00003,28
-1.27224,-1.31817,-1.2961,-1.34004,00002,38
-1.34856,-1.34518,-1.34411,-1.32416,00001,33
-3.06893,-3.09134,-3.06827,-3.08498,00006,40
-6.03033,-6.61828,-6.04965,-6.61832,00005,30
-3.06785,-3.10307,-3.06823,-3.09381,00006,0
-38.2534,-44.9328,-40.0304,-50.8807,00010,41
-1.38973,-1.4333,-1.40233,-1.45181,00002,49
-14.2229,-15.6749,-14.2896,-15.6889,00003,11
-0.0488744,-0.0488744,-0.0488744,-0.0488744,00009,19
-5.90495,-6.59795,-5.9425,-6.59776,00005,7
-1.39433,-2.13986,-1.40293,-2.36117,00008,5
-14.1973,-15.1197,-14.2177,-15.3058,00004,49
-0.0454515,-0.0454515,-0.0454515,-0.0454515,00009,32
-3.14406,-3.16812,-3.14432,-3.16159,00006,9
-3.06608,-3.10886,-3.06744,-3.09895,00006,31
-37.274,-44.3331,-37.9095,-48.8723,00010,32
-0.0417943,-0.0417943,-0.0417943,-0.0417944,00009,12
-1.48576,-1.54515,-1.49218,-1.56879,00002,48
-3.58347,-4.18895,-3.55663,-4.55286,00008,39
-1.19439,-1.12748,-1.229,-1.17263,00001,36
-5.85431,-6.6066,-5.86753,-6.60645,00005,0
-1.30662,-1.28519,-1.30715,-1.2958,00001,9
-3.14805,-3.18647,-3.14905,-3.17661,00006,44
-35.6977,-43.9409,-35.8756,-49.0266,00010,13
-14.2692,-15.7077,-14.3279,-15.722,00003,26
-35.6394,-41.9878,-36.374,-46.0096,00010,4
-1.52585,-1.56153,-1.54579,-1.61432,00002,2
-0.0290172,-0.0290172,-0.0290172,-0.0290172,00009,37
-0.044929,-0.044929,-0.044929,-0.044929,00009,26
-1.23204,-1.28552,-1.20194,-1.26096,00001,17
-14.2609,-15.6797,-14.323,-15.6951,00003,21
-2.0558,-2.93046,-2.08751,-3.24944,00008,24
