BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-0.497960389132668,-0.4979603889824636,-0.4979603888523369,-0.4979603895811336,-0.6126894214337888,-0.6126894214337888,-1.0419929936031131,-1.0419929936031131,-0.6275922940768088,0.47863009232263826,5
-0.6224683118317067,-0.6224683115596574,-0.6224683119255946,-0.6224683116671912,-0.6441046205988199,-0.6441046205988199,-1.5772203693609108,-1.5772203693609108,-3.569696758567558,0.09120108393559097,23
-0.6808372048001672,-0.6808372047671543,-0.6808372046989334,-0.6808372047598793,-0.7240362544483478,-0.7240362544483478,-1.4922641454890797,-1.4922641454890797,-4.484154018430674,0.014454397707459272,25
-0.4970922378168556,-0.4970922377797322,-0.4970922377865168,-0.4970922379378688,-0.5908231243321297,-0.5908231243321297,-1.0574158082413916,-1.0574158082413916,-0.6315875165786957,0.5754399373371569,100
-0.515925110873178,-0.5159251110471185,-0.5159251109998866,-0.5159251109966003,-0.5863621081372667,-0.5863621081372667,-1.0274394116199308,-1.0274394116199308,-0.6309282385935546,0.3981071705534973,9
-0.6195921934276932,-0.6195921935658917,-0.6195921933812962,-0.6195921935378943,-0.6437666752216525,-0.6437666752216525,-1.3718649768606128,-1.3718649768606128,-2.7975007213139444,0.1096478196143185,32
-0.4873783808598556,-0.4873783810716118,-0.487378381006307,-0.4873783811260463,-0.5807292321737015,-0.5807292321737015,-1.1057913187081527,-1.1057913187081527,-0.6269345033955996,0.5754399373371569,78
-0.6571148582809657,-0.6571148583241758,-0.6571148584042273,-0.6571148583019262,-0.6693098874276701,-0.6693098874276701,-1.9894115580275404,-1.9894115580275404,-5.684106808703866,0.04365158322401661,99
-0.4802021205723397,-0.4802021207636062,-0.4802021210113469,-0.4802021206486586,-0.581282617942046,-0.581282617942046,-1.1003225530569585,-1.1003225530569585,-0.6261796230473635,0.5754399373371569,62
-0.5081813960120023,-0.5081813958765102,-0.5081813959753064,-0.5081813959432845,-0.5836134121843176,-0.5836134121843176,-1.0583527845028715,-1.0583527845028715,-0.6264410561024062,0.3981071705534973,78
-0.6741783157640767,-0.674178315662124,-0.674178315728039,-0.6741783158114163,-0.7037843928524219,-0.7037843928524219,-1.7644614315323612,-1.7644614315323612,-5.037232478063089,0.020892961308540396,69
-0.6785603374084467,-0.6785603369239449,-0.678560336729162,-0.6785603371362563,-0.6961288584656271,-0.6961288584656271,-1.460690895826348,-1.460690895826348,-4.624461562655992,0.014454397707459272,98
-0.6798605625968422,-0.6798605626998508,-0.6798605621970373,-0.6798605626083863,-0.6984445243640356,-0.6984445243640356,-1.386603519806094,-1.386603519806094,-3.633595950119057,0.012022644346174132,96
-0.6773199646231157,-0.6773199646010585,-0.6773199645354757,-0.6773199646754722,-0.8038311263148812,-0.8038311263148812,-1.870376509950584,-1.870376509950584,-4.63270280357072,0.020892961308540396,15
-0.5256748325191228,-0.5256748324290695,-0.5256748319059639,-0.525674832382529,-0.6012508804834148,-0.6012508804834148,-1.0208279256262576,-1.0208279256262576,-0.6331821385788775,0.3981071705534973,58
-0.5652925670335657,-0.5652925674510808,-0.5652925674072251,-0.5652925669851973,-0.6305075356202883,-0.6305075356202883,-1.0624961930251915,-1.0624961930251915,-1.1868456652975936,0.19054607179632474,38
-0.4272690526269375,-0.4272690529854399,-0.4272690526118772,-0.4272690527329506,-0.5517677484527325,-0.5517677484527325,-1.1388539488994591,-1.1388539488994591,-0.6206661550786278,0.8317637711026709,84
-0.6383721425568665,-0.6383721422984222,-0.6383721423803459,-0.6383721426031524,-0.6591794651978382,-0.6591794651978382,-1.904299344437352,-1.904299344437352,-4.91357746089736,0.06309573444801933,11
-0.6808414724101696,-0.6808414722597891,-0.6808414723852025,-0.6808414724074238,-0.7228483561137505,-0.7228483561137505,-1.4283576475599116,-1.4283576475599116,-3.8611258403068978,0.012022644346174132,71
