BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
0.8617154377154377,0.8617154377154377,0.8617154377154377,0.8617154377154377,0.8316967236967238,0.8316967236967238,-0.7163991467753412,-0.7163991467753412,0.8260749322829122,0.47863009232263826,5
0.5395718375945545,0.5395112003083912,0.5395205473815158,0.5395205473815158,0.5349096121868346,0.5349096121868346,-0.3565611081231113,-0.3565611081231113,0.3958263412920558,0.09120108393559097,23
0.2492267167639874,0.2505472271715551,0.2500082622396306,0.249416250708279,0.2560079762016729,0.2560079762016729,-0.0369733616616751,-0.0369733616616751,0.0353175260095085,0.014454397707459272,25
0.8743069663069665,0.8743069663069665,0.8743069663069665,0.8743069663069665,0.8489230374698067,0.8489230374698067,-0.7492968267195499,-0.7492968267195499,0.8392932305592992,0.5754399373371569,100
0.844000864000864,0.844000864000864,0.844000864000864,0.844000864000864,0.8222530502530504,0.8222530502530504,-0.7060307797964663,-0.7060307797964663,0.8071604780743924,0.3981071705534973,9
0.5439089196140371,0.5439089196140371,0.5439089196140371,0.5439089196140371,0.5381840031110112,0.5381840031110112,-0.3580427169157478,-0.3580427169157478,0.4126330586826456,0.1096478196143185,32
0.8998358878358879,0.8998358878358879,0.8998358878358879,0.8998358878358879,0.8706317586317587,0.8706317586317587,-0.7707146225065156,-0.7707146225065156,0.8689763102501541,0.5754399373371569,78
0.3817908759296297,0.3814994152597116,0.382225216138106,0.3820742465419585,0.3624825887270242,0.3624825887270242,-0.1764037730640261,-0.1764037730640261,0.1722870949594735,0.04365158322401661,99
0.8885961245961247,0.8885961245961247,0.8885961245961247,0.8885961245961247,0.8589914341453829,0.8589914341453829,-0.7828127172155573,-0.7828127172155573,0.8578159933682142,0.5754399373371569,62
0.848024012024012,0.848024012024012,0.848024012024012,0.848024012024012,0.8257551577551578,0.8257551577551578,-0.716777058953165,-0.716777058953165,0.8166862136352876,0.3981071705534973,78
0.3010565286345703,0.3019465053340022,0.3050092562128171,0.3006531764849081,0.3071844971653351,0.3071844971653351,-0.0838871348573091,-0.0838871348573091,0.0842375365756777,0.020892961308540396,69
0.2446121538176992,0.2464225263571542,0.2458706334784701,0.2461631587672803,0.2446534931401735,0.2446534931401735,-0.0159641286783938,-0.0159641286783938,0.0164197833338927,0.014454397707459272,98
0.2438719775474676,0.2438959504764188,0.2430809479415462,0.2446633691898621,0.2465376340894833,0.2465376340894833,-0.0421748141668517,-0.0421748141668517,0.0432624216158233,0.012022644346174132,96
0.2812231225058257,0.2819930912187486,0.2795990378191821,0.2826281442504546,0.2694008175844349,0.2694008175844349,-0.1334332245463641,-0.1334332245463641,0.1368032556905095,0.020892961308540396,15
0.8308790428790429,0.8308790428790429,0.8308790428790429,0.8308790428790429,0.8033516393516394,0.8033516393516394,-0.685036251415464,-0.685036251415464,0.7923325489556037,0.3981071705534973,58
0.7010654368464834,0.7010654368464834,0.7010654368464834,0.7010654368464834,0.6882356268886142,0.6882356268886142,-0.5424081798930219,-0.5424081798930219,0.605542837483396,0.19054607179632474,38
0.9314781554781556,0.9314781554781556,0.9314781554781556,0.9314781554781556,0.9087620607620608,0.9087620607620608,-0.8224582865528459,-0.8224582865528459,0.9062269927357868,0.8317637711026709,84
0.4853343309889666,0.4858546160770648,0.4854749217455502,0.4862655439348536,0.4849757101223558,0.4849757101223558,-0.2295219661240309,-0.2295219661240309,0.2635940647990183,0.06309573444801933,11
0.233903240968592,0.2337759718966858,0.2349687235012878,0.234994814161169,0.2359336379829515,0.2359336379829515,-0.0558842212095329,-0.0558842212095329,0.0533670483770387,0.012022644346174132,71
0.6772961840374996,0.6772961840374996,0.6772961840374996,0.6772961840374996,0.6641796188054094,0.6641796188054094,-0.5053630515062636,-0.5053630515062636,0.5797078813754027,0.15848931924611134,95
0.4645543419722528,0.46504139937146,0.4650522387698435,0.4646427408753728,0.4539470206543352,0.4539470206543352,-0.2895841506853355,-0.2895841506853355,0.2999594870433101,0.06309573444801933,96
0.2958403898701071,0.2942948765494714,0.2950829983210804,0.2956852274778228,0.2999611556653688,0.2999611556653688,-0.0686879269034451,-0.0686879269034451,0.0707843129114449,0.020892961308540396,65
0.3306825086123544,0.3286751805433097,0.330164584120306,0.3295008945174114,0.2852038279724734,0.2852038279724734,-0.0976713892190249,-0.0976713892190249,0.1015774676287255,0.020892961308540396,40
